['284', '274', '240', '54']
['196', '331', '169', '32']
['81', '375', '384', '85']
['203', '149', '360', '322']
['246', '72', '369', '315']
['15', '308', '255', '366']
['382', '5', '19', '4']
['2', '178', '218', '389']
['309', '395', '173', '93']
['110', '339', '73', '326']
['190', '102', '325', '327']
['163', '381', '234', '209']
['316', '201', '311', '147']
['250', '321', '237', '75']
['221', '229', '324', '26']
['334', '365', '121', '380']
['367', '242', '143', '202']
['185', '30', '34', '363']
['344', '329', '317', '21']
['152', '283', '258', '155']
['199', '247', '376', '192']
['216', '398', '211', '38']
['188', '292', '12', '8']
['267', '306', '158', '233']
['122', '100', '352', '107']
['77', '140', '29', '103']
['245', '259', '35', '97']
['16', '132', '212', '95']
['41', '159', '385', '206']
['92', '362', '261', '379']
['257', '396', '328', '392']
['320', '186', '231', '128']
['167', '224', '133', '386']
['160', '290', '127', '90']
['343', '288', '145', '238']
['197', '118', '58', '62']
['82', '67', '44', '377']
['244', '6', '139', '33']
['260', '399', '65', '297']
['387', '13', '285', '303']
['230', '330', '351', '104']
['60', '336', '299', '248']
['313', '268', '91', '340']
['71', '180', '301', '215']
['270', '150', '281', '195']
['222', '28', '96', '249']
['228', '319', '243', '390']
['205', '10', '47', '39']
['37', '349', '134', '171']
['300', '332', '214', '157']
['86', '253', '266', '164']
['117', '295', '338', '84']
['251', '356', '294', '43']
['391', '280', '355', '181']
['354', '262', '279', '25']
['11', '254', '348', '353']
['347', '225', '109', '20']
['48', '310', '53', '27']
['305', '304', '50', '364']
['235', '371', '126', '393']
['88', '318', '105', '191']
['36', '286', '184', '31']
['89', '374', '87', '165']
['130', '298', '129', '42']
['66', '111', '287', '217']
['397', '83', '52', '76']
['394', '59', '138', '359']
['256', '275', '55', '120']
['45', '112', '49', '136']
['194', '170', '291', '333']
['372', '177', '323', '156']
['289', '151', '61', '148']
['74', '108', '269', '345']
['204', '101', '142', '1']
['273', '57', '200', '282']
['210', '99', '183', '162']
['154', '223', '46', '265']
['172', '69', '123', '124']
['23', '115', '271', '239']
['18', '232', '189', '14']
['68', '342', '174', '119']
['264', '272', '78', '40']
['358', '7', '388', '368']
['219', '357', '370', '252']
['80', '116', '293', '182']
['335', '0', '236', '337']
['198', '227', '135', '226']
['168', '144', '208', '278']
['56', '187', '106', '9']
['263', '146', '24', '346']
['341', '131', '373', '70']
['125', '378', '98', '113']
['383', '51', '213', '207']
['307', '312', '179', '79']
['361', '63', '175', '166']
['141', '3', '17', '302']
['193', '220', '241', '176']
['114', '161', '137', '277']
['296', '153', '64', '350']
['22', '94', '314', '276']
