['163', '328', '229', '434', '234']
['320', '199', '437', '454', '285']
['157', '12', '46', '80', '278']
['409', '303', '74', '195', '365']
['455', '221', '173', '237', '61']
['316', '245', '463', '472', '43']
['6', '377', '7', '203', '304']
['138', '325', '103', '44', '372']
['196', '259', '91', '153', '343']
['152', '201', '242', '355', '388']
['346', '416', '279', '93', '71']
['223', '83', '374', '431', '436']
['384', '62', '57', '128', '492']
['191', '367', '302', '97', '310']
['496', '225', '228', '133', '30']
['446', '8', '395', '174', '393']
['52', '281', '459', '98', '438']
['77', '29', '160', '51', '190']
['483', '353', '417', '250', '368']
['471', '380', '53', '125', '291']
['117', '204', '311', '76', '200']
['207', '331', '164', '140', '115']
['216', '64', '444', '169', '499']
['336', '231', '186', '206', '333']
['49', '194', '159', '65', '282']
['202', '143', '239', '361', '317']
['167', '197', '315', '101', '411']
['461', '491', '319', '338', '389']
['428', '139', '20', '244', '255']
['464', '42', '21', '383', '172']
['264', '28', '205', '476', '78']
['121', '419', '457', '429', '392']
['99', '106', '18', '37', '235']
['81', '413', '184', '69', '412']
['241', '382', '170', '448', '277']
['254', '134', '284', '300', '414']
['177', '430', '460', '415', '493']
['477', '22', '280', '48', '450']
['224', '233', '344', '260', '410']
['226', '274', '127', '147', '399']
['146', '262', '32', '243', '297']
['308', '9', '23', '13', '488']
['373', '39', '171', '89', '362']
['322', '466', '342', '212', '378']
['489', '447', '5', '129', '497']
['31', '443', '329', '330', '175']
['222', '27', '479', '88', '214']
['105', '390', '41', '349', '321']
['109', '408', '19', '261', '75']
['484', '334', '478', '271', '218']
['149', '54', '352', '350', '299']
['396', '132', '402', '401', '215']
['292', '148', '498', '387', '122']
['33', '217', '72', '424', '341']
['306', '155', '82', '162', '107']
['307', '406', '182', '318', '4']
['309', '166', '482', '238', '327']
['360', '176', '56', '168', '24']
['156', '248', '381', '124', '480']
['34', '2', '10', '252', '312']
['92', '385', '58', '298', '494']
['35', '79', '137', '16', '366']
['265', '296', '136', '154', '192']
['258', '142', '36', '313', '189']
['354', '485', '161', '95', '356']
['426', '357', '15', '475', '288']
['120', '26', '113', '440', '391']
['219', '158', '198', '268', '283']
['220', '432', '375', '209', '87']
['323', '294', '474', '123', '445']
['25', '339', '442', '470', '286']
['131', '449', '85', '405', '110']
['490', '185', '257', '473', '363']
['14', '398', '270', '305', '240']
['227', '376', '340', '267', '108']
['435', '425', '38', '397', '230']
['394', '379', '420', '407', '423']
['469', '1', '135', '290', '418']
['427', '386', '210', '287', '486']
['130', '453', '67', '370', '119']
['301', '439', '467', '348', '487']
['295', '404', '144', '47', '351']
['293', '369', '211', '337', '55']
['269', '145', '150', '187', '371']
['335', '100', '364', '151', '86']
['456', '180', '500', '236', '68']
['247', '188', '178', '84', '273']
['266', '451', '468', '104', '359']
['422', '332', '114', '324', '232']
['403', '458', '251', '358', '249']
['70', '126', '116', '253', '111']
['400', '208', '96', '462', '181']
['11', '421', '441', '179', '90']
['73', '213', '345', '112', '272']
['59', '256', '275', '289', '481']
['183', '452', '433', '94', '66']
['141', '50', '45', '347', '495']
['17', '60', '193', '246', '326']
['465', '102', '63', '165', '40']
['276', '118', '314', '263', '3']
