['204', '6', '19', '203', '10']
['384', '428', '466', '72', '347']
['331', '154', '319', '470', '395']
['167', '335', '308', '492', '410']
['274', '431', '187', '45', '218']
['336', '191', '419', '106', '284']
['17', '127', '233', '85', '75']
['334', '250', '168', '95', '107']
['81', '121', '77', '394', '37']
['51', '375', '305', '4', '277']
['436', '421', '297', '337', '366']
['325', '149', '344', '468', '15']
['320', '340', '109', '273', '454']
['213', '467', '2', '209', '365']
['422', '413', '483', '179', '393']
['254', '16', '288', '485', '312']
['404', '183', '155', '420', '414']
['42', '137', '242', '270', '389']
['292', '311', '341', '246', '487']
['309', '329', '206', '240', '326']
['25', '225', '5', '114', '448']
['221', '267', '408', '185', '480']
['226', '44', '323', '257', '55']
['231', '211', '381', '399', '300']
['216', '199', '212', '128', '283']
['184', '70', '280', '30', '110']
['163', '306', '32', '388', '40']
['27', '142', '69', '8', '140']
['164', '133', '368', '172', '482']
['131', '443', '29', '446', '238']
['130', '367', '471', '160', '411']
['328', '26', '377', '116', '230']
['295', '396', '432', '159', '261']
['62', '21', '18', '169', '195']
['92', '464', '409', '430', '339']
['117', '0', '424', '474', '317']
['134', '298', '13', '173', '14']
['269', '376', '361', '352', '391']
['245', '156', '198', '440', '450']
['202', '158', '104', '272', '462']
['141', '456', '452', '7', '392']
['59', '91', '383', '186', '68']
['316', '489', '417', '499', '304']
['296', '78', '332', '97', '66']
['36', '1', '275', '407', '398']
['34', '264', '479', '71', '249']
['9', '28', '318', '46', '129']
['219', '67', '457', '41', '252']
['33', '390', '190', '189', '122']
['171', '176', '433', '358', '327']
['157', '188', '484', '38', '192']
['441', '61', '350', '486', '215']
['477', '120', '58', '229', '181']
['147', '386', '382', '150', '338']
['103', '237', '478', '290', '260']
['197', '210', '84', '89', '289']
['138', '50', '248', '343', '253']
['152', '379', '162', '24', '65']
['354', '435', '303', '80', '234']
['427', '196', '330', '123', '493']
['222', '426', '64', '145', '353']
['425', '401', '243', '235', '418']
['244', '475', '98', '351', '429']
['182', '35', '302', '370', '90']
['266', '416', '132', '458', '299']
['258', '444', '83', '348', '412']
['205', '490', '54', '287', '405']
['400', '259', '434', '442', '498']
['276', '439', '148', '56', '255']
['455', '220', '369', '161', '251']
['247', '23', '101', '495', '363']
['236', '11', '180', '53', '497']
['31', '177', '146', '374', '170']
['96', '373', '135', '362', '472']
['223', '346', '281', '87', '119']
['73', '301', '463', '124', '43']
['293', '265', '108', '144', '88']
['39', '469', '315', '232', '278']
['153', '20', '239', '271', '349']
['143', '228', '294', '403', '291']
['224', '459', '324', '314', '214']
['262', '49', '194', '268', '310']
['102', '12', '402', '285', '473']
['76', '406', '397', '481', '86']
['60', '364', '136', '378', '174']
['476', '57', '151', '445', '282']
['52', '415', '437', '371', '494']
['207', '217', '460', '279', '201']
['241', '451', '113', '321', '165']
['496', '449', '178', '200', '380']
['385', '126', '357', '359', '423']
['447', '112', '94', '387', '111']
['345', '100', '118', '333', '356']
['307', '322', '342', '355', '3']
['491', '63', '263', '115', '488']
['227', '208', '139', '256', '438']
['48', '125', '175', '372']
['74', '193', '360', '47']
['22', '313', '99', '93']
['82', '286', '465', '166']
['453', '461', '105', '79']
