['274', '229', '614', '230', '445', '166', '343', '318', '336', '259', '513', '415', '344', '304', '317', '298', '451', '149', '239', '398', '181', '192']
['625', '454', '597', '556', '432', '364', '618', '621', '588', '587', '154', '350', '420', '603', '285', '153', '622', '609', '539', '470', '608', '604']
['308', '157', '466', '537', '368', '218', '338', '435', '425', '386', '407', '410', '403', '502', '561', '408', '553', '291', '607', '197', '479', '611']
['427', '569', '409', '334', '233', '210', '339', '271', '593', '284', '419', '342', '323', '303', '352', '325', '353', '412', '566', '393', '543', '327']
['167', '340', '300', '224', '394', '155', '372', '440', '255', '414', '392', '309', '385', '591', '406', '275', '497', '320', '404', '396', '374', '161']
['316', '545', '205', '503', '248', '459', '527', '292', '512', '499', '586', '563', '455', '158', '457', '288', '235', '234', '383', '319', '517', '448']
['557', '376', '249', '389', '215', '202', '226', '426', '231', '188', '377', '361', '559', '592', '613', '443', '413', '532', '290', '238', '216', '579']
['581', '567', '247', '245', '476', '200', '518', '574', '244', '378', '504', '474', '617', '295', '570', '390', '241', '605', '381', '506', '240', '583']
['163', '213', '360', '461', '173', '212', '237', '501', '349', '203', '242', '606', '384', '417', '365', '477', '227', '575', '509', '442', '399', '299']
['311', '211', '225', '329', '324', '195', '307', '444', '387', '624', '423', '488', '623', '555', '485', '472', '278', '180', '297', '550', '232', '351']
['331', '176', '401', '150', '580', '473', '204', '534', '184', '186', '434', '456', '147', '551', '257', '564', '330', '305', '429', '571', '208', '164']
['547', '449', '525', '424', '321', '549', '301', '293', '453', '411', '236', '422', '562', '428', '250', '441', '355', '191', '264', '189', '170', '552']
['589', '535', '529', '335', '306', '265', '519', '595', '358', '464', '619', '267', '498', '348', '261', '548', '450', '367', '185', '206', '515', '243']
['151', '628', '262', '483', '183', '490', '313', '572', '315', '510', '162', '337', '568', '612', '146', '266', '362', '169', '508', '341', '356', '277']
['523', '287', '283', '272', '480', '254', '484', '416', '469', '402', '148', '541', '531', '177', '279', '263', '286', '524', '282', '223', '500', '366']
['615', '270', '346', '516', '294', '379', '280', '494', '486', '526', '152', '437', '520', '578', '405', '542', '171', '178', '281', '431', '314', '436']
['585', '565', '590', '273', '359', '370', '493', '471', '198', '596', '251', '573', '179', '540', '193', '253', '391', '258', '276', '514', '458', '594']
['439', '491', '521', '536', '172', '221', '620', '328', '468', '333', '616', '544', '599', '302', '478', '475', '388', '269', '558', '530', '371', '175']
['217', '430', '576', '452', '332', '201', '522', '228', '433', '209', '462', '174', '602', '256', '582', '482', '207', '627', '467', '577', '584', '438']
['220', '182', '533', '159', '481', '345', '489', '219', '546', '507', '610', '347', '310', '495', '222', '196', '354', '400', '369', '373', '397', '165']
['190', '421', '560', '492', '463', '252', '363', '199', '357', '194', '601', '260', '487', '465', '554', '296', '447', '156', '505', '446', '375', '418']
['496', '460', '160', '289', '395', '600', '382', '246', '214', '626', '380', '187', '598', '629', '528', '322', '268', '168', '511', '538', '312', '326']
