['214', '142']
['59', '139']
['168', '9']
['29', '248']
['150', '174']
['189', '217']
['172', '224']
['230', '113']
['98', '179']
['96', '245']
['163', '6']
['36', '190']
['4', '55']
['152', '66']
['82', '46']
['37', '72']
['32', '194']
['183', '1']
['182', '61']
['81', '50']
['51', '26']
['13', '105']
['228', '47']
['232', '177']
['132', '95']
['8', '171']
['116', '49']
['44', '246']
['196', '119']
['5', '25']
['2', '65']
['122', '239']
['33', '212']
['11', '101']
['125', '155']
['109', '176']
['185', '203']
['141', '195']
['227', '121']
['207', '58']
['118', '145']
['15', '88']
['181', '17']
['219', '236']
['104', '85']
['117', '129']
['77', '75']
['187', '100']
['208', '93']
['225', '97']
['149', '237']
['235', '193']
['205', '68']
['45', '156']
['180', '39']
['223', '201']
['73', '165']
['99', '133']
['19', '170']
['12', '211']
['243', '215']
['7', '161']
['135', '69']
['159', '21']
['167', '14']
['3', '173']
['210', '102']
['136', '112']
['244', '31']
['60', '123']
['80', '241']
['23', '137']
['188', '184']
['154', '206']
['209', '90']
['87', '146']
['64', '84']
['204', '198']
['186', '140']
['126', '43']
['41', '166']
['222', '200']
['199', '226']
['197', '238']
['108', '240']
['160', '162']
['79', '40']
['120', '86']
['216', '107']
['22', '76']
['54', '213']
['115', '106']
['247', '175']
['62', '178']
['233', '157']
['67', '35']
['92', '10']
['143', '192']
['74', '27']
['71', '229']
['28', '151']
['53', '158']
['20', '38']
['220', '128']
['89', '249']
['94', '131']
['30', '70']
['52', '127']
['34', '103']
['202', '138']
['221', '147']
['42', '153']
['57', '191']
['63', '91']
['56', '78']
['218', '111']
['242', '16']
['83', '0']
['234', '148']
['130', '114']
['124', '134']
['231', '164']
['169', '144']
['24', '110']
['48']
['18']
