['82', '120', '308', '282']
['90', '331', '249', '107']
['349', '319', '236', '128']
['295', '309', '292', '191']
['232', '274', '143', '392']
['328', '259', '389', '75']
['381', '179', '304', '49']
['203', '71', '333', '380']
['15', '348', '105', '315']
['306', '190', '238', '16']
['334', '142', '4', '393']
['313', '186', '8', '32']
['160', '395', '297', '209']
['222', '365', '177', '233']
['2', '178', '145', '302']
['130', '336', '25', '344']
['201', '397', '284', '277']
['140', '111', '153', '265']
['384', '352', '195', '340']
['81', '262', '97', '43']
['73', '281', '377', '379']
['116', '366', '370', '46']
['343', '342', '398', '372']
['154', '55', '121', '311']
['19', '123', '345', '159']
['39', '110', '85', '103']
['7', '206', '30', '294']
['41', '149', '20', '170']
['257', '180', '293', '155']
['77', '396', '290', '50']
['320', '12', '279', '21']
['301', '337', '181', '317']
['44', '169', '72', '139']
['339', '146', '258', '158']
['11', '132', '29', '242']
['167', '106', '115', '173']
['176', '375', '211', '14']
['376', '133', '215', '164']
['152', '234', '45', '355']
['267', '109', '386', '329']
['23', '332', '287', '229']
['223', '288', '245', '189']
['188', '218', '134', '42']
['92', '31', '383', '187']
['253', '214', '135', '1']
['335', '62', '230', '100']
['18', '244', '270', '93']
['316', '87', '369', '327']
['216', '57', '338', '248']
['36', '65', '35', '239']
['129', '6', '64', '34']
['33', '3', '183', '127']
['357', '362', '300', '24']
['91', '199', '197', '350']
['202', '246', '255', '346']
['117', '273', '272', '171']
['163', '312', '184', '68']
['136', '53', '210', '37']
['250', '147', '212', '47']
['351', '330', '17', '390']
['66', '67', '399', '157']
['88', '13', '26', '363']
['224', '299', '325', '303']
['310', '56', '356', '200']
['221', '296', '291', '113']
['112', '28', '289', '59']
['226', '268', '175', '278']
['260', '124', '240', '192']
['60', '58', '364', '217']
['172', '324', '243', '368']
['394', '125', '286', '360']
['27', '318', '266', '261']
['382', '225', '374', '354']
['89', '358', '283', '213']
['341', '182', '104', '38']
['275', '131', '168', '70']
['235', '114', '63', '161']
['205', '321', '156', '231']
['207', '361', '219', '119']
['256', '83', '227', '102']
['196', '94', '237', '371']
['80', '126', '307', '269']
['48', '391', '122', '373']
['22', '280', '285', '9']
['347', '185', '359', '69']
['228', '51', '74', '10']
['193', '166', '162', '174']
['165', '254', '137', '194']
['141', '95', '252', '76']
['150', '98', '79', '251']
['367', '118', '388', '353']
['305', '220', '385', '151']
['198', '247', '378', '5']
['387', '323', '96', '40']
['322', '144', '271', '84']
['204', '52', '298', '78']
['54', '241', '0', '326']
['138', '264', '108', '276']
['263', '61', '208', '148']
['101', '86', '99', '314']
