['207', '335', '354', '274', '222', '139', '100', '245', '229', '381', '339', '206', '98', '238', '366', '327']
['331', '59', '292', '25', '211', '376', '259', '44', '342', '256', '19', '186', '253', '80', '230', '75']
['81', '384', '269', '266', '77', '99', '198', '101', '244', '398', '282', '195', '250', '318', '181', '317']
['196', '73', '264', '334', '180', '166', '315', '22', '352', '69', '287', '46', '337', '304', '214', '389']
['308', '298', '340', '176', '60', '241', '84', '239', '275', '88', '305', '272', '391', '284', '215', '192']
['152', '316', '224', '311', '345', '233', '396', '21', '112', '51', '209', '129', '7', '4', '107', '110']
['62', '385', '227', '301', '338', '103', '281', '72', '106', '249', '116', '288', '85', '179', '278', '392']
['320', '309', '307', '33', '306', '127', '34', '26', '199', '158', '344', '303', '154', '187', '175', '90']
['92', '400', '134', '105', '225', '132', '323', '237', '16', '2', '14', '111', '162', '372', '260', '365']
['254', '210', '248', '343', '53', '169', '164', '242', '97', '243', '297', '128', '61', '246', '148', '321']
['226', '120', '131', '23', '296', '149', '371', '173', '57', '6', '42', '147', '189', '140', '349', '71']
['113', '121', '220', '217', '228', '108', '13', '302', '55', '380', '133', '8', '95', '286', '234', '291']
['265', '83', '35', '155', '29', '32', '89', '38', '362', '94', '68', '170', '368', '283', '290', '363']
['117', '27', '96', '126', '67', '212', '294', '82', '361', '374', '280', '270', '395', '203', '300', '393']
['204', '163', '177', '145', '15', '37', '319', '5', '313', '314', '271', '47', '48', '218', '351', '236']
['247', '390', '377', '329', '200', '160', '168', '399', '56', '355', '104', '324', '41', '273', '255', '65']
['202', '141', '336', '197', '328', '142', '102', '9', '231', '63', '136', '45', '310', '86', '115', '43']
['167', '130', '138', '58', '213', '91', '346', '11', '257', '330', '144', '54', '24', '251', '341', '277']
['216', '295', '293', '325', '171', '79', '379', '150', '375', '268', '190', '161', '350', '252', '30', '165']
['223', '143', '360', '373', '267', '36', '28', '178', '386', '1', '353', '74', '185', '151', '358', '10']
['258', '312', '394', '12', '156', '347', '50', '382', '397', '125', '261', '387', '232', '388', '174', '326']
['299', '369', '3', '153', '70', '205', '109', '157', '78', '285', '118', '348', '172', '87', '122', '240']
['31', '52', '262', '208', '49', '219', '188', '357', '20', '159', '235', '333', '66', '359', '356', '124']
['221', '146', '17', '191', '39', '184', '182', '279', '135', '364', '93', '383', '332', '289', '370', '119']
['276', '64', '322', '367', '76', '183', '137', '194', '18', '193', '201', '378', '114', '263', '123', '40']
