['396', '399', '331', '398']
['397', '272', '274', '273']
['395', '392', '308', '393']
['394', '334', '332', '335']
['391', '233', '390', '389']
['18', '19', '388', '16']
['387', '384', '284', '386']
['77', '78', '385', '79']
['383', '72', '381', '382']
['152', '154', '155', '380']
['376', '377', '4', '379']
['81', '83', '378', '82']
['309', '375', '374', '372']
['346', '345', '344', '373']
['368', '369', '128', '371']
['365', '366', '370', '364']
['367', '321', '320', '323']
['362', '25', '360', '363']
['44', '361', '46', '47']
['2', '358', '359', '356']
['357', '299', '298', '297']
['311', '352', '355', '353']
['354', '336', '337', '339']
['349', '203', '348', '351']
['295', '292', '294', '350']
['347', '121', '122', '123']
['343', '306', '342', '340']
['341', '31', '29', '30']
['15', '13', '338', '12']
['84', '87', '85', '333']
['328', '330', '329', '75']
['110', '324', '325', '327']
['159', '158', '156', '326']
['257', '258', '259', '322']
['316', '319', '8', '317']
['96', '318', '97', '98']
['313', '312', '149', '315']
['132', '314', '133', '134']
['207', '310', '206', '205']
['305', '307', '304', '140']
['167', '301', '300', '303']
['172', '302', '173', '174']
['296', '20', '23', '21']
['71', '293', '69', '68']
['288', '290', '291', '215']
['244', '247', '289', '245']
['286', '186', '285', '287']
['283', '281', '242', '282']
['41', '280', '42', '43']
['267', '279', '278', '277']
['197', '199', '276', '196']
['275', '238', '237', '239']
['216', '268', '270', '271']
['269', '35', '34', '32']
['264', '266', '189', '265']
['263', '260', '262', '7']
['193', '195', '261', '192']
['256', '93', '92', '95']
['163', '255', '253', '254']
['60', '62', '61', '252']
['251', '250', '229', '248']
['39', '37', '249', '38']
['202', '246', '201', '200']
['240', '234', '241', '243']
['67', '66', '65', '236']
['235', '127', '126', '232']
['228', '225', '230', '231']
['6', '226', '224', '227']
['222', '223', '218', '221']
['220', '27', '26', '24']
['219', '33', '171', '217']
['214', '213', '212', '88']
['209', '91', '210', '211']
['101', '208', '100', '103']
['204', '147', '145', '146']
['198', '56', '58', '57']
['130', '129', '131', '194']
['188', '190', '10', '191']
['185', '187', '180', '184']
['106', '181', '183', '182']
['178', '177', '179', '170']
['89', '104', '90', '176']
['53', '28', '54', '175']
['109', '169', '108', '168']
['136', '165', '166', '164']
['160', '161', '162', '107']
['117', '116', '119', '157']
['0', '3', '1', '153']
['150', '151', '105', '148']
['11', '36', '144', '9']
['48', '141', '142', '143']
['73', '138', '139', '137']
['51', '50', '135', '49']
['112', '125', '124', '113']
['14', '120', '52', '70']
['74', '118', '111', '59']
['45', '115', '114', '55']
['80', '99', '17', '102']
['86', '94', '64', '40']
['22', '5', '63', '76']
