['120', '121', '126', '132', '122', '124', '123']
['62', '58', '52', '50', '53', '56', '45']
['335', '331', '336', '328', '334', '332', '330']
['295', '301', '298', '308', '297', '300', '299']
['157', '158', '156', '155', '173', '160', '159']
['25', '20', '21', '16', '15', '18', '19']
['226', '227', '229', '225', '228', '244', '230']
['91', '89', '82', '85', '88', '87', '90']
['92', '81', '83', '106', '98', '95', '86']
['64', '67', '57', '61', '69', '65', '68']
['309', '292', '306', '311', '302', '315', '290']
['274', '269', '267', '257', '268', '271', '255']
['262', '254', '266', '265', '264', '261', '260']
['245', '231', '241', '239', '242', '243', '240']
['204', '197', '199', '201', '206', '189', '195']
['196', '191', '205', '194', '193', '190', '192']
['152', '163', '149', '166', '154', '162', '161']
['117', '127', '125', '118', '116', '133', '115']
['59', '60', '233', '51', '54', '234', '55']
['17', '34', '28', '35', '29', '22', '30']
['340', '329', '344', '343', '337', '347', '327']
['134', '77', '72', '128', '333', '284', '4']
['320', '49', '44', '296', '46', '47', '48']
['342', '2', '339', '324', '263', '203', '338']
['167', '171', '169', '170', '172', '175', '174']
['96', '105', '103', '102', '99', '101', '104']
['33', '9', '11', '23', '13', '12', '10']
['110', '303', '288', '94', '8', '97', '75']
['316', '258', '256', '140', '272', '71', '317']
['222', '223', '220', '219', '237', '238', '236']
['211', '184', '188', '185', '186', '187', '215']
['130', '216', '202', '259', '38', '41', '7']
['6', '248', '250', '319', '305', '304', '291']
['26', '145', '294', '32', '37', '289', '218']
['180', '232', '212', '270', '349', '235', '129']
['31', '247', '221', '150', '151', '214', '43']
['39', '281', '279', '282', '114', '278', '119']
['224', '346', '79', '84', '80', '321', '249']
['345', '109', '147', '42', '136', '318', '251']
['27', '217', '164', '253', '24', '181', '326']
['177', '36', '200', '1', '280', '314', '107']
['73', '293', '310', '213', '325', '286', '285']
['139', '108', '210', '112', '287', '283', '273']
['207', '138', '100', '313', '168', '209', '113']
['307', '131', '70', '14', '341', '111', '312']
['142', '183', '148', '74', '348', '350', '66']
['141', '176', '178', '323', '78', '275', '179']
['146', '135', '137', '93', '198', '144', '277']
['276', '143', '153', '76', '322', '246', '40']
['208', '182', '63', '5', '3', '252', '165']
