['214', '61', '142', '9']
['59', '238', '153', '217']
['225', '205', '100', '84']
['5', '233', '248', '95']
['150', '50', '35', '127']
['6', '19', '13', '104']
['117', '27', '3', '230']
['160', '197', '40', '218']
['162', '151', '96', '137']
['172', '77', '240', '28']
['86', '175', '107', '32']
['64', '227', '134', '26']
['199', '72', '46', '194']
['207', '166', '1', '174']
['157', '66', '183', '47']
['152', '37', '123', '237']
['108', '155', '143', '148']
['163', '4', '25', '179']
['81', '132', '12', '79']
['36', '133', '98', '38']
['177', '105', '97', '113']
['92', '33', '219', '43']
['196', '106', '78', '192']
['11', '53', '44', '241']
['41', '116', '54', '128']
['141', '236', '189', '171']
['51', '178', '30', '209']
['2', '125', '156', '70']
['136', '185', '122', '195']
['232', '229', '55', '239']
['45', '56', '58', '211']
['198', '120', '131', '176']
['109', '181', '121', '103']
['154', '212', '91', '14']
['82', '115', '145', '102']
['129', '88', '34', '83']
['7', '234', '85', '203']
['220', '190', '65', '184']
['15', '17', '249', '119']
['204', '99', '94', '110']
['48', '62', '158', '111']
['222', '101', '10', '49']
['165', '20', '242', '75']
['226', '16', '187', '93']
['191', '138', '29', '114']
['202', '126', '235', '68']
['130', '186', '8', '149']
['23', '193', '182', '135']
['74', '168', '146', '69']
['180', '73', '52', '164']
['223', '169', '144', '161']
['118', '87', '243', '170']
['42', '60', '173', '139']
['167', '140', '208', '39']
['80', '31', '206', '231']
['244', '213', '210', '0']
['224', '200', '124', '21']
['216', '67', '247', '188']
['201', '147', '245', '24']
['112', '228', '71', '90']
['22', '18', '159', '76']
['89', '63', '215']
['221', '246', '57']
