['77', '13', '302', '2', '186', '206', '4']
['117', '340', '72', '29', '1', '12', '341']
['127', '6', '135', '0', '19', '46', '260']
['451', '367', '446', '381', '368', '366', '389']
['254', '25', '157', '101', '5', '333', '246']
['216', '222', '87', '44', '8', '273', '3']
['466', '371', '380', '407', '168', '470', '488']
['384', '419', '461', '396', '460', '411', '370']
['454', '369', '377', '458', '347', '482', '403']
['309', '307', '308', '100', '311', '78', '14']
['292', '293', '11', '28', '339', '288', '115']
['33', '62', '175', '189', '283', '284', '10']
['9', '281', '38', '112', '358', '359', '277']
['265', '267', '108', '32', '128', '7', '75']
['81', '233', '342', '483', '194', '343', '30']
['400', '443', '379', '485', '162', '405', '486']
['202', '73', '269', '430', '237', '378', '395']
['376', '428', '479', '442', '436', '480', '393']
['207', '131', '404', '415', '459', '375', '478']
['92', '229', '413', '373', '232', '398', '474']
['31', '247', '211', '344', '82', '195', '124']
['476', '453', '402', '457', '374', '475', '414']
['58', '171', '435', '412', '372', '472', '392']
['191', '364', '257', '104', '41', '365', '122']
['295', '103', '264', '248', '256', '362', '40']
['301', '360', '39', '361', '98', '243', '235']
['221', '357', '116', '37', '289', '462', '356']
['354', '91', '36', '275', '355', '271', '110']
['306', '121', '35', '353', '169', '352', '86']
['34', '198', '85', '350', '300', '214', '351']
['167', '27', '336', '70', '183', '337', '113']
['335', '259', '26', '334', '166', '106', '69']
['331', '219', '180', '67', '330', '24', '90']
['163', '328', '23', '329', '80', '66', '179']
['138', '57', '326', '22', '280', '111', '327']
['325', '109', '21', '137', '56', '324', '270']
['323', '20', '136', '401', '268', '452', '107']
['134', '150', '53', '18', '319', '318', '95']
['316', '52', '17', '89', '133', '172', '317']
['208', '467', '132', '79', '315', '16', '192']
['50', '147', '178', '15', '313', '65', '312']
['139', '406', '484', '469', '42', '170', '123']
['320', '141', '274', '155', '468', '397', '448']
['298', '434', '99', '125', '297', '391', '252']
['258', '390', '456', '114', '433', '287', '349']
['477', '409', '181', '185', '332', '388', '68']
['422', '465', '213', '84', '348', '387', '473']
['204', '385', '346', '471', '420', '242', '97']
['455', '231', '184', '383', '74', '203', '418']
['223', '59', '118', '193', '440', '299', '363']
['158', '279', '149', '408', '93', '187', '238']
['464', '83', '200', '212', '161', '140', '43']
['60', '425', '173', '61', '261', '438', '174']
['266', '449', '190', '144', '47', '71', '338']
['152', '245', '322', '55', '399', '450', '215']
['197', '394', '199', '386', '201', '437', '481']
['228', '432', '303', '382', '417', '94', '445']
['423', '439', '188', '244', '250', '441', '234']
['120', '225', '88', '305', '218', '230', '240']
['227', '102', '345', '290', '304', '255', '119']
['262', '105', '143', '145', '48', '321', '429']
['96', '241', '153', '156', '239', '129', '291']
['226', '76', '205', '159', '285', '282', '165']
['220', '177', '146', '64', '49', '296', '278']
['217', '176', '182', '63', '431', '424', '249']
['224', '126', '54', '151', '253', '251', '410']
['447', '164', '148', '51', '160', '314', '263']
['427', '196', '130', '142', '294', '45', '236']
['276', '286', '444', '416', '421', '272', '487']
['426', '210', '463', '154', '209', '310']
