['998', '842', '237', '980', '230']
['331', '832', '239', '603', '440']
['274', '523', '154', '821', '356']
['308', '509', '965', '506', '733']
['77', '466', '109', '706', '372']
['28', '478', '543', '411', '607']
['570', '177', '173', '806', '174']
['62', '464', '334', '574', '429']
['233', '244', '665', '347', '827']
['127', '884', '519', '353', '257']
['229', '153', '512', '737', '437']
['681', '420', '303', '863', '731']
['132', '988', '448', '566', '107']
['247', '449', '19', '339', '206']
['336', '663', '878', '491', '454']
['547', '298', '626', '13', '830']
['893', '164', '610', '919', '278']
['557', '58', '814', '383', '284']
['753', '401', '136', '362', '614']
['455', '649', '133', '261', '581']
['811', '599', '134', '929', '150']
['63', '144', '253', '30', '724']
['419', '415', '621', '804', '389']
['213', '72', '685', '605', '592']
['394', '691', '12', '155', '501']
['197', '428', '922', '412', '818']
['799', '757', '436', '4', '90']
['645', '631', '266', '67', '18']
['962', '643', '609', '471', '388']
['259', '483', '56', '472', '87']
['990', '476', '518', '459', '580']
['320', '309', '152', '189', '24']
['130', '384', '60', '166', '924']
['81', '918', '485', '251', '492']
['738', '999', '936', '282', '393']
['385', '823', '925', '405', '553']
['167', '316', '591', '451', '264']
['276', '413', '205', '875', '125']
['784', '577', '945', '568', '727']
['73', '915', '149', '683', '594']
['322', '418', '434', '263', '563']
['344', '93', '343', '198', '168']
['460', '452', '94', '381', '40']
['208', '991', '352', '128', '129']
['764', '585', '52', '695', '218']
['17', '920', '435', '342', '446']
['202', '371', '787', '365', '744']
['131', '897', '558', '771', '327']
['258', '669', '749', '25', '873']
['146', '921', '590', '304', '351']
['200', '714', '977', '53', '652']
['306', '720', '867', '682', '178']
['567', '864', '324', '433', '582']
['513', '44', '279', '766', '95']
['959', '2', '747', '882', '68']
['121', '687', '579', '923', '877']
['748', '120', '400', '297', '497']
['927', '647', '828', '97', '392']
['932', '969', '323', '89', '955']
['539', '313', '162', '604', '743']
['307', '717', '402', '490', '366']
['746', '768', '61', '104', '834']
['783', '312', '507', '21', '759']
['906', '615', '532', '185', '791']
['762', '409', '262', '469', '423']
['117', '254', '38', '270', '781']
['311', '184', '70', '900', '550']
['426', '635', '625', '504', '549']
['825', '740', '943', '674', '113']
['226', '769', '816', '116', '624']
['779', '34', '950', '537', '616']
['157', '874', '802', '774', '729']
['888', '544', '248', '527', '608']
['404', '656', '272', '707', '71']
['750', '505', '374', '203', '285']
['204', '292', '658', '461', '644']
['742', '301', '534', '74', '286']
['207', '9', '424', '80', '123']
['941', '29', '195', '948', '414']
['803', '817', '667', '595', '305']
['26', '126', '895', '15', '807']
['710', '627', '930', '5', '773']
['953', '31', '57', '234', '524']
['709', '453', '515', '85', '487']
['231', '951', '552', '958', '75']
['889', '293', '760', '696', '110']
['697', '296', '108', '837', '338']
['443', '345', '960', '46', '493']
['786', '36', '406', '158', '778']
['325', '908', '289', '172', '813']
['245', '917', '408', '508', '240']
['968', '516', '690', '871', '699']
['797', '367', '386', '866', '470']
['712', '382', '8', '170', '391']
['27', '456', '975', '885', '291']
['843', '212', '745', '583', '111']
['163', '634', '201', '560', '911']
['295', '183', '294', '996', '317']
['708', '688', '805', '520', '831']
['39', '824', '7', '994', '598']
['829', '241', '396', '249', '119']
['1', '398', '243', '140', '522']
['756', '541', '847', '88', '337']
['780', '637', '265', '628', '410']
['252', '700', '529', '488', '938']
['222', '751', '701', '777', '10']
['668', '822', '256', '101', '846']
['845', '369', '49', '329', '638']
['360', '191', '498', '666', '989']
['653', '399', '525', '238', '277']
['984', '928', '91', '593', '236']
['792', '798', '856', '576', '597']
['736', '106', '602', '868', '789']
['546', '633', '275', '967', '600']
['725', '143', '315', '719', '215']
['92', '957', '650', '43', '612']
['328', '841', '801', '209', '713']
['723', '416', '318', '333', '122']
['646', '622', '561', '250', '641']
['879', '467', '377', '886', '403']
['188', '225', '425', '618', '542']
['640', '223', '540', '484', '186']
['770', '463', '586', '232', '175']
['735', '664', '340', '242', '788']
['135', '726', '314', '69', '758']
['966', '655', '835', '41', '812']
['694', '159', '499', '387', '359']
['224', '554', '679', '716', '848']
['887', '96', '283', '273', '500']
['105', '545', '767', '194', '630']
['851', '914', '267', '741', '358']
['978', '199', '380', '124', '660']
['376', '219', '905', '808', '860']
['103', '147', '913', '474', '538']
['556', '6', '730', '949', '639']
['510', '891', '535', '662', '704']
['390', '632', '430', '755', '972']
['692', '288', '933', '355', '438']
['216', '196', '861', '898', '795']
['987', '59', '35', '486', '761']
['50', '348', '997', '661', '916']
['809', '800', '564', '973', '192']
['354', '899', '765', '379', '445']
['427', '422', '793', '368', '734']
['782', '859', '82', '880', '521']
['718', '678', '677', '902', '290']
['983', '826', '689', '698', '481']
['171', '281', '432', '137', '536']
['569', '115', '648', '946', '300']
['702', '533', '407', '849', '66']
['514', '970', '16', '330', '910']
['853', '489', '11', '364', '310']
['211', '156', '623', '993', '964']
['963', '23', '442', '319', '892']
['705', '503', '876', '48', '349']
['589', '361', '114', '912', '672']
['620', '942', '479', '37', '548']
['857', '439', '896', '909', '235']
['739', '642', '840', '961', '676']
['617', '794', '775', '458', '179']
['790', '32', '944', '246', '255']
['335', '931', '83', '810', '937']
['33', '571', '551', '573', '611']
['269', '145', '378', '654', '480']
['940', '227', '721', '112', '65']
['833', '588', '475', '981', '321']
['421', '54', '596', '894', '214']
['139', '619', '302', '752', '441']
['346', '457', '161', '260', '939']
['221', '180', '22', '268', '971']
['142', '852', '447', '673', '858']
['844', '865', '14', '341', '370']
['976', '862', '45', '526', '165']
['20', '375', '431', '815', '55']
['986', '141', '350', '271', '482']
['531', '565', '954', '584', '907']
['722', '657', '901', '732', '332']
['572', '102', '530', '587', '3']
['176', '904', '651', '934', '785']
['883', '728', '517', '881', '819']
['496', '42', '193', '711', '181']
['974', '444', '217', '754', '160']
['220', '836', '703', '280', '187']
['465', '562', '47', '601', '995']
['670', '763', '869', '299', '659']
['555', '0', '675', '395', '450']
['854', '373', '210', '397', '839']
['138', '100', '979', '985', '287']
['982', '872', '79', '952', '671']
['575', '772', '468', '855', '956']
['686', '99', '169', '462', '528']
['796', '182', '148', '151', '98']
['78', '417', '51', '820', '559']
['693', '890', '190', '870', '326']
['926', '680', '776', '715', '473']
['613', '850', '76', '511', '495']
['228', '84', '502', '838', '363']
['477', '684', '935', '86', '636']
['64', '947', '903', '494', '629']
['992', '357', '118', '578', '606']
