['336', '331', '140']
['381', '274', '156']
['41', '54', '308']
['466', '224', '892']
['334', '905', '668']
['216', '233', '57']
['706', '884', '557']
['789', '988', '231']
['19', '797', '497']
['614', '66', '678']
['284', '542', '656']
['791', '581', '412']
['864', '505', '389']
['681', '280', '419']
['77', '985', '312']
['853', '182', '842']
['72', '782', '147']
['304', '998', '155']
['734', '608', '574']
['6', '293', '4']
['81', '829', '230']
['309', '825', '195']
['384', '439', '69']
['843', '467', '631']
['479', '813', '428']
['235', '386', '591']
['545', '143', '413']
['178', '105', '784']
['31', '300', '344']
['881', '531', '485']
['121', '606', '128']
['320', '566', '556']
['454', '365', '26']
['826', '109', '393']
['995', '897', '329']
['627', '996', '25']
['775', '670', '720']
['253', '175', '682']
['44', '834', '685']
['50', '968', '609']
['2', '46', '852']
['548', '735', '579']
['919', '139', '297']
['448', '290', '740']
['954', '441', '604']
['863', '369', '366']
['759', '558', '768']
['906', '713', '451']
['695', '409', '611']
['491', '311', '741']
['339', '98', '537']
['126', '625', '437']
['804', '712', '943']
['0', '666', '527']
['203', '939', '832']
['482', '266', '818']
['306', '637', '859']
['478', '292', '628']
['626', '534', '91']
['691', '55', '799']
['10', '29', '480']
['586', '376', '595']
['15', '959', '654']
['58', '352', '714']
['912', '999', '85']
['738', '646', '411']
['440', '890', '785']
['841', '936', '657']
['573', '462', '75']
['871', '921', '110']
['328', '924', '786']
['335', '673', '902']
['219', '524', '721']
['305', '801', '368']
['699', '519', '941']
['222', '260', '979']
['514', '430', '275']
['358', '866', '500']
['605', '882', '68']
['387', '307', '106']
['994', '893', '672']
['170', '526', '211']
['812', '742', '237']
['737', '488', '909']
['60', '515', '593']
['247', '933', '972']
['104', '390', '47']
['496', '486', '661']
['811', '725', '40']
['476', '903', '793']
['610', '158', '360']
['401', '783', '540']
['927', '580', '697']
['477', '520', '171']
['11', '700', '523']
['464', '282', '862']
['189', '137', '39']
['846', '572', '249']
['570', '828', '431']
['97', '28', '765']
['923', '851', '612']
['53', '551', '405']
['692', '180', '541']
['983', '324', '617']
['987', '739', '326']
['244', '553', '857']
['1', '597', '414']
['323', '317', '937']
['48', '824', '410']
['202', '87', '52']
['362', '206', '287']
['973', '433', '763']
['382', '310', '856']
['686', '736', '88']
['989', '424', '363']
['756', '807', '473']
['992', '346', '607']
['702', '132', '724']
['809', '873', '252']
['900', '234', '950']
['232', '935', '840']
['575', '926', '136']
['794', '318', '918']
['910', '425', '469']
['503', '754', '578']
['92', '854', '592']
['286', '498', '481']
['599', '521', '148']
['314', '908', '596']
['251', '406', '731']
['198', '620', '21']
['396', '957', '730']
['635', '56', '408']
['664', '971', '417']
['62', '687', '677']
['461', '73', '392']
['356', '844', '153']
['152', '549', '977']
['82', '931', '618']
['67', '177', '215']
['535', '342', '602']
['688', '301', '803']
['507', '878', '107']
['633', '114', '443']
['717', '492', '701']
['974', '108', '24']
['12', '242', '95']
['836', '351', '552']
['167', '264', '475']
['762', '200', '655']
['729', '402', '947']
['772', '359', '374']
['101', '911', '350']
['226', '375', '262']
['780', '184', '333']
['684', '562', '603']
['565', '63', '495']
['37', '982', '790']
['357', '377', '277']
['980', '483', '958']
['710', '7', '698']
['978', '662', '949']
['889', '145', '629']
['669', '17', '285']
['733', '259', '920']
['154', '278', '615']
['196', '385', '590']
['460', '929', '711']
['703', '550', '327']
['188', '869', '658']
['767', '723', '867']
['45', '135', '38']
['961', '161', '49']
['421', '146', '388']
['490', '964', '875']
['755', '8', '444']
['435', '522', '536']
['416', '861', '778']
['963', '564', '372']
['20', '517', '632']
['510', '42', '872']
['948', '970', '641']
['489', '94', '858']
['165', '429', '303']
['391', '816', '103']
['257', '583', '821']
['719', '64', '743']
['183', '450', '470']
['506', '865', '845']
['474', '751', '446']
['547', '774', '744']
['115', '932', '639']
['373', '191', '43']
['753', '364', '653']
['887', '61', '70']
['383', '212', '371']
['447', '683', '874']
['397', '181', '434']
['622', '718', '659']
['817', '709', '210']
['112', '781', '634']
['228', '707', '674']
['715', '652', '956']
['822', '806', '638']
['771', '895', '370']
['160', '96', '449']
['283', '197', '345']
['89', '296', '726']
['952', '426', '508']
['199', '221', '313']
['209', '555', '594']
['459', '423', '457']
['315', '589', '788']
['967', '766', '917']
['354', '138', '619']
['773', '907', '532']
['74', '319', '261']
['696', '962', '533']
['122', '79', '16']
['51', '168', '35']
['764', '769', '722']
['116', '299', '649']
['332', '398', '916']
['965', '981', '630']
['341', '800', '113']
['814', '27', '76']
['986', '883', '367']
['879', '576', '716']
['295', '651', '513']
['422', '504', '660']
['815', '571', '877']
['267', '93', '164']
['250', '269', '663']
['204', '976', '951']
['13', '111', '420']
['18', '727', '559']
['901', '820', '162']
['894', '316', '468']
['407', '679', '361']
['560', '400', '975']
['65', '208', '966']
['348', '704', '436']
['750', '732', '378']
['855', '279', '471']
['272', '779', '298']
['142', '127', '194']
['930', '529', '32']
