['756', '331', '142', '826', '233', '173', '19', '284', '389', '307', '301', '728', '794', '425', '835', '499', '586', '504', '10', '455', '428', '832', '768', '253', '902', '524', '44', '627', '609', '864', '169', '45', '997']
['565', '308', '70', '653', '272', '614', '994', '338', '306', '556', '842', '691', '744', '379', '159', '680', '784', '357', '683', '802', '605', '51', '97', '700', '566', '896', '721', '970', '374', '206', '140', '448', '759']
['163', '274', '857', '959', '157', '884', '774', '339', '80', '249', '739', '574', '89', '136', '61', '871', '384', '697', '918', '619', '551', '437', '801', '638', '238', '889', '684', '33', '396', '164', '133', '243', '470']
['751', '211', '340', '466', '763', '527', '707', '230', '877', '221', '419', '799', '483', '183', '382', '186', '738', '983', '866', '187', '286', '365', '598', '68', '216', '743', '477', '998', '373', '50', '24', '795', '672']
['767', '503', '765', '160', '150', '283', '581', '780', '26', '595', '747', '372', '440', '573', '179', '309', '20', '457', '16', '101', '69', '582', '290', '388', '317', '528', '987', '710', '954', '711', '577', '868', '882']
['557', '167', '725', '311', '145', '996', '201', '480', '798', '534', '878', '77', '865', '154', '244', '361', '111', '43', '544', '742', '702', '782', '344', '603', '820', '925', '310', '663', '149', '268', '716', '341', '628']
['360', '988', '590', '818', '887', '293', '262', '231', '184', '476', '155', '137', '364', '624', '462', '789', '848', '174', '681', '152', '413', '199', '965', '948', '196', '465', '735', '22', '649', '168', '530', '118', '170']
['430', '329', '53', '625', '678', '537', '454', '492', '529', '445', '712', '342', '921', '303', '85', '486', '75', '315', '257', '47', '304', '785', '285', '222', '762', '191', '856', '733', '633', '438', '436', '912', '366']
['73', '439', '176', '846', '828', '271', '776', '368', '493', '17', '34', '242', '973', '559', '41', '214', '4', '639', '631', '931', '591', '158', '790', '288', '520', '804', '911', '497', '223', '269', '23', '827']
['974', '225', '6', '401', '939', '204', '722', '541', '343', '880', '967', '563', '843', '540', '803', '561', '381', '665', '946', '885', '95', '601', '662', '124', '607', '320', '25', '571', '153', '35', '239', '122']
['585', '334', '647', '560', '287', '424', '117', '701', '512', '13', '494', '934', '602', '478', '610', '330', '128', '771', '495', '659', '278', '669', '622', '67', '737', '730', '634', '579', '944', '508', '7', '630']
['9', '817', '977', '723', '228', '323', '471', '533', '110', '81', '984', '920', '408', '114', '485', '412', '862', '86', '208', '657', '861', '11', '632', '991', '100', '467', '753', '543', '125', '297', '232', '356']
['547', '127', '969', '94', '151', '107', '58', '52', '643', '72', '432', '148', '433', '713', '129', '531', '690', '949', '353', '348', '104', '894', '506', '146', '171', '963', '942', '2', '876', '815', '604', '923']
['376', '523', '60', '715', '819', '709', '134', '453', '109', '689', '469', '490', '46', '788', '392', '570', '434', '267', '626', '250', '930', '644', '698', '812', '704', '393', '141', '720', '451', '693', '398', '418']
['217', '907', '964', '215', '31', '426', '855', '592', '980', '474', '892', '123', '599', '345', '927', '36', '754', '823', '985', '910', '807', '893', '258', '897', '872', '404', '975', '79', '635', '431', '371', '773']
['906', '409', '91', '615', '850', '491', '212', '332', '395', '919', '300', '71', '226', '840', '416', '32', '246', '791', '414', '385', '899', '261', '429', '935', '509', '479', '890', '189', '741', '849', '661', '192']
['797', '103', '703', '943', '873', '597', '292', '394', '200', '84', '726', '209', '411', '105', '241', '390', '830', '78', '498', '405', '391', '989', '999', '234', '778', '554', '575', '706', '375', '952', '517', '611']
['120', '62', '668', '679', '805', '993', '814', '421', '522', '220', '121', '829', '96', '519', '863', '745', '352', '358', '147', '905', '908', '0', '909', '674', '305', '263', '787', '90', '845', '656', '178', '558']
['496', '750', '874', '38', '950', '501', '359', '203', '335', '879', '957', '265', '760', '914', '407', '255', '724', '532', '420', '355', '568', '260', '692', '354', '400', '227', '941', '746', '264', '670', '740', '165']
