['756', '664', '217', '145', '763', '707', '203', '597', '215', '117', '709', '121', '760', '476', '57', '303', '350', '481', '586', '111', '606', '572', '457', '93', '114', '704', '598', '792', '64', '467', '634', '733']
['376', '589', '679', '233', '210', '150', '19', '560', '529', '600', '220', '77', '72', '63', '618', '82', '379', '186', '755', '85', '639', '540', '99', '607', '778', '264', '149', '730', '706', '446', '635', '312']
['27', '157', '340', '28', '6', '14', '580', '306', '794', '155', '137', '595', '15', '382', '378', '766', '41', '440', '464', '417', '510', '380', '644', '735', '171', '373', '451', '719', '399', '666', '341', '181']
['331', '466', '289', '593', '473', '328', '228', '469', '432', '402', '624', '255', '619', '415', '353', '696', '101', '441', '582', '785', '743', '207', '39', '44', '575', '178', '135', '609', '268', '144', '741', '448']
['557', '585', '725', '329', '271', '715', '359', '764', '769', '444', '265', '108', '364', '541', '410', '791', '783', '513', '784', '736', '132', '790', '698', '700', '542', '124', '196', '25', '746', '649', '550', '192']
['274', '308', '70', '225', '103', '491', '248', '576', '776', '395', '549', '389', '522', '798', '262', '483', '519', '377', '518', '747', '209', '110', '422', '105', '104', '347', '727', '692', '141', '579', '608', '277']
['316', '334', '625', '525', '536', '321', '87', '218', '109', '468', '361', '366', '411', '10', '681', '570', '413', '532', '690', '42', '652', '437', '162', '337', '238', '282', '651', '2', '470', '671', '773', '165']
['569', '439', '212', '614', '445', '55', '640', '131', '343', '136', '587', '490', '46', '617', '152', '761', '384', '250', '612', '762', '369', '11', '367', '514', '156', '558', '753', '398', '297', '611', '744', '672']
['163', '127', '311', '173', '421', '190', '535', '335', '204', '247', '534', '184', '425', '32', '280', '559', '246', '660', '616', '488', '81', '748', '697', '428', '177', '675', '263', '482', '477', '658', '35', '168']
['708', '461', '201', '521', '780', '426', '96', '231', '588', '508', '387', '333', '455', '199', '507', '768', '555', '116', '475', '97', '638', '305', '662', '285', '320', '695', '447', '185', '431', '314', '371', '500']
['142', '668', '750', '460', '459', '424', '492', '292', '52', '254', '779', '134', '512', '17', '386', '200', '494', '694', '241', '345', '561', '605', '485', '253', '197', '269', '322', '79', '22', '458', '118', '438']
['427', '120', '767', '757', '38', '654', '272', '284', '230', '480', '226', '701', '26', '463', '37', '655', '129', '502', '309', '138', '390', '235', '524', '629', '223', '354', '642', '383', '74', '795', '175', '552']
['360', '770', '324', '454', '31', '419', '394', '416', '775', '1', '676', '159', '745', '592', '599', '315', '420', '351', '566', '304', '240', '153', '632', '404', '23', '296', '281', '397', '319', '594', '628', '122']
['92', '59', '91', '449', '205', '503', '339', '332', '195', '249', '581', '293', '772', '313', '673', '563', '174', '786', '219', '489', '686', '16', '330', '520', '674', '636', '528', '710', '227', '657', '76', '243']
['496', '9', '176', '718', '765', '112', '172', '80', '370', '301', '646', '182', '574', '726', '462', '65', '236', '75', '613', '782', '78', '344', '275', '787', '497', '670', '239', '362', '511', '140', '7', '759']
['229', '590', '300', '699', '34', '728', '29', '732', '154', '66', '4', '724', '295', '631', '443', '434', '406', '158', '20', '602', '348', '553', '506', '734', '429', '317', '68', '100', '714', '164', '45', '538']
['139', '21', '18', '527', '273', '71', '307', '722', '556', '188', '435', '89', '738', '474', '336', '562', '591', '147', '0', '257', '288', '128', '47', '48', '365', '659', '278', '291', '33', '684', '543', '584']
['545', '83', '5', '270', '202', '221', '245', '739', '148', '352', '680', '788', '363', '544', '623', '408', '381', '286', '290', '86', '393', '465', '554', '663', '509', '667', '479', '189', '630', '115', '661', '731']
['751', '409', '547', '653', '53', '452', '677', '349', '567', '799', '453', '166', '84', '596', '372', '573', '325', '357', '551', '610', '391', '487', '222', '720', '180', '12', '737', '539', '374', '24', '356', '604']
['167', '62', '73', '213', '688', '94', '678', '650', '58', '13', '323', '294', '358', '423', '179', '267', '546', '705', '683', '95', '260', '771', '266', '208', '622', '106', '530', '711', '54', '133', '515', '170']
['615', '523', '647', '237', '401', '151', '283', '796', '689', '318', '499', '251', '43', '478', '51', '355', '261', '412', '548', '310', '113', '495', '388', '40', '216', '693', '682', '627', '740', '633', '781', '436']
['637', '49', '430', '774', '752', '703', '501', '537', '368', '107', '643', '516', '342', '244', '526', '414', '385', '327', '126', '194', '69', '8', '3', '450', '258', '146', '749', '375', '169', '577', '88', '326']
['160', '777', '338', '102', '691', '471', '198', '407', '242', '98', '758', '789', '403', '392', '531', '702', '259', '687', '717', '36', '754', '498', '56', '187', '568', '234', '669', '191', '396', '50', '206', '517']
['797', '565', '60', '583', '287', '729', '30', '641', '620', '224', '712', '346', '183', '648', '685', '433', '486', '214', '252', '302', '279', '193', '603', '405', '601', '472', '130', '400', '67', '656', '125', '232']
['211', '493', '299', '723', '484', '621', '533', '61', '713', '504', '123', '119', '645', '742', '456', '626', '256', '564', '665', '578', '793', '90', '276', '298', '571', '143', '721', '505', '442', '161', '716', '418']
