['274', '308', '70', '884', '916']
['272', '331', '614', '454']
['466', '233', '155', '364']
['334', '19', '932', '389']
['569', '284', '128', '419']
['77', '182', '4', '574']
['81', '384', '197', '581']
['681', '696', '344', '842']
['188', '631', '604', '784']
['72', '279', '591', '428']
['365', '254', '609', '485']
['320', '897', '943', '731']
['477', '381', '366', '393']
['309', '566', '766', '759']
['44', '906', '651', '311']
['605', '2', '25', '720']
['527', '484', '413', '682']
['448', '905', '579', '537']
['642', '292', '818', '297']
['440', '203', '409', '728']
['339', '121', '882', '595']
['824', '691', '625', '913']
['902', '149', '29', '908']
['75', '399', '534', '411']
['15', '110', '697', '607']
['97', '66', '85', '786']
['306', '352', '183', '158']
['257', '396', '936', '192']
['911', '166', '8', '408']
['866', '206', '947', '470']
['885', '398', '133', '329']
['167', '756', '435', '668']
['746', '41', '317', '502']
['394', '814', '827', '140']
['773', '751', '242', '161']
['316', '290', '173', '215']
['587', '71', '483', '597']
['304', '577', '21', '653']
['22', '593', '245', '646']
['835', '328', '377', '886']
['204', '846', '540', '834']
['186', '238', '266', '189']
['112', '199', '848', '512']
['499', '803', '58', '878']
['692', '35', '723', '918']
['152', '288', '669', '17']
['296', '568', '765', '414']
['808', '891', '740', '7']
['92', '118', '506', '38']
['216', '761', '463', '62']
['267', '809', '376', '701']
['244', '253', '802', '678']
['18', '163', '797', '386']
['828', '433', '34', '327']
['202', '299', '229', '861']
['817', '926', '873', '343']
['757', '707', '30', '743']
['486', '699', '432', '592']
['689', '779', '853', '590']
['387', '863', '887', '425']
['474', '407', '687', '248']
['702', '415', '672', '602']
['823', '546', '737', '379']
['544', '412', '468', '392']
['67', '234', '134', '598']
['28', '330', '340', '16']
['843', '250', '259', '805']
['23', '87', '864', '716']
['708', '686', '876', '6']
['319', '439', '883', '739']
['649', '794', '608', '171']
['557', '401', '127', '641']
['478', '225', '230', '368']
['221', '769', '300', '46']
['490', '811', '775', '907']
['780', '37', '132', '493']
['13', '178', '558', '523']
['652', '218', '26', '239']
['295', '584', '617', '32']
['747', '255', '875', '434']
['931', '709', '542', '337']
['548', '336', '690', '195']
['51', '644', '429', '685']
['207', '33', '443', '420']
['942', '361', '603', '594']
['627', '126', '472', '734']
['643', '369', '88', '776']
['222', '771', '211', '335']
['637', '518', '212', '353']
['362', '495', '91', '103']
['826', '940', '145', '39']
['611', '471', '170', '552']
['900', '426', '738', '654']
['459', '919', '736', '40']
['871', '65', '713', '338']
['198', '500', '69', '533']
['570', '845', '924', '270']
['404', '129', '837', '260']
['573', '703', '291', '303']
['894', '10', '832', '949']
['455', '180', '893', '619']
['599', '688', '223', '564']
['514', '457', '855', '68']
['750', '889', '106', '315']
['928', '531', '156', '436']
['374', '268', '600', '849']
['243', '929', '390', '476']
['446', '247', '12', '877']
['912', '359', '725', '921']
['479', '226', '547', '371']
['349', '159', '509', '680']
['813', '798', '402', '551']
['927', '705', '519', '148']
['89', '498', '768', '799']
['43', '831', '237', '165']
['856', '31', '214', '287']
['382', '742', '281', '104']
['815', '588', '375', '789']
['53', '783', '679', '840']
['841', '59', '526', '475']
['819', '324', '612', '862']
['937', '901', '431', '700']
['673', '321', '730', '282']
['332', '939', '554', '346']
['645', '224', '278', '639']
['732', '721', '565', '851']
['496', '572', '416', '249']
['109', '482', '147', '403']
['543', '762', '318', '424']
['136', '782', '706', '370']
['45', '954', '42', '164']
['251', '950', '360', '160']
['667', '447', '934', '632']
['635', '307', '655', '217']
['181', '549', '615', '24']
['205', '711', '662', '355']
['910', '580', '836', '200']
['535', '117', '529', '562']
['36', '52', '1', '724']
['567', '280', '107', '333']
['755', '177', '293', '105']
['441', '810', '96', '294']
['610', '285', '661', '618']
['790', '430', '385', '261']
['717', '47', '666', '638']
['670', '807', '541', '93']
['11', '763', '480', '634']
['351', '869', '142', '698']
['491', '444', '659', '421']
['196', '193', '656', '508']
['82', '938', '850', '586']
['767', '20', '718', '647']
['258', '665', '664', '520']
['948', '620', '955', '286']
['792', '60', '624', '345']
['395', '952', '391', '325']
['358', '695', '880', '372']
['510', '622', '854', '796']
['283', '563', '946', '555']
['530', '553', '301', '397']
['49', '373', '909', '760']
['494', '899', '513', '298']
['48', '753', '806', '507']
['342', '675', '378', '154']
['150', '113', '868', '95']
['310', '576', '313', '536']
['73', '450', '100', '139']
['383', '210', '187', '213']
['663', '719', '525', '481']
['262', '795', '209', '941']
['256', '57', '839', '488']
['630', '556', '816', '788']
['138', '582', '822', '503']
['585', '168', '64', '83']
['583', '108', '606', '505']
['516', '27', '54', '174']
['517', '79', '341', '744']
['671', '511', '289', '312']
['748', '460', '829', '852']
['956', '141', '131', '157']
['504', '492', '271', '14']
['191', '833', '589', '578']
['772', '464', '151', '422']
['406', '462', '111', '252']
['532', '660', '539', '616']
['881', '56', '628', '904']
['898', '745', '348', '265']
['453', '729', '925', '528']
['273', '388', '124', '781']
['357', '770', '90', '0']
['758', '626', '793', '405']
['74', '232', '231', '658']
['467', '452', '122', '821']
['228', '264', '172', '451']
['545', '275', '169', '9']
['870', '501', '865', '61']
['953', '633', '469', '596']
['356', '561', '559', '522']
['461', '120', '722', '930']
['219', '787', '903', '98']
['78', '727', '683', '241']
['715', '497', '179', '417']
['50', '915', '951', '820']
['116', '185', '571', '714']
['347', '825', '302', '858']
['944', '123', '923', '629']
['235', '812', '201', '269']
['427', '890', '538', '326']
['640', '125', '677', '693']
['726', '524', '777', '621']
['176', '473', '791', '872']
['764', '458', '190', '922']
['305', '323', '920', '184']
['704', '5', '236', '917']
['613', '636', '623', '55']
['456', '246', '114', '354']
['115', '487', '874', '674']
['80', '101', '99', '367']
['892', '146', '438', '778']
['575', '752', '135', '350']
['860', '895', '648', '741']
['277', '945', '363', '322']
['676', '896', '933', '84']
['400', '437', '867', '449']
['914', '86', '144', '465']
['888', '749', '859', '733']
['94', '418', '137', '76']
['847', '423', '684', '194']
['712', '153', '162', '657']
['650', '935', '838', '175']
['263', '754', '774', '240']
['800', '844', '227', '3']
['143', '857', '102', '119']
['489', '735', '410', '521']
['804', '380', '879', '601']
['130', '830', '560', '694']
['220', '314', '63', '445']
['710', '785', '801', '276']
['442', '515', '208', '550']
