['274', '331', '52', '630']
['466', '671', '308', '520']
['334', '354', '233', '583']
['703', '19', '454', '312']
['585', '614', '284', '389']
['359', '27', '581', '419']
['77', '72', '589', '424']
['460', '149', '155', '574']
['681', '14', '4', '532']
['631', '289', '146', '81']
['305', '384', '428', '271']
['309', '729', '591', '32']
['413', '480', '784', '364']
['381', '114', '131', '344']
['57', '485', '128', '103']
['361', '566', '365', '76']
['320', '606', '758', '393']
['504', '25', '773', '720']
['44', '203', '462', '682']
['2', '111', '65', '609']
['160', '579', '297', '748']
['448', '604', '646', '422']
['15', '464', '366', '759']
['311', '409', '743', '626']
['406', '339', '625', '701']
['527', '686', '458', '537']
['172', '56', '292', '818']
['306', '452', '121', '793']
['141', '691', '388', '534']
['220', '29', '124', '595']
['484', '352', '85', '90']
['440', '230', '191', '411']
['110', '632', '790', '75']
['786', '457', '697', '451']
['397', '467', '158', '408']
['257', '273', '74', '8']
['317', '633', '97', '499']
['640', '396', '746', '169']
['152', '398', '133', '628']
['122', '258', '206', '470']
['167', '569', '287', '140']
['89', '316', '59', '756']
['190', '751', '142', '668']
['545', '329', '21', '523']
['814', '718', '173', '508']
['150', '31', '593', '653']
['71', '529', '151', '597']
['492', '328', '524', '215']
['649', '370', '245', '512']
['548', '483', '377', '522']
['186', '234', '242', '816']
['41', '281', '728', '414']
['498', '540', '803', '265']
['642', '199', '267', '469']
['635', '808', '183', '802']
['288', '166', '568', '9']
['745', '506', '238', '363']
['692', '216', '61', '194']
['197', '669', '98', '294']
['35', '766', '554', '740']
['577', '66', '501', '189']
['404', '7', '123', '761']
['809', '811', '219', '192']
['557', '227', '302', '327']
['496', '376', '92', '78']
['163', '797', '417', '641']
['817', '62', '478', '468']
['51', '757', '260', '229']
['275', '386', '765', '38']
['665', '348', '678', '590']
['116', '699', '707', '253']
['202', '812', '30', '209']
['689', '727', '34', '420']
['225', '425', '497', '432']
['343', '12', '714', '379']
['599', '407', '244', '446']
['474', '486', '356', '70']
['544', '269', '661', '392']
['326', '702', '259', '700']
['602', '181', '744', '16']
['250', '120', '495', '330']
['176', '607', '571', '412']
['23', '67', '94', '461']
['782', '737', '319', '776']
['473', '603', '608', '716']
['55', '439', '674', '672']
['204', '374', '127', '340']
['708', '747', '6', '764']
['401', '248', '567', '528']
['516', '218', '17', '368']
['780', '582', '300', '184']
['453', '769', '134', '170']
['622', '435', '26', '739']
['794', '13', '323', '741']
['621', '676', '775', '685']
['490', '307', '596', '37']
['680', '255', '254', '46']
['295', '531', '617', '236']
['791', '336', '443', '533']
['588', '132', '613', '434']
['456', '644', '402', '690']
['546', '472', '683', '337']
['771', '734', '675', '99']
['507', '542', '429', '252']
['33', '290', '338', '623']
['232', '93', '369', '171']
['627', '101', '558', '598']
['193', '421', '362', '239']
['594', '405', '88', '346']
['286', '611', '235', '552']
['491', '637', '211', '778']
['135', '721', '145', '91']
['188', '511', '459', '212']
['526', '144', '270', '654']
['195', '399', '615', '493']
['335', '58', '161', '345']
['277', '695', '518', '643']
['427', '115', '738', '471']
['367', '573', '129', '60']
['570', '126', '10', '535']
['736', '293', '538', '390']
['228', '415', '315', '619']
['648', '564', '519', '353']
['489', '198', '69', '291']
['223', '433', '180', '68']
['530', '514', '156', '378']
['358', '268', '106', '350']
['246', '299', '243', '371']
['185', '813', '119', '436']
['547', '500', '240', '437']
['130', '725', '162', '237']
['349', '656', '636', '805']
['226', '87', '40', '541']
['375', '247', '684', '221']
['476', '465', '785', '303']
['382', '159', '749', '505']
['715', '789', '214', '64']
['455', '264', '153', '43']
['783', '444', '705', '322']
['296', '279', '551', '174']
['645', '605', '810', '768']
['696', '475', '20', '781']
['304', '562', '418', '104']
['278', '165', '79', '612']
['222', '50', '774', '282']
['5', '563', '266', '39']
['479', '509', '3', '560']
['431', '584', '525', '799']
['815', '565', '600', '592']
['712', '679', '616', '28']
['650', '477', '53', '332']
['321', '324', '723', '559']
['102', '224', '249', '536']
['394', '109', '231', '136']
['732', '587', '182', '139']
['251', '318', '561', '463']
['673', '726', '403', '449']
['80', '572', '494', '639']
['709', '147', '42', '410']
['652', '762', '694', '657']
['667', '755', '241', '447']
['357', '187', '730', '164']
['706', '711', '63', '754']
['801', '777', '360', '24']
['341', '205', '578', '217']
['263', '580', '549', '704']
['45', '117', '107', '601']
['804', '423', '200', '96']
['256', '1', '629', '618']
['280', '487', '655', '710']
['724', '400', '105', '333']
['772', '385', '177', '276']
['717', '553', '687', '208']
['36', '610', '735', '658']
['347', '441', '355', '539']
['22', '201', '698', '638']
['118', '807', '662', '47']
['722', '314', '285', '659']
['11', '196', '515', '137']
['670', '733', '179', '634']
['543', '351', '175']
['767', '664', '796']
['430', '800', '688']
['576', '647', '763']
['272', '482', '395']
['620', '677', '760']
['416', '83', '82']
['372', '713', '380']
['586', '624', '660']
['513', '445', '325']
['510', '742', '555']
['48', '95', '157']
['310', '391', '693']
['792', '450', '550']
['387', '298', '373']
['383', '125', '753']
['719', '770', '666']
['86', '795', '731']
['73', '54', '213']
['750', '49', '84']
['503', '210', '521']
['112', '752', '18']
['283', '806', '0']
['798', '426', '178']
['262', '301', '148']
['556', '108', '502']
['787', '342', '313']
['575', '154', '481']
['488', '438', '788']
['442', '138', '261']
['207', '779', '113']
['143', '100', '663']
['168', '651', '517']
