['889', '875', '713', '238', '858']
['786', '668', '156', '994', '882']
['163', '867', '592', '989', '414']
['646', '311', '760', '314', '834']
['915', '682', '696', '566', '600']
['557', '34', '67', '587', '288']
['681', '800', '884', '133', '821']
['570', '145', '475', '371', '472']
['697', '357', '15', '19', '617']
['483', '158', '905', '21', '542']
['369', '108', '54', '594', '110']
['780', '439', '614', '636', '641']
['196', '534', '35', '579', '818']
['712', '342', '148', '459', '88']
['204', '222', '146', '767', '40']
['670', '397', '441', '41', '731']
['926', '134', '446', '319', '395']
['269', '29', '647', '98', '980']
['79', '700', '232', '284', '604']
['853', '635', '808', '270', '263']
['306', '561', '200', '69', '500']
['455', '906', '551', '603', '195']
['31', '749', '83', '256', '633']
['42', '294', '755', '114', '827']
['984', '739', '609', '948', '90']
['532', '737', '844', '68', '363']
['664', '303', '675', '504', '282']
['878', '199', '193', '56', '662']
['751', '797', '632', '244', '55']
['139', '658', '846', '823', '452']
['466', '863', '161', '550', '493']
['331', '643', '329', '605', '498']
['434', '993', '885', '391', '628']
['861', '212', '151', '30', '450']
['769', '571', '932', '492', '317']
['308', '720', '689', '648', '243']
['427', '959', '573', '860', '487']
['205', '343', '866', '324', '801']
['637', '188', '136', '47', '87']
['461', '644', '348', '482', '629']
['708', '396', '873', '593', '611']
['572', '465', '180', '868', '601']
['857', '142', '784', '703', '869']
['983', '921', '381', '115', '552']
['816', '13', '412', '997', '300']
['615', '730', '690', '775', '471']
['435', '430', '574', '104', '659']
['826', '379', '411', '580', '278']
['135', '189', '251', '474', '338']
['456', '112', '187', '655', '919']
['725', '899', '686', '170', '255']
['756', '701', '576', '442', '429']
['832', '575', '718', '838', '389']
['665', '719', '912', '4', '661']
['422', '417', '401', '61', '485']
['957', '340', '763', '257', '654']
['990', '947', '988', '814', '699']
['695', '865', '420', '820', '45']
['562', '121', '237', '943', '181']
['298', '842', '154', '956', '214']
['631', '367', '559', '590', '327']
['307', '976', '813', '230', '759']
['33', '416', '970', '583', '321']
['963', '164', '977', '253', '448']
['62', '323', '432', '248', '716']
['692', '544', '99', '634', '678']
['274', '315', '440', '791', '502']
['443', '334', '160', '707', '528']
['669', '325', '606', '704', '107']
['37', '652', '511', '999', '174']
['428', '740', '333', '848', '639']
['58', '918', '627', '555', '812']
['126', '431', '995', '936', '277']
['688', '802', '930', '964', '240']
['295', '419', '679', '250', '235']
['292', '565', '350', '698', '733']
['92', '7', '239', '260', '234']
['103', '233', '602', '925', '911']
['301', '409', '118', '946', '175']
['468', '364', '355', '871', '356']
['920', '6', '402', '541', '437']
['940', '680', '527', '548', '819']
['762', '476', '805', '89', '745']
['426', '454', '564', '399', '462']
['599', '279', '2', '337', '368']
['384', '203', '806', '902', '486']
['385', '547', '273', '123', '581']
['316', '267', '109', '969', '588']
['693', '975', '623', '933', '10']
['613', '469', '653', '517', '522']
['404', '991', '261', '473', '761']
['182', '741', '584', '608', '66']
['120', '262', '900', '149', '275']
['702', '77', '649', '349', '179']
['336', '886', '408', '876', '499']
['931', '854', '998', '798', '553']
['72', '71', '140', '910', '807']
['155', '463', '97', '937', '119']
['567', '132', '732', '971', '598']
['241', '210', '874', '268', '944']
['223', '650', '286', '734', '497']
['266', '856', '447', '706', '939']
['52', '942', '618', '787', '299']
['105', '44', '907', '24', '671']
['309', '460', '621', '186', '172']
['684', '64', '765', '673', '597']
['81', '817', '903', '966', '738']
['231', '757', '685', '515', '894']
['444', '904', '406', '433', '206']
['748', '224', '591', '508', '312']
['785', '76', '667', '683', '789']
['982', '770', '353', '950', '954']
['413', '656', '125', '423', '612']
['216', '626', '57', '8', '393']
['859', '891', '48', '660', '616']
['569', '509', '705', '344', '535']
['254', '330', '525', '128', '831']
['464', '421', '398', '352', '339']
['796', '872', '750', '674', '365']
['320', '197', '642', '924', '82']
['328', '829', '941', '484', '252']
['897', '157', '595', '776', '218']
['25', '91', '622', '166', '403']
['908', '753', '297', '494', '366']
['961', '159', '835', '304', '892']
['996', '168', '795', '923', '672']
['850', '479', '638', '881', '839']
['177', '12', '960', '318', '537']
['167', '710', '722', '346', '625']
['245', '728', '822', '424', '438']
['39', '691', '533', '85', '563']
['505', '790', '478', '480', '75']
['131', '394', '927', '955', '326']
['392', '147', '287', '488', '43']
['968', '746', '824', '111', '351']
['228', '116', '958', '506', '370']
['620', '513', '390', '870', '129']
['657', '803', '453', '721', '185']
['376', '322', '772', '171', '32']
['236', '794', '374', '470', '773']
['247', '259', '173', '828', '520']
['845', '481', '387', '86', '215']
['60', '378', '781', '793', '778']
['531', '512', '539', '38', '973']
['840', '377', '560', '242', '310']
['152', '809', '922', '985', '596']
['825', '127', '540', '18', '190']
['852', '514', '913', '676', '568']
['293', '714', '194', '610', '577']
['202', '229', '491', '14', '938']
['843', '887', '841', '949', '849']
['219', '386', '519', '815', '283']
['546', '425', '407', '972', '358']
['974', '217', '619', '16', '743']
['23', '20', '382', '458', '607']
['717', '929', '518', '864', '347']
['687', '360', '78', '46', '249']
['811', '523', '225', '967', '744']
['742', '589', '26', '965', '490']
['221', '198', '747', '777', '95']
['11', '22', '726', '290', '771']
['987', '709', '138', '736', '558']
['211', '545', '415', '362', '445']
['645', '335', '457', '837', '65']
['928', '106', '847', '624', '291']
['226', '63', '945', '436', '877']
['556', '783', '830', '768', '526']
['986', '281', '507', '909', '862']
['851', '375', '5', '405', '916']
['207', '28', '979', '332', '917']
['17', '752', '53', '758', '192']
['901', '782', '934', '162', '305']
['640', '496', '711', '855', '524']
['100', '549', '289', '529', '122']
['117', '96', '836', '1', '804']
['962', '383', '74', '280', '209']
['49', '93', '169', '201', '410']
['585', '313', '272', '893', '724']
['898', '36', '50', '341', '285']
['258', '449', '51', '543', '94']
['70', '516', '880', '372', '788']
['978', '345', '521', '586', '418']
['477', '354', '208', '489', '510']
['792', '735', '651', '952', '981']
['73', '213', '373', '302', '666']
['663', '799', '503', '113', '582']
['953', '27', '833', '271', '630']
['141', '0', '101', '361', '729']
['191', '264', '530', '388', '124']
['59', '554', '451', '467', '359']
['265', '9', '896', '150', '501']
['178', '183', '890', '766', '727']
['694', '176', '677', '715', '538']
['764', '779', '184', '754', '495']
['879', '951', '137', '144', '80']
['888', '220', '914', '895', '3']
['935', '227', '296', '84', '246']
['143', '153', '774', '810', '165']
['400', '723', '102', '883', '536']
['130', '276', '992', '380', '578']
