['213', '194', '350', '94', '318']
['494', '123', '295', '40', '179']
['401', '441', '37', '449', '452']
['497', '207', '6', '246', '68']
['472', '219', '141', '326', '490']
['258', '324', '385', '76', '319']
['312', '470', '164', '270', '310']
['113', '166', '429', '99', '492']
['19', '253', '144', '225', '181']
['361', '278', '140', '61', '301']
['117', '39', '371', '210', '109']
['33', '364', '348', '395', '217']
['198', '46', '51', '266', '52']
['199', '388', '175', '122', '489']
['223', '410', '334', '303', '372']
['344', '352', '308', '28', '263']
['178', '29', '433', '368', '359']
['256', '67', '277', '420', '499']
['374', '9', '38', '498', '369']
['120', '25', '279', '453', '443']
['442', '325', '57', '238', '64']
['407', '462', '496', '290', '424']
['478', '459', '329', '268', '170']
['271', '142', '289', '463', '82']
['86', '274', '437', '128', '447']
['379', '255', '27', '167', '474']
['155', '177', '282', '250', '332']
['261', '285', '341', '81', '230']
['43', '316', '206', '323', '392']
['209', '427', '143', '195', '436']
['467', '477', '196', '188', '264']
['2', '90', '139', '126', '233']
['367', '218', '92', '111', '456']
['336', '394', '245', '343', '465']
['190', '212', '393', '333', '227']
['269', '315', '70', '450', '104']
['382', '152', '35', '13', '100']
['193', '300', '466', '299', '495']
['292', '105', '182', '293', '448']
['16', '358', '321', '135', '236']
['440', '54', '320', '95', '119']
['108', '281', '460', '208', '399']
['241', '235', '262', '471', '226']
['221', '306', '488', '360', '445']
['280', '30', '115', '346', '26']
['446', '41', '491', '165', '229']
['426', '381', '11', '4', '21']
['431', '187', '298', '244', '84']
['65', '103', '288', '473', '468']
['403', '169', '201', '239', '339']
['79', '12', '97', '406', '222']
['479', '211', '425', '347', '136']
['389', '214', '59', '363', '432']
['311', '386', '265', '476', '454']
['362', '493', '114', '412', '125']
['294', '272', '398', '106', '224']
['173', '1', '23', '50', '409']
['423', '457', '73', '186', '228']
['138', '14', '267', '405', '434']
['150', '296', '112', '356', '408']
['45', '107', '400', '189', '260']
['414', '484', '322', '160', '118']
['396', '377', '22', '232', '461']
['430', '93', '148', '297', '44']
['418', '56', '458', '404', '62']
['153', '475', '71', '252', '134']
['183', '242', '185', '415', '192']
['284', '48', '291', '55', '161']
['116', '397', '331', '248', '157']
['419', '151', '7', '340', '482']
['305', '216', '421', '317', '110']
['132', '353', '202', '455', '180']
['314', '240', '422', '146', '191']
['145', '391', '36', '249', '75']
['231', '451', '286', '243', '205']
['439', '283', '77', '357', '102']
['349', '307', '127', '147', '370']
['10', '5', '88', '203', '486']
['251', '172', '53', '327', '63']
['20', '355', '220', '74', '417']
['15', '254', '485', '197', '234']
['366', '309', '47', '42', '156']
['373', '337', '78', '131', '304']
['204', '438', '275', '130', '96']
['390', '69', '380', '137', '85']
['480', '60', '133', '163', '83']
['121', '124', '302', '444', '8']
['328', '413', '72', '66', '149']
['3', '276', '159', '176', '345']
['98', '17', '428', '162', '335']
['171', '416', '18', '200', '273']
['31', '158', '237', '435', '383']
['129', '49', '351', '91', '101']
['365', '402', '375', '287', '259']
['257', '87', '0', '24', '342']
['313', '34', '384', '32', '487']
['469', '58', '154', '215', '411']
['89', '387', '168', '330', '174']
['354', '376', '184', '247', '338']
['483', '80', '378', '481', '464']
