['0', '173', '209', '492', '418']
['1', '112', '424', '455', '417']
['2', '101', '155', '280', '227']
['3', '4', '13', '63', '92']
['5', '6', '7', '8', '281']
['9', '10', '99', '121', '217']
['11', '37', '60', '164', '332']
['12', '14', '42', '96', '203']
['15', '54', '426', '471', '476']
['16', '33', '205', '282', '454']
['17', '43', '97', '243', '132']
['18', '19', '116', '298', '252']
['20', '293', '401', '356', '457']
['21', '22', '23', '24', '25']
['26', '75', '81', '85', '213']
['27', '44', '315', '46', '303']
['28', '90', '127', '286', '485']
['29', '30', '214', '489', '491']
['31', '103', '326', '397', '496']
['32', '50', '279', '402', '53']
['34', '35', '36', '266', '445']
['38', '39', '66', '157', '486']
['40', '73', '133', '357', '140']
['41', '65', '339', '376', '269']
['45', '47', '48', '49', '51']
['52', '55', '56', '57', '226']
['58', '177', '185', '327', '273']
['59', '153', '289', '350', '314']
['61', '167', '441', '449', '317']
['62', '64', '67', '368', '382']
['68', '69', '70', '71', '89']
['72', '413', '448', '150', '387']
['74', '76', '77', '78', '79']
['80', '204', '409', '344', '461']
['82', '83', '176', '191', '351']
['84', '86', '291', '484', '189']
['87', '285', '459', '198', '306']
['88', '244', '254', '276', '348']
['91', '302', '316', '394', '229']
['93', '100', '337', '488', '288']
['94', '124', '414', '430', '442']
['95', '236', '422', '136', '370']
['98', '102', '125', '499', '451']
['104', '139', '386', '334', '411']
['105', '106', '107', '270', '355']
['108', '109', '147', '187', '268']
['110', '201', '373', '410', '456']
['111', '113', '115', '117', '163']
['114', '118', '377', '390', '188']
['119', '120', '122', '169', '342']
['123', '126', '168', '364', '473']
['128', '143', '267', '325', '193']
['129', '130', '131', '134', '395']
['135', '137', '138', '240', '242']
['141', '142', '330', '372', '216']
['144', '253', '429', '321', '431']
['145', '146', '218', '257', '458']
['148', '404', '464', '379', '421']
['149', '151', '152', '154', '156']
['158', '159', '399', '210', '391']
['160', '294', '416', '470', '482']
['161', '162', '166', '224', '284']
['165', '251', '358', '423', '483']
['170', '171', '174', '178', '179']
['172', '359', '388', '481', '220']
['175', '283', '308', '396', '180']
['181', '219', '472', '182', '183']
['184', '186', '195', '272', '277']
['190', '192', '343', '354', '393']
['194', '196', '197', '199', '200']
['202', '206', '207', '208', '211']
['212', '215', '221', '222', '223']
['225', '228', '230', '323', '383']
['231', '232', '287', '233', '234']
['235', '237', '238', '239', '246']
['241', '245', '336', '468', '247']
['248', '427', '249', '436', '465']
['250', '255', '256', '258', '259']
['260', '261', '262', '263', '264']
['265', '305', '371', '313', '271']
['274', '275', '278', '290', '292']
['295', '381', '296', '297', '299']
['300', '301', '304', '307', '309']
['310', '311', '312', '318', '319']
['320', '322', '324', '405', '328']
['329', '331', '333', '335', '338']
['340', '341', '345', '346', '347']
['349', '460', '352', '353', '360']
['361', '362', '363', '365', '366']
['367', '369', '407', '474', '435']
['374', '375', '378', '380', '384']
['385', '389', '392', '398', '400']
['403', '406', '408', '412', '438']
['415', '419', '420', '440', '425']
['428', '452', '432', '433', '434']
['437', '439', '443', '444', '446']
['447', '450', '453', '462', '463']
['466', '467', '469', '475', '477']
['478', '479', '480', '487', '490']
['493', '494', '495', '497', '498']
