['0', '6', '26', '40']
['1', '51', '101', '66']
['2', '47', '178', '218']
['3', '17', '65', '105']
['4', '5', '7', '19']
['8', '12', '14', '32']
['9', '31', '36', '379']
['10', '67', '43', '49']
['11', '77', '16', '348']
['13', '45', '258', '124']
['15', '53', '78', '111']
['18', '20', '46', '68']
['21', '83', '397', '39']
['22', '44', '59', '71']
['23', '201', '72', '315']
['24', '33', '93', '81']
['25', '166', '48', '75']
['27', '86', '162', '99']
['28', '35', '82', '95']
['29', '103', '42', '121']
['30', '114', '122', '347']
['34', '185', '363', '54']
['37', '136', '112', '127']
['38', '129', '398', '73']
['41', '62', '50', '56']
['52', '69', '58', '76']
['55', '90', '100', '107']
['57', '134', '150', '135']
['60', '79', '80', '97']
['61', '151', '85', '89']
['63', '167', '169', '196']
['64', '147', '113', '115']
['70', '87', '131', '206']
['74', '133', '171', '199']
['84', '117', '155', '102']
['88', '175', '123', '154']
['91', '159', '106', '180']
['92', '195', '146', '156']
['94', '110', '140', '148']
['96', '222', '205', '128']
['98', '125', '165', '212']
['104', '173', '191', '139']
['108', '116', '219', '234']
['109', '141', '193', '220']
['118', '184', '186', '142']
['119', '174', '181', '187']
['120', '276', '152', '158']
['126', '203', '211', '137']
['130', '221', '286', '177']
['132', '138', '190', '189']
['143', '242', '202', '367']
['144', '204', '313', '157']
['145', '209', '254', '153']
['149', '160', '245', '224']
['161', '215', '170', '194']
['163', '246', '230', '249']
['164', '236', '240', '192']
['168', '278', '188', '183']
['172', '290', '285', '241']
['176', '223', '265', '273']
['179', '279', '284', '255']
['182', '257', '264', '268']
['197', '387', '256', '311']
['198', '226', '227', '261']
['200', '274', '321', '237']
['207', '317', '228', '231']
['208', '326', '399', '217']
['210', '375', '225', '296']
['213', '214', '328', '275']
['216', '270', '229', '281']
['232', '310', '233', '388']
['235', '262', '358', '385']
['238', '243', '332', '250']
['239', '244', '280', '305']
['247', '327', '294', '299']
['248', '269', '297', '260']
['251', '323', '356', '308']
['252', '338', '295', '320']
['253', '266', '325', '344']
['259', '293', '322', '354']
['263', '346', '306', '380']
['267', '383', '283', '298']
['271', '314', '378', '382']
['272', '277', '288', '282']
['287', '289', '384', '291']
['292', '301', '304', '362']
['300', '392', '386', '394']
['302', '319', '374', '303']
['307', '309', '333', '312']
['316', '318', '376', '324']
['329', '330', '331', '353']
['334', '335', '336', '337']
['339', '340', '341', '373']
['342', '360', '357', '391']
['343', '345', '349', '350']
['351', '369', '352', '355']
['359', '361', '364', '365']
['366', '368', '370', '371']
['372', '377', '381', '389']
['390', '393', '395', '396']
