['10', '194']
['120', '79']
['221', '245']
['37', '58']
['222', '3']
['171', '228']
['67', '116']
['121', '138']
['14', '63']
['45', '76']
['52', '212']
['205', '90']
['160', '13']
['73', '103']
['133', '233']
['86', '206']
['40', '16']
['150', '219']
['184', '164']
['113', '108']
['2', '249']
['170', '11']
['159', '238']
['18', '127']
['156', '193']
['43', '178']
['26', '175']
['246', '247']
['226', '54']
['62', '106']
['48', '109']
['111', '82']
['200', '44']
['132', '34']
['70', '166']
['69', '94']
['17', '220']
['80', '223']
['85', '49']
['181', '147']
['196', '88']
['110', '7']
['89', '172']
['187', '27']
['60', '155']
['23', '214']
['152', '21']
['50', '8']
['126', '174']
['239', '42']
['101', '6']
['241', '55']
['72', '28']
['25', '237']
['209', '215']
['188', '1']
['51', '225']
['211', '202']
['128', '35']
['129', '123']
['53', '19']
['0', '68']
['224', '87']
['208', '100']
['30', '154']
['81', '169']
['84', '217']
['105', '77']
['176', '139']
['31', '229']
['149', '189']
['36', '41']
['140', '24']
['243', '161']
['144', '186']
['46', '20']
['158', '231']
['190', '92']
['29', '234']
['134', '248']
['180', '118']
['203', '33']
['173', '207']
['98', '227']
['122', '65']
['204', '99']
['163', '235']
['75', '199']
['182', '5']
['157', '57']
['96', '12']
['130', '119']
['114', '151']
['213', '141']
['47', '32']
['148', '230']
['83', '4']
['71', '74']
['135', '9']
['242', '165']
['64', '240']
['218', '115']
['167', '56']
['185', '117']
['78', '97']
['168', '124']
['59', '61']
['93', '91']
['179', '216']
['145', '192']
['142', '210']
['22', '146']
['183', '198']
['236', '201']
['162', '177']
['107', '195']
['191', '125']
['38', '244']
['131', '39']
['143', '232']
['15', '104']
['153', '137']
['136', '66']
['95', '197']
['102']
['112']
