['4', '307', '172', '85', '405']
['21', '464', '42', '116', '70']
['139', '244', '428', '20', '212']
['74', '303', '365', '409', '195']
['13', '122', '387', '498', '292']
['7', '441', '377', '430', '177']
['47', '144', '295', '50', '326']
['461', '338', '491', '389', '370']
['91', '196', '153', '259', '209']
['220', '432', '375', '87', '142']
['427', '287', '210', '99', '37']
['345', '218', '95', '334', '90']
['106', '284', '393', '300', '254']
['324', '422', '197', '101', '411']
['92', '298', '385', '58', '494']
['262', '32', '243', '146', '297']
['315', '167', '178', '487', '465']
['452', '499', '64', '169', '444']
['437', '84', '486', '353', '417']
['283', '198', '268', '158', '257']
['473', '363', '185', '5', '489']
['179', '186', '231', '336', '475']
['219', '396', '215', '481', '211']
['67', '216', '213', '304', '6']
['354', '36', '161', '314', '258']
['391', '273', '43', '26', '120']
['440', '113', '413', '81', '79']
['143', '426', '357', '239', '361']
['124', '156', '248', '308', '480']
['245', '472', '449', '131', '33']
['69', '184', '412', '500', '495']
['100', '364', '151', '94', '73']
['65', '163', '194', '404', '282']
['256', '415', '246', '434', '328']
['400', '462', '288', '15', '233']
['410', '224', '344', '260', '490']
['313', '356', '189', '445', '323']
['173', '61', '455', '221', '237']
['111', '366', '59', '192', '223']
['137', '16', '41', '301', '348']
['358', '458', '24', '360', '56']
['103', '249', '325', '372', '44']
['138', '126', '274', '226', '381']
['398', '240', '174', '270', '395']
['34', '2', '312', '252', '10']
['55', '369', '383', '160', '190']
['349', '321', '390', '105', '467']
['140', '394', '379', '399', '133']
['115', '164', '207', '225', '228']
['327', '238', '482', '166', '76']
['176', '168', '45', '63', '436']
['117', '311', '200', '204', '424']
['232', '114', '141', '182', '306']
['485', '286', '57', '165', '492']
['60', '162', '463', '107', '17']
['82', '460', '448', '493', '355']
['418', '135', '451', '1', '290']
['14', '382', '241', '277', '305']
['217', '171', '373', '341', '362']
['148', '378', '466', '234', '229']
['479', '119', '453', '130', '214']
['72', '319', '208', '468', '104']
['294', '359', '339', '267', '291']
['242', '285', '350', '299', '352']
['206', '333', '276', '450', '22']
['474', '102', '28', '476', '125']
['53', '471', '380', '3', '52']
['205', '264', '78', '203', '247']
['431', '296', '136', '265', '83']
['332', '483', '266', '309', '250']
['118', '112', '29', '66', '368']
['96', '145', '371', '456', '236']
['459', '281', '310', '367', '191']
['25', '470', '402', '132', '401']
['86', '155', '98', '438', '376']
['269', '187', '150', '149', '54']
['337', '293', '110', '128', '62']
['154', '121', '419', '457', '392']
['351', '49', '159', '9', '488']
['75', '408', '19', '484', '261']
['170', '271', '478', '109', '446']
['8', '180', '263', '289', '51']
['30', '496', '147', '127', '235']
['421', '88', '40', '230', '38']
['329', '330', '175', '31', '443']
['129', '447', '497', '39', '89']
['342', '255', '322', '23', '183']
['469', '335', '11', '97', '477']
['48', '280', '302', '253', '93']
['346', '416', '279', '71', '272']
['157', '188', '80', '46', '278']
['423', '193', '331', '407', '420']
['181', '454', '199', '320', '347']
['134', '414', '68', '317', '202']
['403', '397', '435', '425', '227']
['108', '340', '35', '77', '123']
['201', '152', '27', '222', '388']
['433', '343', '275', '18', '386']
['251', '12', '442', '374', '439']
['429', '318', '406', '384', '316']
