['0', '1', '2', '3', '4', '5', '7', '8', '155', '188']
['6', '13', '11', '28', '41', '54', '58', '68', '282', '63']
['9', '10', '12', '18', '29', '66', '237', '283', '56', '57']
['14', '17', '19', '20', '22', '23', '33', '32', '98', '307']
['15', '16', '21', '24', '25', '27', '30', '31', '26', '42']
['34', '35', '36', '38', '39', '40', '69', '149', '238', '493']
['37', '43', '44', '53', '62', '72', '172', '227', '245', '337']
['45', '47', '49', '50', '52', '46', '48', '51', '91', '225']
['55', '59', '61', '64', '65', '67', '70', '357', '132', '173']
['60', '77', '79', '80', '81', '82', '148', '220', '391', '71']
['73', '75', '78', '76', '83', '74', '90', '185', '92', '116']
['84', '85', '86', '88', '89', '93', '87', '111', '112', '119']
['94', '95', '96', '97', '99', '100', '101', '103', '137', '276']
['102', '106', '110', '113', '118', '120', '115', '418', '123', '108']
['104', '105', '109', '145', '153', '183', '186', '190', '352', '176']
['107', '114', '117', '121', '129', '131', '322', '346', '175', '347']
['122', '125', '133', '134', '138', '143', '240', '136', '139', '141']
['124', '126', '127', '146', '150', '180', '263', '271', '432', '169']
['128', '130', '135', '140', '142', '144', '280', '292', '163', '196']
['147', '151', '152', '156', '187', '223', '315', '411', '412', '463']
['154', '157', '159', '160', '161', '162', '253', '171', '189', '404']
['158', '164', '165', '170', '222', '301', '310', '202', '226', '311']
['166', '167', '168', '174', '177', '178', '179', '184', '197', '229']
['181', '182', '195', '198', '200', '209', '215', '407', '435', '243']
['191', '192', '194', '199', '234', '260', '363', '381', '494', '269']
['193', '201', '203', '206', '235', '258', '320', '255', '313', '468']
['204', '205', '207', '208', '248', '254', '261', '386', '457', '348']
['210', '211', '212', '213', '214', '286', '299', '217', '455', '228']
['216', '218', '219', '224', '221', '242', '268', '338', '231', '410']
['230', '232', '233', '236', '239', '241', '360', '403', '467', '383']
['244', '252', '257', '288', '289', '330', '389', '424', '246', '328']
['247', '249', '250', '251', '256', '259', '262', '264', '339', '354']
['265', '266', '267', '270', '272', '273', '274', '423', '382', '460']
['275', '277', '279', '278', '378', '388', '297', '318', '327', '332']
['281', '284', '285', '304', '335', '393', '291', '296', '343', '395']
['287', '290', '294', '295', '300', '302', '293', '303', '298', '342']
['305', '306', '308', '309', '349', '350', '345', '367', '369', '331']
['314', '316', '317', '319', '321', '312', '323', '324', '402', '446']
['325', '326', '329', '333', '334', '374', '396', '390', '454', '469']
['336', '340', '341', '344', '441', '450', '491', '497', '406', '453']
['351', '353', '355', '356', '385', '452', '481', '376', '430', '458']
['358', '359', '361', '362', '364', '365', '366', '464', '479', '462']
['370', '371', '372', '368', '373', '413', '380', '425', '420', '429']
['375', '377', '379', '387', '384', '448', '483', '459', '473', '398']
['392', '394', '397', '399', '409', '440', '444', '431', '466', '415']
['400', '401', '405', '408', '451', '471', '438', '470', '476', '426']
['414', '416', '417', '419', '433', '442', '443', '427', '436', '439']
['422', '421', '428', '445', '475', '474', '447', '478', '472', '482']
['434', '456', '484', '488', '490', '492', '437', '489', '485', '487']
['449', '461', '480', '498', '465', '477', '496', '495', '499', '486']
