['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']
['10', '12', '20', '28', '48', '71', '226', '294', '83', '133']
['11', '13', '15', '17', '22', '35', '64', '164', '171', '55']
['14', '18', '21', '27', '75', '107', '154', '38', '56', '111']
['16', '19', '25', '62', '76', '126', '192', '45', '47', '174']
['23', '24', '29', '31', '33', '139', '39', '66', '119', '149']
['26', '32', '42', '50', '51', '96', '116', '261', '156', '241']
['30', '34', '37', '49', '79', '105', '59', '73', '118', '204']
['36', '40', '41', '44', '54', '87', '242', '101', '194', '256']
['43', '46', '52', '80', '117', '124', '276', '67', '95', '130']
['53', '57', '58', '63', '78', '94', '112', '280', '298', '108']
['60', '65', '82', '93', '175', '263', '162', '184', '232', '127']
['61', '68', '72', '81', '145', '285', '120', '141', '157', '221']
['69', '74', '84', '100', '132', '147', '151', '245', '173', '99']
['70', '77', '92', '103', '129', '165', '181', '169', '216', '233']
['85', '91', '97', '137', '188', '200', '289', '123', '182', '254']
['86', '89', '102', '113', '238', '251', '161', '176', '252', '179']
['88', '98', '106', '134', '143', '198', '247', '218', '230', '293']
['90', '104', '109', '110', '209', '228', '114', '140', '210', '122']
['115', '121', '138', '146', '155', '177', '224', '135', '199', '152']
['125', '131', '144', '159', '167', '207', '287', '183', '172', '211']
['128', '136', '153', '187', '202', '244', '297', '189', '268', '265']
['142', '160', '166', '185', '205', '259', '208', '250', '191', '266']
['148', '150', '168', '193', '213', '255', '186', '180', '201', '222']
['158', '170', '195', '217', '249', '197', '281', '290', '214', '229']
['163', '196', '212', '220', '206', '269', '271', '288', '225', '190']
['178', '215', '223', '231', '235', '236', '248', '270', '246', '258']
['203', '239', '260', '264', '219', '262', '273', '240', '243', '253']
['227', '267', '277', '234', '283', '279', '295', '272', '275', '237']
['257', '282', '292', '299', '278', '274', '296', '291', '284', '286']
