['0', '18', '2', '279', '8', '303', '124', '374', '321', '408']
['1', '178', '12', '64', '16', '15', '34', '358', '106', '468']
['3', '24', '23', '40', '357', '238', '5', '270', '153', '48']
['4', '118', '7', '44', '82', '384', '10', '255', '120', '465']
['6', '197', '83', '170', '494', '90', '236', '36', '404', '177']
['9', '28', '55', '80', '89', '275', '319', '117', '199', '25']
['11', '210', '491', '87', '159', '188', '211', '352', '470', '218']
['13', '31', '19', '139', '45', '61', '213', '450', '21', '196']
['14', '29', '72', '70', '51', '27', '54', '101', '229', '371']
['17', '62', '81', '43', '49', '56', '102', '327', '355', '151']
['20', '97', '35', '209', '30', '274', '26', '174', '483', '302']
['22', '167', '63', '194', '47', '46', '149', '232', '212', '171']
['32', '93', '58', '86', '92', '71', '173', '128', '348', '326']
['33', '75', '53', '105', '39', '41', '134', '154', '183', '161']
['37', '88', '219', '126', '57', '320', '98', '115', '187', '292']
['38', '122', '114', '300', '459', '127', '317', '457', '203', '190']
['42', '146', '59', '94', '108', '443', '388', '217', '260', '364']
['50', '137', '158', '52', '84', '85', '166', '104', '91', '246']
['60', '205', '68', '160', '155', '316', '99', '245', '164', '277']
['65', '77', '100', '130', '148', '396', '78', '198', '289', '276']
['66', '230', '110', '138', '74', '95', '112', '119', '152', '216']
['67', '224', '426', '202', '464', '109', '69', '132', '313', '263']
['73', '79', '131', '248', '141', '250', '339', '431', '107', '310']
['76', '186', '206', '356', '214', '445', '287', '215', '133', '285']
['96', '179', '359', '223', '150', '135', '144', '168', '411', '402']
['103', '184', '113', '123', '254', '430', '304', '262', '306', '370']
['111', '228', '195', '433', '487', '129', '264', '367', '307', '286']
['116', '189', '162', '121', '142', '346', '354', '442', '140', '271']
['125', '145', '233', '226', '156', '185', '234', '221', '147', '241']
['136', '333', '235', '239', '243', '247', '259', '169', '492', '499']
['143', '349', '252', '267', '278', '157', '294', '191', '201', '440']
['163', '225', '283', '301', '340', '192', '282', '305', '334', '227']
['165', '222', '231', '240', '237', '242', '182', '490', '200', '249']
['172', '175', '298', '288', '309', '244', '258', '180', '281', '312']
['176', '375', '295', '314', '266', '269', '204', '338', '341', '342']
['181', '207', '453', '284', '308', '208', '399', '293', '324', '290']
['193', '220', '257', '322', '434', '328', '344', '380', '438', '325']
['251', '394', '401', '412', '383', '463', '272', '329', '455', '422']
['253', '261', '337', '315', '386', '343', '268', '351', '476', '486']
['256', '376', '397', '395', '409', '461', '299', '335', '456', '291']
['265', '446', '336', '318', '444', '366', '323', '373', '377', '419']
['273', '407', '424', '390', '393', '382', '406', '410', '330', '372']
['280', '423', '436', '462', '451', '482', '311', '381', '403', '421']
['296', '495', '353', '428', '481', '363', '368', '420', '414', '398']
['297', '472', '331', '400', '416', '466', '467', '478', '448', '437']
['332', '405', '360', '345', '418', '391', '347', '425', '385', '441']
['350', '449', '429', '361', '362', '432', '365', '369', '378', '379']
['387', '389', '460', '392', '413', '415', '452', '454', '458', '417']
['427', '435', '439', '447', '469', '471', '473', '474', '475', '498']
['477', '479', '480', '484', '485', '488', '489', '496', '493', '497']
