['10', '1', '5', '248', '169']
['410', '15', '19', '140', '27']
['395', '0', '117', '11', '136']
['428', '6', '94', '262', '296']
['431', '7', '9', '28', '46']
['106', '13', '26', '225', '95']
['127', '36', '40', '332', '367']
['179', '39', '70', '456', '181']
['340', '2', '8', '157', '76']
['246', '21', '34', '323', '189']
['51', '4', '45', '218', '107']
['254', '12', '22', '178', '99']
['325', '24', '55', '156', '460']
['104', '3', '82', '286', '100']
['77', '14', '71', '253', '102']
['211', '16', '79', '105', '110']
['337', '18', '103', '209', '213']
['452', '25', '154', '426', '159']
['464', '17', '121', '141', '195']
['216', '35', '72', '54', '97']
['470', '30', '62', '280', '330']
['138', '20', '151', '300', '57']
['74', '47', '63', '78', '98']
['176', '33', '48', '327', '122']
['83', '38', '394', '172', '207']
['199', '32', '67', '201', '166']
['486', '49', '96', '111', '311']
['68', '37', '42', '90', '174']
['161', '44', '84', '210', '226']
['240', '50', '66', '297', '168']
['261', '23', '31', '126', '116']
['386', '58', '135', '147', '186']
['61', '73', '124', '271', '239']
['80', '41', '86', '144', '87']
['155', '112', '203', '92', '439']
['175', '56', '123', '242', '339']
['249', '53', '145', '190', '277']
['299', '60', '167', '220', '188']
['435', '52', '230', '231', '170']
['298', '75', '363', '420', '484']
['443', '29', '204', '266', '214']
['480', '59', '81', '101', '185']
['436', '88', '108', '463', '265']
['235', '115', '215', '131', '171']
['418', '43', '163', '252', '475']
['485', '85', '152', '65', '362']
['434', '69', '113', '304', '118']
['256', '119', '315', '417', '380']
['440', '91', '142', '414', '229']
['356', '150', '198', '461', '270']
['318', '120', '137', '491', '451']
['269', '93', '129', '224', '388']
['291', '89', '192', '173', '205']
['378', '134', '187', '219', '336']
['237', '177', '267', '478', '162']
['353', '64', '276', '165', '398']
['206', '114', '223', '228', '448']
['445', '128', '263', '133', '281']
['273', '109', '132', '202', '320']
['449', '180', '183', '212', '217']
['347', '149', '361', '139', '259']
['432', '146', '312', '153', '496']
['326', '130', '236', '275', '191']
['494', '125', '234', '454', '322']
['458', '184', '328', '324', '301']
['479', '164', '233', '208', '373']
['346', '197', '303', '366', '238']
['257', '143', '293', '258', '483']
['466', '158', '274', '355', '160']
['302', '182', '309', '221', '272']
['416', '243', '251', '283', '290']
['457', '193', '289', '264', '194']
['381', '222', '342', '331', '383']
['446', '255', '278', '148', '250']
['473', '241', '413', '393', '405']
['424', '247', '292', '314', '489']
['425', '288', '316', '305', '359']
['409', '284', '374', '406', '423']
['245', '260', '295', '329', '196']
['344', '200', '419', '455', '308']
['377', '282', '476', '334', '357']
['384', '227', '407', '438', '333']
['285', '279', '379', '385', '287']
['354', '268', '498', '387', '310']
['415', '348', '370', '352', '391']
['390', '294', '306', '444', '345']
['360', '321', '389', '397', '422']
['433', '232', '319', '338', '495']
['471', '244', '411', '412', '404']
['317', '313', '472', '396', '376']
['469', '307', '477', '487', '341']
['392', '351', '400', '364', '429']
['453', '343', '375', '408', '368']
['349', '401', '488', '437', '358']
['335', '372', '350', '493', '427']
['382', '402', '371', '403', '468']
['442', '430', '462', '465']
['467', '365', '447', '369']
['450', '459', '481', '497']
['399', '482', '421', '441']
['490', '474', '492', '499']
