['61', '1', '7', '8']
['95', '2', '9', '13']
['3', '5', '11', '14']
['84', '4', '6', '17']
['12', '16', '18', '28']
['50', '0', '10', '19']
['133', '15', '24', '39']
['194', '22', '25', '29']
['240', '20', '26', '40']
['137', '21', '27', '46']
['197', '30', '32', '47']
['237', '23', '36', '56']
['99', '34', '35', '49']
['62', '31', '38', '41']
['33', '42', '43', '58']
['66', '45', '48', '53']
['141', '37', '60', '82']
['227', '51', '52', '67']
['174', '44', '55', '64']
['102', '54', '68', '74']
['108', '57', '70', '91']
['116', '63', '73', '86']
['236', '65', '77', '89']
['238', '59', '69', '80']
['169', '71', '78', '94']
['132', '76', '79', '98']
['126', '75', '97', '100']
['178', '72', '93', '119']
['114', '81', '87', '92']
['209', '88', '96', '105']
['144', '104', '111', '120']
['175', '83', '90', '118']
['186', '85', '115', '125']
['211', '101', '107', '109']
['219', '103', '113', '123']
['160', '106', '121', '128']
['212', '110', '117', '130']
['122', '127', '136', '150']
['200', '112', '131', '135']
['161', '124', '140', '154']
['147', '129', '152', '163']
['217', '134', '142', '145']
['190', '138', '157', '164']
['232', '143', '149', '168']
['155', '139', '151', '165']
['159', '146', '156', '188']
['206', '166', '173', '176']
['181', '148', '167', '183']
['170', '158', '171', '215']
['182', '162', '179', '199']
['223', '172', '192', '202']
['180', '153', '185', '221']
['214', '177', '191', '196']
['220', '184', '187', '198']
['207', '195', '205', '226']
['248', '193', '203', '244']
['213', '208', '218', '234']
['201', '222', '235', '233']
['216', '189', '229', '230']
['246', '231', '239', '245']
['225', '204', '228', '247']
['210', '224', '241']
['242', '243', '249']
