['196', '2', '169', '8']
['240', '11', '15', '27']
['375', '9', '31', '160']
['315', '3', '72', '369']
['360', '35', '28', '55']
['5', '4', '7', '19']
['26', '6', '0', '40']
['75', '48', '166', '237']
['255', '39', '54', '205']
['158', '49', '43', '45']
['209', '13', '82', '44']
['326', '41', '399', '208']
['21', '83', '397', '76']
['95', '16', '56', '106']
['147', '24', '32', '14']
['325', '61', '102', '190']
['103', '17', '29', '42']
['118', '58', '257', '178']
['211', '38', '70', '87']
['224', '51', '1', '81']
['247', '12', '33', '96']
['258', '124', '213', '60']
['385', '100', '159', '206']
['122', '91', '107', '348']
['171', '80', '90', '101']
['228', '50', '62', '120']
['380', '67', '10', '47']
['186', '65', '301', '382']
['201', '23', '99', '111']
['387', '57', '134', '142']
['20', '18', '46', '68']
['30', '114', '131', '175']
['249', '85', '105', '88']
['395', '63', '73', '93']
['36', '74', '77', '22']
['59', '71', '52', '69']
['165', '89', '98', '104']
['310', '53', '78', '112']
['321', '64', '250', '204']
['398', '97', '119', '129']
['86', '200', '170', '150']
['115', '146', '155', '117']
['133', '251', '183', '386']
['187', '130', '164', '154']
['261', '92', '198', '284']
['320', '149', '153', '199']
['363', '34', '185', '113']
['148', '140', '94', '227']
['163', '191', '123', '139']
['180', '179', '136', '37']
['212', '125', '132', '156']
['214', '157', '339', '79']
['285', '151', '241', '193']
['84', '236', '177', '317']
['108', '116', '219', '234']
['109', '141', '238', '243']
['188', '174', '192', '181']
['262', '25', '222', '230']
['291', '121', '333', '194']
['355', '207', '229', '274']
['379', '126', '203', '266']
['66', '143', '189', '202']
['226', '268', '300', '313']
['245', '233', '259', '110']
['269', '128', '231', '367']
['319', '138', '184', '221']
['145', '217', '254', '267']
['280', '235', '244', '281']
['290', '127', '172', '287']
['328', '275', '296', '253']
['173', '216', '270', '195']
['215', '161', '293', '182']
['299', '137', '248', '336']
['311', '283', '298', '288']
['338', '252', '295', '357']
['378', '162', '256', '314']
['265', '223', '176', '273']
['278', '168', '304', '332']
['279', '307', '297', '260']
['327', '294', '316', '324']
['341', '347', '210', '373']
['220', '370', '392', '394']
['305', '334', '364', '135']
['346', '263', '306', '144']
['362', '292', '352', '152']
['365', '246', '323', '167']
['368', '342', '358', '197']
['232', '359', '218', '225']
['264', '272', '239', '242']
['282', '351', '271', '276']
['289', '384', '277', '286']
['302', '374', '303', '308']
['318', '376', '309', '312']
['329', '344', '322', '330']
['331', '353', '335', '337']
['349', '383', '340', '343']
['354', '390', '345', '350']
['372', '377', '356', '361']
['366', '371', '381', '388']
['389', '391', '393', '396']
