['0', '1', '2', '5', '7', '8', '10', '11', '12', '15', '16', '19', '20', '21', '26', '30']
['33', '3', '4', '6', '14', '18', '22', '23', '24', '25', '28', '29', '31', '40', '41', '42']
['66', '9', '17', '27', '32', '35', '36', '37', '38', '44', '45', '47', '48', '50', '51', '52']
['99', '13', '34', '39', '43', '46', '53', '54', '55', '56', '57', '58', '59', '60', '64', '67']
['132', '49', '61', '62', '68', '69', '70', '72', '73', '74', '76', '77', '78', '80', '81', '83']
['156', '63', '65', '71', '75', '79', '82', '84', '86', '87', '88', '92', '93', '94', '97', '100']
['140', '85', '89', '90', '95', '96', '98', '102', '103', '105', '107', '108', '109', '110', '112', '114']
['165', '91', '101', '104', '106', '111', '113', '115', '116', '117', '118', '119', '120', '121', '124', '126']
['138', '122', '123', '125', '127', '128', '130', '131', '136', '137', '139', '141', '142', '143', '144', '148']
['154', '129', '133', '145', '146', '149', '150', '151', '152', '153', '155', '157', '158', '162', '163', '166']
['159', '134', '135', '147', '160', '161', '168', '169', '172', '173', '175', '178', '180', '181', '182', '183']
['189', '164', '167', '170', '171', '174', '176', '179', '184', '185', '187', '188', '190', '191', '193', '194']
['192', '177', '186', '196', '197', '198', '199', '200', '201', '202', '203', '204', '205', '206', '207', '208']
['210', '195', '209', '211', '212', '214', '215', '216', '217', '219', '220', '221', '222', '224', '226', '227']
['213', '218', '223', '225', '228', '229', '230', '231', '232', '233', '234', '235', '237', '238', '239', '240']
['236', '241', '242', '243', '244', '245', '246', '247', '248', '249', '250', '251', '253', '254', '255', '252']
