['7', '3', '0', '1']
['15', '11', '8', '9']
['23', '19', '16', '17']
['31', '27', '24', '25']
['39', '35', '32', '33']
['47', '43', '40', '41']
['55', '51', '48', '49']
['63', '59', '56', '57']
['71', '67', '64', '65']
['79', '75', '72', '73']
['87', '83', '80', '81']
['95', '91', '88', '89']
['103', '99', '96', '97']
['111', '107', '104', '105']
['119', '115', '112', '113']
['127', '123', '120', '121']
['135', '131', '128', '129']
['143', '139', '136', '137']
['151', '147', '144', '145']
['159', '155', '152', '153']
['167', '163', '160', '161']
['175', '171', '168', '169']
['183', '179', '176', '177']
['191', '187', '184', '185']
['199', '195', '192', '193']
['207', '203', '200', '201']
['215', '211', '208', '209']
['223', '219', '216', '217']
['231', '227', '224', '225']
['239', '235', '232', '233']
['247', '243', '240', '241']
['255', '251', '249', '250']
['263', '259', '256', '257']
['271', '267', '264', '265']
['279', '275', '272', '273']
['287', '283', '280', '281']
['295', '291', '288', '289']
['303', '299', '297', '298']
['311', '307', '304', '305']
['319', '315', '312', '313']
['327', '323', '320', '321']
['335', '331', '328', '329']
['343', '339', '336', '337']
['351', '347', '344', '345']
['359', '355', '353', '354']
['367', '363', '360', '362']
['375', '371', '368', '369']
['383', '379', '376', '377']
['391', '387', '384', '385']
['395', '392', '393', '394']
['396', '397', '398', '399']
['4', '5', '6', '2']
['12', '13', '14', '10']
['20', '21', '22', '18']
['28', '29', '30', '26']
['36', '37', '38', '34']
['44', '45', '46', '42']
['52', '53', '54', '50']
['60', '61', '62', '58']
['68', '69', '70', '66']
['76', '77', '78', '74']
['84', '85', '86', '82']
['92', '93', '94', '90']
['100', '101', '102', '98']
['108', '109', '110', '106']
['116', '117', '118', '114']
['124', '125', '126', '122']
['132', '133', '134', '130']
['140', '141', '142', '138']
['148', '149', '150', '146']
['156', '157', '158', '154']
['164', '165', '166', '162']
['172', '173', '174', '170']
['180', '181', '182', '178']
['188', '189', '190', '186']
['196', '197', '198', '194']
['204', '205', '206', '202']
['212', '213', '214', '210']
['220', '221', '222', '218']
['228', '229', '230', '226']
['236', '237', '238', '234']
['244', '245', '246', '242']
['252', '253', '254', '248']
['260', '261', '262', '258']
['268', '269', '270', '266']
['276', '277', '278', '274']
['284', '285', '286', '282']
['292', '293', '294', '290']
['300', '301', '302', '296']
['308', '309', '310', '306']
['316', '317', '318', '314']
['324', '325', '326', '322']
['332', '333', '334', '330']
['340', '341', '342', '338']
['348', '349', '350', '346']
['356', '357', '358', '352']
['364', '365', '366', '361']
['372', '373', '374', '370']
['380', '381', '382', '378']
['388', '389', '390', '386']
