['98', '119', '141', '93', '461', '4', '349', '362', '467', '215', '52', '246', '310', '372', '151', '320']
['457', '481', '136', '493', '194', '196', '58', '434', '42', '94', '472', '337', '122', '85', '418', '64']
['355', '336', '308', '95', '143', '49', '157', '90', '18', '8', '424', '116', '220', '76', '223', '178']
['214', '130', '124', '227', '251', '447', '88', '408', '35', '356', '334', '217', '373', '288', '211', '458']
['387', '115', '120', '56', '252', '170', '293', '37', '358', '423', '70', '15', '319', '326', '474', '323']
['44', '436', '92', '347', '339', '357', '203', '313', '139', '240', '428', '103', '360', '71', '417', '478']
['395', '75', '463', '197', '426', '475', '59', '153', '401', '152', '369', '340', '129', '454', '30', '99']
['48', '144', '419', '396', '47', '370', '107', '268', '381', '280', '398', '442', '111', '117', '32', '400']
['131', '253', '209', '352', '383', '488', '316', '218', '430', '247', '14', '189', '231', '290', '108', '84']
['429', '476', '118', '341', '10', '338', '482', '77', '432', '234', '450', '219', '276', '188', '265', '257']
['345', '2', '121', '294', '309', '460', '298', '28', '480', '180', '495', '235', '80', '416', '484', '155']
['106', '243', '205', '36', '73', '322', '232', '150', '266', '391', '315', '380', '366', '486', '394', '335']
['140', '412', '437', '494', '245', '330', '390', '5', '312', '6', '63', '21', '40', '385', '123', '305']
['62', '171', '78', '212', '274', '485', '7', '270', '53', '112', '496', '113', '314', '163', '324', '185']
['166', '224', '45', '182', '46', '295', '69', '469', '176', '127', '267', '425', '158', '332', '244', '128']
['174', '300', '365', '193', '27', '11', '51', '277', '202', '456', '24', '377', '449', '409', '351', '374']
['421', '376', '17', '272', '414', '448', '213', '459', '68', '466', '82', '256', '31', '102', '229', '57']
['154', '446', '406', '435', '148', '210', '439', '91', '282', '221', '110', '353', '443', '66', '388', '331']
['465', '72', '471', '216', '104', '249', '134', '470', '238', '271', '410', '147', '114', '384', '311', '86']
['175', '225', '13', '359', '346', '191', '204', '431', '172', '156', '403', '489', '61', '487', '87', '241']
['261', '405', '89', '452', '379', '297', '263', '378', '444', '97', '273', '22', '186', '441', '260', '404']
['375', '126', '26', '259', '420', '287', '50', '318', '386', '226', '367', '278', '109', '462', '491', '168']
['16', '9', '363', '101', '275', '239', '427', '302', '138', '169', '25', '137', '3', '264', '451', '132']
['317', '348', '422', '195', '329', '200', '184', '402', '164', '286', '382', '20', '292', '411', '415', '328']
['492', '54', '455', '397', '368', '133', '208', '29', '207', '438', '142', '162', '222', '250', '242', '296']
['201', '233', '105', '39', '364', '344', '190', '413', '79', '393', '183', '83', '301', '125', '145', '12']
['198', '473', '173', '342', '255', '161', '284', '327', '254', '41', '160', '399', '279', '343', '192', '453']
['135', '307', '321', '479', '146', '281', '34', '167', '477', '60', '1', '371', '269', '100', '303', '289']
['187', '306', '230', '181', '81', '199', '299', '19', '165', '149', '55', '43', '159', '74', '392', '23']
['350', '285', '407', '468', '248', '325', '38', '179', '354', '236', '333', '483', '96', '262', '361', '206']
['490', '464', '228', '237', '67', '33', '389', '258', '440', '65', '445', '177', '291', '433', '304', '283']
