['0', '1', '2', '3', '4', '5', '6']
['368', '188', '441', '373', '366', '367', '369']
['13', '34', '119', '300', '304', '351', '39']
['370', '333', '25', '101', '68', '332', '165']
['371', '342', '30', '81', '397', '468', '96']
['8', '21', '109', '270', '274', '325', '36']
['9', '22', '111', '276', '280', '327', '38']
['10', '27', '113', '282', '286', '337', '33']
['11', '28', '115', '288', '292', '339', '37']
['12', '29', '117', '294', '298', '341', '40']
['14', '35', '121', '306', '310', '353', '41']
['7', '20', '107', '264', '268', '323', '32']
['31', '82', '344', '102', '345', '195', '211']
['375', '207', '78', '308', '388', '477', '404']
['376', '118', '299', '363', '393', '479', '216']
['377', '151', '54', '19', '320', '105', '321']
['378', '168', '395', '483', '269', '108', '347']
['379', '130', '400', '485', '210', '405', '486']
['380', '355', '110', '275', '401', '487', '114']
['15', '50', '312', '65', '313', '131', '147']
['16', '51', '314', '79', '315', '132', '148']
['17', '52', '316', '89', '317', '133', '149']
['18', '53', '318', '95', '319', '134', '150']
['23', '66', '328', '80', '329', '163', '179']
['24', '67', '330', '90', '331', '164', '180']
['26', '69', '334', '106', '335', '166', '182']
['372', '385', '471', '97', '242', '346', '83']
['374', '387', '475', '213', '84', '348', '402']
['42', '139', '170', '469', '406', '484', '181']
['43', '140', '200', '450', '399', '480', '44']
['47', '144', '266', '449', '398', '232', '474']
['56', '153', '324', '416', '381', '431', '217']
['58', '171', '201', '472', '392', '281', '112']
['59', '172', '223', '440', '45', '142', '236']
['61', '174', '261', '425', '46', '143', '260']
['73', '202', '237', '410', '430', '459', '48']
['75', '204', '267', '420', '49', '146', '278']
['87', '224', '273', '447', '396', '104', '257']
['390', '349', '433', '456', '258', '55', '152']
['57', '154', '326', '60', '173', '250', '62']
['63', '176', '290', '64', '177', '296', '70']
['71', '184', '338', '72', '185', '340', '74']
['76', '205', '285', '77', '206', '302', '85']
['86', '215', '352', '88', '225', '91', '228']
['92', '229', '356', '413', '482', '403', '458']
['93', '238', '279', '94', '239', '303', '432']
['98', '243', '360', '461', '384', '419', '99']
['100', '253', '309', '103', '256', '362', '116']
['120', '305', '361', '122', '311', '365', '123']
['382', '417', '445', '127', '124', '125', '126']
['383', '418', '231', '455', '128', '129', '135']
['386', '421', '473', '136', '137', '138', '141']
['391', '434', '467', '145', '429', '155', '156']
['394', '437', '481', '157', '158', '159', '160']
['407', '470', '488', '161', '162', '443', '167']
['192', '411', '169', '175', '178', '183', '186']
['357', '462', '187', '189', '190', '191', '193']
['389', '446', '194', '196', '197', '198', '199']
['203', '208', '209', '212', '214', '218', '219']
['220', '221', '222', '226', '227', '230', '233']
['234', '235', '240', '241', '244', '245', '246']
['247', '248', '249', '251', '252', '254', '255']
['259', '262', '263', '265', '271', '272', '277']
['283', '284', '287', '289', '291', '293', '297']
['295', '301', '307', '322', '336', '343', '350']
['354', '358', '359', '364', '408', '409', '412']
['414', '415', '422', '423', '424', '426', '427']
['428', '435', '436', '438', '439', '442', '444']
['448', '451', '452', '453', '454', '457', '460']
['463', '464', '465', '466', '476', '478']
