['26', '213', '194', '350', '117']
['60', '123', '497', '190', '67']
['64', '494', '312', '470', '385']
['249', '94', '141', '496', '173']
['159', '179', '140', '377', '43']
['111', '401', '52', '371', '56']
['427', '258', '334', '420', '406']
['346', '472', '271', '315', '155']
['200', '441', '348', '442', '378']
['372', '33', '164', '39', '118']
['233', '324', '270', '27', '101']
['20', '295', '274', '367', '268']
['175', '19', '37', '395', '236']
['251', '219', '40', '491', '142']
['185', '6', '199', '256', '492']
['297', '113', '478', '277', '326']
['152', '198', '46', '255', '352']
['407', '166', '368', '473', '289']
['447', '278', '209', '103', '105']
['147', '223', '261', '489', '122']
['134', '207', '303', '263', '24']
['322', '361', '462', '4', '21']
['388', '51', '308', '321', '57']
['490', '344', '177', '211', '332']
['217', '364', '246', '13', '109']
['158', '253', '144', '329', '359']
['73', '9', '269', '436', '444']
['339', '178', '459', '138', '335']
['448', '433', '139', '443', '16']
['360', '410', '104', '189', '279']
['161', '29', '120', '5', '91']
['79', '282', '477', '358', '244']
['294', '25', '424', '172', '210']
['242', '86', '285', '341', '212']
['310', '379', '474', '82', '2']
['8', '374', '128', '429', '38']
['220', '437', '382', '291', '48']
['196', '316', '206', '238', '225']
['422', '325', '76', '160', '414']
['456', '218', '61', '235', '208']
['135', '90', '65', '22', '469']
['404', '143', '54', '280', '320']
['393', '92', '272', '434', '193']
['400', '81', '292', '45', '28']
['66', '467', '440', '421', '362']
['71', '281', '468', '69', '136']
['328', '336', '394', '245', '465']
['156', '323', '99', '318', '357']
['265', '35', '41', '229', '446']
['133', '241', '453', '222', '290']
['186', '221', '499', '423', '216']
['131', '230', '498', '408', '345']
['108', '300', '431', '85', '31']
['62', '399', '475', '493', '340']
['205', '262', '14', '240', '215']
['163', '306', '449', '264', '445']
['63', '30', '11', '466', '214']
['149', '115', '311', '187', '480']
['195', '70', '495', '132', '287']
['224', '68', '398', '347', '366']
['129', '170', '425', '116', '23']
['44', '403', '430', '286', '416']
['484', '381', '169', '301', '411']
['343', '426', '460', '275', '125']
['95', '479', '119', '191', '146']
['353', '182', '386', '458', '36']
['137', '201', '293', '438', '463']
['197', '389', '150', '365', '296']
['451', '12', '97', '202', '77']
['486', '100', '93', '17', '10']
['338', '488', '457', '107', '409']
['80', '1', '50', '412', '302']
['15', '228', '148', '392', '276']
['383', '396', '126', '319', '439']
['309', '298', '162', '314', '42']
['391', '267', '84', '188', '355']
['376', '288', '419', '151', '7']
['59', '363', '432', '487', '464']
['47', '418', '232', '58', '192']
['260', '331', '124', '114', '167']
['183', '226', '415', '471', '299']
['417', '153', '168', '397', '231']
['349', '283', '380', '428', '354']
['176', '181', '127', '130', '452']
['384', '327', '254', '75', '110']
['247', '461', '72', '88', '455']
['373', '305', '413', '250', '248']
['390', '145', '239', '476', '171']
['154', '74', '96', '330', '485']
['333', '112', '405', '351', '370']
['482', '106', '375', '180', '102']
['157', '284', '53', '402', '307']
['257', '450', '32', '0', '204']
['243', '18', '273', '387', '89']
['252', '3', '317', '87', '237']
['227', '165', '337', '78', '203']
['313', '435', '55', '34', '266']
['184', '121', '356', '83', '98']
['369', '234', '259', '454', '49']
['174', '483', '481', '342', '304']
