['120', '1', '4', '114']
['107', '47', '29', '132']
['191', '33', '351', '3']
['143', '7', '12', '136']
['177', '2', '14', '93']
['236', '20', '31', '80']
['43', '38', '323', '112']
['130', '9', '15', '145']
['313', '8', '32', '151']
['380', '45', '90', '62']
['195', '22', '103', '110']
['209', '18', '302', '144']
['142', '5', '171', '265']
['6', '41', '170', '149']
['190', '16', '238', '226']
['328', '26', '99', '243']
['377', '42', '48', '248']
['343', '100', '10', '13']
['348', '24', '53', '73']
['17', '37', '65', '96']
['123', '11', '68', '92']
['181', '111', '124', '231']
['232', '57', '161', '139']
['308', '51', '60', '23']
['310', '36', '137', '316']
['395', '74', '140', '153']
['30', '49', '87', '381']
['116', '46', '366', '159']
['293', '79', '175', '59']
['331', '75', '235', '133']
['333', '71', '342', '363']
['284', '54', '374', '382']
['21', '35', '28', '82']
['66', '67', '399', '157']
['106', '56', '72', '207']
['212', '102', '83', '109']
['257', '55', '63', '180']
['34', '64', '77', '50']
['115', '58', '81', '306']
['187', '19', '25', '344']
['281', '97', '347', '208']
['341', '94', '128', '113']
['146', '61', '39', '44']
['304', '69', '134', '167']
['371', '85', '76', '86']
['78', '52', '129', '147']
['88', '162', '174', '27']
['352', '101', '89', '319']
['131', '70', '275', '240']
['141', '95', '119', '121']
['244', '148', '166', '360']
['324', '126', '334', '192']
['152', '185', '301', '337']
['169', '249', '222', '255']
['184', '125', '203', '289']
['223', '160', '178', '164']
['225', '118', '179', '201']
['273', '40', '91', '300']
['215', '220', '84', '98']
['295', '154', '311', '292']
['138', '117', '158', '173']
['188', '218', '204', '155']
['214', '135', '253', '384']
['398', '186', '200', '230']
['210', '165', '194', '196']
['246', '202', '156', '359']
['252', '168', '245', '335']
['375', '108', '176', '182']
['321', '205', '206', '213']
['346', '189', '224', '229']
['369', '122', '241', '391']
['268', '183', '127', '270']
['274', '193', '198', '378']
['172', '261', '266', '267']
['221', '233', '259', '264']
['297', '228', '278', '276']
['305', '219', '234', '365']
['105', '199', '197', '227']
['150', '251', '288', '247']
['277', '254', '260', '242']
['280', '250', '256', '216']
['356', '0', '211', '272']
['258', '314', '298', '339']
['290', '336', '338', '362']
['299', '303', '325', '307']
['322', '271', '279', '262']
['104', '291', '332', '287']
['286', '350', '282', '368']
['329', '283', '358', '372']
['361', '296', '317', '367']
['217', '345', '389', '386']
['294', '327', '379', '163']
['315', '237', '309', '239']
['354', '320', '353', '263']
['370', '392', '387', '318']
['376', '355', '364', '269']
['326', '330', '285', '312']
['357', '397', '340', '349']
['373', '383', '385', '388']
['390', '393', '394', '396']
