['239', '146', '149', '159', '186', '230', '495', '212', '381', '445', '151', '366', '181', '497', '304', '433', '364', '479', '609', '398', '255', '391']
['569', '148', '156', '157', '174', '303', '162', '177', '476', '327', '342', '543', '253', '233', '314', '161', '311', '620', '629', '280', '431', '624']
['443', '147', '153', '187', '252', '269', '275', '302', '152', '170', '451', '573', '166', '406', '572', '463', '330', '464', '192', '305', '197', '259']
['622', '150', '154', '158', '164', '201', '374', '621', '295', '367', '440', '207', '209', '556', '350', '458', '270', '527', '597', '539', '603', '178']
['559', '165', '169', '176', '200', '368', '379', '236', '371', '596', '376', '567', '216', '240', '512', '405', '425', '171', '385', '378', '418', '547']
['471', '160', '163', '188', '271', '281', '461', '487', '231', '404', '542', '576', '224', '426', '469', '514', '519', '249', '383', '472', '456', '509']
['399', '173', '180', '208', '215', '227', '401', '435', '390', '263', '199', '393', '518', '628', '498', '257', '429', '273', '277', '550', '260', '611']
['363', '172', '182', '183', '203', '226', '310', '579', '360', '359', '491', '434', '605', '179', '449', '211', '351', '195', '466', '190', '478', '454']
['477', '155', '205', '279', '291', '293', '459', '286', '392', '506', '416', '328', '457', '475', '278', '604', '235', '251', '462', '474', '395', '574']
['301', '168', '175', '196', '244', '250', '225', '202', '245', '414', '437', '544', '237', '560', '320', '581', '412', '486', '355', '334', '337', '349']
['213', '191', '194', '219', '298', '614', '229', '344', '417', '343', '481', '623', '258', '419', '217', '232', '504', '261', '264', '482', '507', '424']
['535', '185', '193', '206', '265', '515', '548', '276', '595', '326', '267', '324', '432', '189', '198', '228', '242', '488', '483', '618', '221', '287']
['319', '184', '204', '248', '262', '313', '490', '315', '339', '356', '268', '450', '318', '266', '329', '423', '333', '234', '387', '397', '400', '521']
['420', '220', '222', '332', '338', '489', '246', '468', '288', '492', '307', '407', '465', '608', '613', '308', '536', '594', '316', '309', '331', '335']
['411', '210', '274', '312', '467', '529', '243', '447', '317', '380', '470', '502', '600', '370', '292', '352', '402', '455', '346', '377', '615', '282']
['566', '214', '218', '294', '297', '415', '436', '362', '520', '499', '484', '541', '578', '531', '410', '494', '582', '238', '537', '480', '568', '373']
['601', '223', '272', '289', '513', '427', '296', '557', '283', '325', '389', '460', '438', '323', '254', '555', '167', '285', '517', '589', '453', '500']
['626', '241', '284', '306', '348', '558', '610', '442', '503', '540', '563', '523', '528', '538', '353', '549', '365', '533', '386', '525', '551', '345']
['545', '256', '299', '408', '428', '532', '553', '564', '446', '534', '422', '530', '546', '575', '485', '336', '452', '347', '388', '501', '554', '561']
['598', '247', '358', '505', '591', '616', '552', '599', '439', '571', '580', '583', '421', '522', '602', '588', '430', '587', '592', '565', '403', '606']
['612', '290', '321', '341', '508', '357', '361', '510', '384', '493', '496', '584', '354', '372', '300', '394', '340', '441', '570', '396', '322', '409']
['526', '369', '375', '382', '413', '617', '524', '444', '577', '585', '607', '473', '586', '562', '590', '511', '516', '593', '625', '627', '448', '619']
