['431', '352', '69', '257', '336']
['399', '175', '442', '217', '283']
['350', '31', '200', '11', '355']
['204', '241', '331', '437', '375']
['182', '173', '148', '12', '223']
['436', '20', '324', '165', '44']
['286', '7', '406', '233', '480']
['154', '3', '99', '77', '205']
['461', '16', '429', '74', '374']
['381', '119', '388', '19', '296']
['309', '6', '39', '25', '147']
['174', '65', '389', '247', '226']
['207', '482', '280', '441', '386']
['337', '232', '111', '438', '73']
['4', '469', '384', '123', '319']
['202', '33', '153', '425', '63']
['317', '369', '265', '334', '448']
['170', '136', '189', '211', '343']
['47', '10', '221', '161', '45']
['138', '51', '228', '356', '491']
['383', '489', '220', '29', '404']
['160', '28', '236', '467', '214']
['481', '382', '230', '172', '362']
['306', '403', '159', '112', '349']
['251', '398', '271', '366', '89']
['353', '176', '314', '275', '48']
['479', '390', '163', '224', '199']
['203', '71', '342', '193', '225']
['372', '487', '287', '344', '380']
['82', '219', '248', '23', '499']
['340', '70', '256', '195', '269']
['62', '186', '305', '433', '106']
['242', '197', '496', '258', '139']
['83', '127', '407', '320', '424']
['126', '261', '177', '273', '145']
['36', '101', '167', '379', '392']
['297', '472', '272', '367', '364']
['60', '267', '264', '0', '166']
['88', '227', '439', '5', '447']
['35', '376', '490', '460', '417']
['244', '92', '196', '85', '493']
['96', '346', '102', '59', '464']
['360', '385', '76', '191', '395']
['188', '396', '234', '95', '277']
['455', '409', '330', '201', '55']
['164', '144', '152', '266', '484']
['24', '38', '56', '146', '26']
['134', '394', '421', '470', '108']
['132', '359', '303', '240', '17']
['212', '162', '216', '15', '185']
['354', '118', '140', '262', '308']
['397', '284', '291', '155', '150']
['419', '90', '180', '42', '358']
['58', '440', '149', '14', '290']
['322', '430', '446', '278', '338']
['94', '427', '411', '415', '316']
['486', '498', '125', '477', '121']
['454', '332', '87', '402', '365']
['418', '98', '169', '43', '451']
['453', '255', '57', '243', '393']
['249', '53', '141', '282', '218']
['412', '462', '61', '109', '408']
['238', '72', '54', '181', '473']
['187', '274', '300', '75', '339']
['357', '198', '8', '68', '183']
['13', '327', '468', '410', '110']
['341', '443', '370', '250', '194']
['485', '263', '100', '452', '245']
['293', '444', '476', '260', '471']
['475', '270', '463', '373', '268']
['474', '32', '302', '37', '310']
['143', '171', '93', '130', '209']
['495', '428', '456', '423', '434']
['2', '91', '312', '281', '321']
['335', '190', '466', '81', '104']
['435', '168', '120', '465', '122']
['206', '420', '323', '86', '49']
['378', '449', '279', '135', '363']
['259', '157', '213', '313', '347']
['97', '124', '79', '488', '497']
['66', '131', '301', '178', '432']
['27', '276', '391', '52', '84']
['351', '304', '361', '115', '457']
['483', '326', '107', '405', '387']
['137', '114', '116', '298', '192']
['78', '237', '254', '459', '315']
['333', '400', '458', '21', '295']
['345', '494', '414', '229', '246']
['307', '413', '492', '80', '41']
['1', '117', '105', '371', '445']
['215', '318', '292', '46', '179']
['311', '252', '18', '235', '208']
['22', '103', '285', '478', '222']
['210', '294', '426', '401', '133']
['129', '253', '299', '67', '325']
['450', '158', '151', '30', '231']
['34', '113', '50', '377', '348']
['422', '128', '142', '9', '64']
['239', '40', '289', '416', '156']
['184', '328', '368', '329', '288']
