['0', '2', '5', '7', '74', '212', '413', '30', '357', '60', '131', '282', '107', '49', '52', '299', '184', '286', '304', '226', '400', '120']
['1', '3', '4', '26', '35', '36', '68', '206', '220', '38', '289', '290', '238', '429', '77', '171', '25', '396', '27', '48', '72', '96']
['6', '9', '11', '15', '39', '46', '203', '404', '85', '470', '113', '152', '109', '122', '348', '106', '150', '210', '241', '278', '98', '310']
['8', '14', '41', '80', '185', '313', '347', '97', '146', '250', '99', '104', '129', '172', '221', '257', '365', '416', '78', '179', '298', '433']
['10', '17', '18', '21', '69', '79', '377', '82', '161', '57', '176', '408', '93', '260', '133', '398', '376', '75', '309', '425', '94', '55']
['12', '22', '28', '40', '277', '281', '321', '141', '318', '58', '91', '274', '59', '340', '482', '86', '180', '227', '409', '367', '64', '372']
['13', '16', '20', '43', '117', '127', '453', '147', '244', '121', '186', '349', '199', '123', '156', '420', '155', '327', '434', '228', '452', '207']
['19', '23', '45', '71', '88', '440', '54', '163', '103', '115', '153', '100', '256', '65', '317', '476', '162', '245', '143', '160', '29', '229']
['24', '31', '34', '50', '73', '114', '105', '346', '406', '473', '169', '424', '393', '61', '208', '441', '56', '353', '308', '402', '111', '450']
['32', '42', '81', '92', '283', '288', '102', '436', '137', '306', '345', '417', '280', '392', '142', '87', '201', '356', '394', '247', '177', '217']
['33', '53', '63', '116', '125', '266', '191', '358', '421', '469', '211', '235', '472', '279', '233', '44', '328', '332', '390', '312', '338', '138']
['37', '51', '66', '83', '263', '276', '311', '322', '134', '200', '213', '258', '448', '325', '218', '330', '195', '272', '130', '222', '314', '198']
['47', '62', '76', '110', '225', '242', '369', '294', '135', '223', '174', '182', '431', '382', '101', '231', '119', '389', '173', '248', '354', '427']
['67', '89', '108', '159', '175', '341', '268', '462', '151', '407', '154', '374', '428', '296', '460', '379', '444', '118', '284', '405', '95', '126']
['70', '84', '112', '188', '264', '302', '132', '339', '139', '239', '387', '144', '381', '291', '418', '480', '148', '467', '178', '455', '481', '158']
['90', '124', '140', '149', '170', '197', '204', '426', '136', '168', '219', '270', '323', '232', '285', '316', '167', '355', '465', '415', '202', '422']
['128', '157', '193', '249', '251', '295', '447', '337', '230', '445', '451', '463', '359', '399', '430', '459', '183', '254', '432', '414', '165', '315']
['145', '164', '187', '224', '351', '437', '194', '287', '370', '380', '352', '442', '234', '320', '435', '324', '411', '443', '419', '438', '190', '336']
['166', '181', '196', '261', '395', '412', '216', '334', '388', '192', '273', '449', '236', '385', '262', '253', '215', '326', '246', '267', '344', '292']
['189', '237', '243', '269', '364', '252', '275', '468', '362', '373', '378', '410', '366', '205', '456', '350', '297', '305', '401', '293', '471', '329']
['209', '255', '271', '446', '403', '300', '464', '265', '331', '335', '475', '333', '371', '391', '361', '423', '461', '343', '303', '439', '301', '383']
['214', '307', '363', '477', '259', '360', '386', '375', '319', '454', '457', '479', '466', '240', '384', '397', '368', '474', '342', '458', '478', '483']
