['0', '1', '2', '3', '4', '5', '6']
['7', '20', '107', '264', '268', '323', '32']
['8', '21', '109', '270', '274', '325', '36']
['9', '22', '111', '276', '280', '327', '38']
['10', '27', '113', '282', '286', '337', '33']
['11', '28', '115', '288', '292', '339', '37']
['12', '29', '117', '294', '298', '341', '40']
['13', '34', '119', '300', '304', '351', '39']
['14', '35', '121', '306', '310', '353', '41']
['15', '50', '312', '65', '313', '131', '147']
['16', '51', '314', '79', '315', '132', '148']
['17', '52', '316', '89', '317', '133', '149']
['18', '53', '318', '95', '319', '134', '150']
['19', '54', '320', '105', '321', '135', '151']
['23', '66', '328', '80', '329', '163', '179']
['24', '67', '330', '90', '331', '164', '180']
['25', '68', '332', '101', '333', '165', '181']
['26', '69', '334', '106', '335', '166', '182']
['30', '81', '342', '96', '343', '194', '210']
['31', '82', '344', '102', '345', '195', '211']
['42', '139', '170', '469', '371', '406', '378']
['43', '140', '200', '450', '368', '399', '376']
['44', '141', '222', '45', '142', '236', '405']
['46', '143', '260', '47', '144', '266', '449']
['48', '145', '272', '429', '367', '377', '369']
['49', '146', '278', '403', '458', '347', '108']
['55', '152', '322', '56', '153', '324', '416']
['57', '154', '326', '58', '171', '201', '472']
['59', '172', '223', '440', '60', '173', '250']
['61', '174', '261', '425', '62', '175', '284']
['63', '176', '290', '64', '177', '296', '70']
['71', '184', '338', '72', '185', '340', '73']
['74', '203', '75', '204', '267', '420', '366']
['76', '205', '285', '77', '206', '302', '78']
['83', '212', '346', '385', '372', '471', '97']
['84', '213', '348', '387', '374', '475', '402']
['85', '214', '350', '86', '215', '352', '87']
['88', '225', '91', '228', '354', '92', '229']
['93', '238', '279', '404', '370', '375', '459']
['94', '239', '303', '432', '389', '446', '98']
['99', '252', '297', '100', '253', '309', '103']
['104', '257', '364', '396', '447', '462', '357']
['110', '275', '355', '380', '401', '487', '114']
['112', '281', '359', '392', '435', '116', '293']
['118', '299', '363', '120', '305', '361', '122']
['123', '124', '125', '126', '127', '445', '382']
['128', '129', '130', '379', '400', '485', '443']
['136', '137', '138', '155', '156', '157', '158']
['159', '160', '488', '407', '470', '161', '162']
['167', '168', '169', '178', '183', '186', '187']
['188', '441', '373', '386', '473', '398', '474']
['189', '190', '191', '192', '411', '193', '196']
['197', '198', '199', '202', '430', '207', '208']
['209', '216', '479', '393', '436', '217', '431']
['218', '219', '220', '221', '224', '226', '227']
['230', '231', '418', '383', '242', '455', '232']
['233', '234', '235', '237', '240', '241', '243']
['244', '245', '246', '247', '248', '249', '251']
['254', '255', '256', '258', '456', '390', '349']
['259', '262', '263', '265', '269', '395', '438']
['271', '273', '277', '283', '287', '289', '291']
['295', '301', '307', '308', '311', '336', '356']
['358', '360', '461', '384', '419', '362', '365']
['381', '388', '423', '477', '391', '434', '467']
['394', '437', '481', '397', '448', '468', '408']
['409', '410', '412', '413', '414', '415', '417']
['421', '422', '424', '426', '427', '428', '433']
['439', '442', '444', '451', '452', '453', '454']
['457', '460', '463', '464', '465', '466', '476']
['478', '480', '482', '483', '484', '486']
