['344', '345', '341', '199', '37', '131', '127', '190', '336', '33', '1', '331', '187', '15', '128', '11']
['346', '340', '298', '95', '329', '296', '99', '394', '82', '105', '34', '120', '150', '292', '372', '335']
['347', '342', '129', '198', '194', '229', '25', '36', '356', '283', '83', '293', '246', '153', '321', '286']
['343', '299', '193', '109', '218', '242', '349', '97', '248', '367', '297', '147', '392', '249', '337', '278']
['348', '291', '106', '107', '396', '65', '9', '207', '52', '112', '142', '7', '219', '256', '102', '376']
['294', '197', '276', '339', '22', '241', '226', '282', '305', '27', '172', '302', '176', '239', '117', '270']
['295', '192', '334', '141', '311', '316', '39', '399', '91', '252', '35', '10', '85', '209', '71', '179']
['290', '196', '273', '93', '251', '104', '132', '14', '203', '274', '16', '212', '320', '111', '263', '157']
['195', '275', '101', '135', '81', '108', '100', '390', '41', '75', '354', '362', '213', '59', '145', '103']
['191', '271', '330', '325', '126', '215', '250', '166', '47', '31', '280', '58', '231', '96', '397', '20']
['272', '30', '332', '12', '313', '28', '77', '86', '310', '2', '383', '160', '375', '180', '149', '184']
['277', '238', '230', '287', '137', '365', '237', '134', '317', '169', '13', '80', '236', '315', '384', '217']
['279', '6', '143', '370', '369', '23', '206', '227', '87', '84', '178', '301', '338', '119', '352', '285']
['38', '90', '144', '138', '175', '48', '29', '18', '55', '233', '364', '182', '228', '74', '54', '17']
['32', '232', '170', '326', '381', '387', '139', '164', '173', '64', '26', '88', '51', '121', '373', '186']
['333', '98', '94', '244', '266', '245', '62', '210', '264', '366', '322', '130', '73', '177', '69', '265']
['92', '140', '400', '208', '314', '61', '253', '371', '243', '46', '395', '154', '261', '204', '255', '125']
['234', '235', '247', '19', '351', '136', '309', '162', '361', '171', '4', '388', '284', '116', '72', '300']
['146', '148', '240', '205', '355', '288', '214', '254', '67', '56', '21', '374', '281', '307', '223', '357']
['133', '183', '328', '201', '185', '124', '268', '181', '308', '391', '44', '389', '43', '161', '267', '151']
['24', '188', '269', '53', '3', '70', '363', '380', '222', '259', '45', '174', '324', '49', '60', '211']
['379', '189', '200', '216', '122', '377', '327', '123', '306', '382', '303', '118', '76', '78', '386', '68']
['378', '393', '359', '79', '158', '323', '165', '319', '5', '66', '163', '385', '114', '202', '50', '42']
['398', '318', '110', '368', '220', '113', '353', '358', '225', '360', '168', '350', '40', '260', '155', '115']
['8', '289', '224', '312', '257', '167', '156', '57', '63', '258', '262', '221', '89', '304', '152', '159']
