['1', '2', '6', '16', '18', '21', '32', '39', '62', '67', '91', '167', '177', '184', '189', '258', '266', '298', '37', '96', '146', '224', '345']
['3', '5', '7', '9', '14', '17', '19', '34', '42', '56', '61', '93', '226', '257', '278', '295', '337', '75', '86', '127', '169', '174', '305']
['4', '8', '10', '22', '23', '24', '31', '36', '38', '45', '48', '124', '128', '142', '286', '428', '476', '40', '49', '90', '206', '293', '366']
['11', '12', '15', '25', '35', '43', '63', '89', '100', '118', '119', '130', '150', '158', '172', '194', '205', '277', '326', '332', '51', '107', '136']
['13', '20', '26', '27', '28', '30', '44', '59', '65', '81', '82', '108', '114', '203', '291', '304', '328', '353', '463', '478', '123', '126', '168']
['29', '33', '52', '53', '55', '79', '85', '87', '98', '102', '129', '139', '141', '154', '171', '180', '240', '432', '157', '221', '242', '252', '346']
['41', '46', '47', '58', '68', '73', '74', '80', '83', '94', '125', '155', '178', '192', '213', '260', '271', '310', '173', '284', '314', '330', '424']
['50', '57', '60', '69', '76', '77', '78', '92', '109', '187', '195', '227', '241', '269', '306', '372', '397', '400', '237', '254', '292', '317', '351']
['54', '64', '66', '70', '88', '95', '103', '115', '133', '134', '145', '222', '371', '378', '430', '84', '151', '156', '159', '244', '276', '297', '329']
['71', '72', '97', '99', '104', '117', '120', '121', '135', '140', '193', '200', '218', '219', '250', '255', '256', '469', '318', '418', '433', '152', '153']
['101', '105', '110', '116', '122', '149', '164', '175', '179', '211', '246', '289', '301', '383', '388', '392', '415', '234', '273', '313', '335', '365', '445']
['106', '111', '113', '131', '132', '138', '147', '209', '210', '220', '228', '230', '245', '281', '290', '389', '421', '444', '474', '267', '437', '458', '162']
['112', '137', '143', '160', '161', '182', '185', '191', '198', '215', '308', '333', '368', '443', '461', '270', '282', '338', '340', '358', '386', '422', '165']
['144', '148', '163', '166', '181', '196', '199', '212', '248', '268', '339', '347', '362', '429', '475', '207', '208', '296', '315', '357', '376', '391', '451']
['170', '176', '183', '188', '190', '217', '229', '302', '323', '327', '390', '423', '480', '216', '243', '316', '320', '341', '361', '350', '379', '384', '387']
['186', '197', '201', '204', '232', '235', '238', '239', '251', '274', '303', '441', '261', '287', '300', '334', '369', '419', '426', '440', '336', '414', '236']
['202', '214', '225', '233', '253', '262', '275', '279', '319', '331', '360', '398', '399', '427', '450', '322', '354', '381', '404', '288', '344', '352', '455']
['223', '231', '249', '272', '280', '283', '324', '356', '375', '403', '465', '265', '359', '408', '413', '449', '457', '325', '342', '409', '425', '442', '259']
['247', '264', '294', '299', '307', '309', '312', '355', '364', '454', '468', '473', '481', '434', '385', '402', '407', '452', '459', '483', '396', '436', '456']
['263', '285', '321', '348', '349', '363', '377', '394', '395', '412', '367', '401', '431', '435', '438', '446', '343', '417', '467', '393', '406', '453', '462']
['311', '370', '374', '416', '439', '448', '466', '482', '380', '460', '477', '447', '464', '470', '410', '484', '411', '479', '373', '420', '382', '472', '485']
['405', '471']
