['a1', 'a41', 'a42', 'a44', 'a55', 'a59', 'a91', 'a116', 'a315', 'a418', 'a78', 'a150']
['a2', 'a43', 'a45', 'a48', 'a53', 'a54', 'a122', 'a161', 'a76', 'a251', 'a437', 'a75']
['a3', 'a46', 'a58', 'a60', 'a62', 'a65', 'a153', 'a413', 'a97', 'a164', 'a353', 'a81']
['a4', 'a52', 'a56', 'a57', 'a71', 'a89', 'a172', 'a176', 'a412', 'a114', 'a253', 'a216']
['a5', 'a51', 'a61', 'a104', 'a117', 'a127', 'a229', 'a268', 'a73', 'a159', 'a208', 'a264']
['a6', 'a49', 'a67', 'a80', 'a138', 'a139', 'a219', 'a355', 'a100', 'a199', 'a232', 'a386']
['a7', 'a63', 'a64', 'a70', 'a107', 'a121', 'a187', 'a459', 'a103', 'a173', 'a204', 'a446']
['a8', 'a47', 'a50', 'a69', 'a98', 'a142', 'a160', 'a261', 'a112', 'a206', 'a270', 'a137']
['a9', 'a66', 'a72', 'a74', 'a108', 'a193', 'a195', 'a196', 'a236', 'a119', 'a382', 'a457']
['a10', 'a86', 'a93', 'a133', 'a136', 'a180', 'a189', 'a402', 'a280', 'a294', 'a296', 'a316']
['a11', 'a77', 'a82', 'a94', 'a166', 'a358', 'a83', 'a132', 'a267', 'a288', 'a371', 'a123']
['a12', 'a79', 'a84', 'a109', 'a128', 'a181', 'a186', 'a297', 'a379', 'a179', 'a124', 'a126']
['a13', 'a68', 'a92', 'a106', 'a149', 'a152', 'a197', 'a214', 'a88', 'a135', 'a170', 'a222']
['a14', 'a85', 'a113', 'a143', 'a155', 'a212', 'a228', 'a246', 'a145', 'a256', 'a317', 'a343']
['a15', 'a90', 'a95', 'a105', 'a130', 'a165', 'a207', 'a277', 'a323', 'a215', 'a392', 'a431']
['a16', 'a99', 'a102', 'a115', 'a190', 'a237', 'a363', 'a96', 'a175', 'a221', 'a87', 'a240']
['a17', 'a131', 'a141', 'a148', 'a157', 'a194', 'a201', 'a234', 'a220', 'a373', 'a441', 'a319']
['a18', 'a118', 'a125', 'a174', 'a185', 'a191', 'a293', 'a452', 'a298', 'a310', 'a348', 'a231']
['a19', 'a101', 'a134', 'a162', 'a183', 'a282', 'a312', 'a140', 'a345', 'a184', 'a273', 'a306']
['a20', 'a111', 'a147', 'a171', 'a250', 'a287', 'a295', 'a389', 'a144', 'a154', 'a247', 'a258']
['a21', 'a110', 'a129', 'a156', 'a241', 'a248', 'a335', 'a387', 'a276', 'a400', 'a351', 'a354']
['a22', 'a120', 'a169', 'a226', 'a249', 'a398', 'a203', 'a269', 'a283', 'a424', 'a177', 'a263']
['a23', 'a146', 'a158', 'a192', 'a217', 'a245', 'a300', 'a376', 'a238', 'a304', 'a167', 'a244']
['a24', 'a178', 'a182', 'a259', 'a272', 'a281', 'a311', 'a325', 'a367', 'a218', 'a252', 'a332']
['a25', 'a168', 'a213', 'a235', 'a291', 'a302', 'a303', 'a454', 'a480', 'a396', 'a423', 'a230']
['a26', 'a151', 'a163', 'a202', 'a301', 'a394', 'a327', 'a381', 'a445', 'a188', 'a274', 'a399']
['a27', 'a198', 'a200', 'a223', 'a242', 'a271', 'a278', 'a456', 'a362', 'a369', 'a257', 'a322']
['a28', 'a205', 'a227', 'a279', 'a286', 'a309', 'a352', 'a380', 'a318', 'a458', 'a308', 'a443']
['a29', 'a210', 'a233', 'a254', 'a284', 'a285', 'a350', 'a338', 'a453', 'a326', 'a455', 'a476']
['a30', 'a209', 'a211', 'a255', 'a266', 'a356', 'a407', 'a468', 'a410', 'a472', 'a260', 'a349']
['a31', 'a243', 'a289', 'a342', 'a388', 'a404', 'a478', 'a262', 'a428', 'a449', 'a416', 'a463']
['a32', 'a224', 'a225', 'a307', 'a417', 'a422', 'a329', 'a430', 'a469', 'a360', 'a433', 'a337']
['a33', 'a275', 'a313', 'a320', 'a474', 'a346', 'a429', 'a444', 'a419', 'a447', 'a465', 'a448']
['a34', 'a305', 'a324', 'a333', 'a344', 'a461', 'a347', 'a384', 'a411', 'a420', 'a366', 'a370']
['a35', 'a239', 'a265', 'a290', 'a357', 'a336', 'a395', 'a401', 'a405', 'a364', 'a471', 'a440']
['a36', 'a292', 'a299', 'a361', 'a434', 'a442', 'a464', 'a321', 'a438', 'a466', 'a473', 'a372']
['a37', 'a314', 'a339', 'a378', 'a393', 'a409', 'a403', 'a460', 'a467', 'a451', 'a359', 'a365']
['a38', 'a328', 'a340', 'a391', 'a462', 'a331', 'a385', 'a426', 'a439', 'a330', 'a334', 'a427']
['a39', 'a341', 'a375', 'a425', 'a374', 'a390', 'a475', 'a368', 'a477', 'a406', 'a450', 'a415']
['a40', 'a377', 'a383', 'a479', 'a408', 'a435', 'a414', 'a397', 'a470', 'a421', 'a432', 'a436']
