['664', '473', '620', '72', '490', '592', '214', '924', '866', '644', '253', '787', '234', '659', '141', '269', '693', '79', '954', '511']
['852', '817', '233', '994', '55', '887', '77', '407', '837', '955', '687', '464', '908', '949', '478', '278', '222', '915', '12', '577']
['496', '874', '777', '699', '389', '184', '265', '343', '159', '881', '953', '99', '93', '381', '675', '698', '149', '74', '813', '744']
['688', '774', '21', '977', '459', '937', '321', '284', '641', '444', '775', '541', '790', '86', '450', '942', '667', '383', '890', '795']
['9', '334', '988', '324', '287', '919', '839', '712', '155', '680', '384', '717', '16', '610', '497', '990', '197', '749', '351', '923']
['409', '145', '283', '328', '512', '587', '186', '766', '251', '295', '138', '114', '981', '113', '861', '44', '737', '178', '952', '169']
['569', '943', '590', '529', '307', '231', '914', '443', '683', '510', '891', '485', '104', '854', '575', '844', '558', '2', '436', '448']
['668', '503', '6', '647', '653', '870', '819', '215', '468', '82', '559', '918', '782', '930', '391', '999', '566', '495', '223', '451']
['825', '951', '52', '526', '252', '309', '147', '250', '162', '128', '393', '692', '465', '266', '663', '571', '856', '431', '371', '232']
['906', '565', '360', '678', '877', '650', '361', '855', '199', '357', '754', '808', '187', '412', '989', '291', '743', '987', '886', '633']
['814', '53', '567', '859', '137', '871', '789', '572', '380', '862', '388', '258', '25', '720', '941', '508', '671', '7', '538', '552']
['756', '62', '38', '525', '729', '107', '306', '646', '921', '685', '803', '833', '802', '605', '69', '642', '396', '975', '740', '133']
['491', '329', '996', '273', '335', '31', '816', '655', '980', '65', '531', '697', '905', '344', '288', '330', '958', '305', '991', '418']
['585', '73', '725', '157', '961', '195', '172', '230', '713', '624', '126', '408', '47', '632', '514', '35', '706', '446', '161', '243']
['201', '87', '419', '483', '618', '563', '403', '345', '413', '193', '207', '227', '897', '695', '947', '39', '824', '281', '651', '140']
['212', '950', '421', '424', '654', '764', '32', '433', '474', '246', '551', '498', '97', '662', '704', '238', '130', '146', '366', '192']
['449', '150', '221', '224', '134', '26', '188', '960', '81', '562', '158', '256', '564', '475', '553', '33', '609', '374', '716', '45']
['376', '83', '718', '272', '780', '640', '426', '769', '372', '892', '290', '893', '889', '928', '735', '998', '367', '730', '781', '470']
['27', '211', '205', '625', '677', '204', '811', '556', '534', '863', '255', '783', '832', '561', '405', '568', '90', '76', '505', '579']
['986', '797', '308', '210', '445', '581', '760', '835', '673', '10', '660', '152', '946', '8', '304', '793', '196', '657', '447', '327']
['331', '959', '750', '900', '1', '358', '504', '410', '423', '686', '20', '507', '78', '823', '771', '68', '369', '164', '297', '500']
['49', '401', '18', '535', '772', '109', '621', '387', '967', '123', '119', '241', '820', '911', '429', '962', '935', '298', '23', '882']
['274', '466', '160', '452', '190', '536', '377', '596', '179', '705', '925', '804', '636', '800', '100', '153', '656', '106', '929', '185']
['637', '139', '904', '14', '964', '202', '301', '131', '245', '836', '406', '985', '582', '216', '872', '404', '509', '543', '594', '815']
['91', '703', '289', '332', '537', '879', '58', '416', '471', '676', '834', '831', '791', '927', '286', '598', '721', '913', '24', '869']
['213', '867', '767', '763', '5', '395', '840', '435', '533', '747', '333', '411', '742', '434', '353', '337', '629', '845', '341', '773']
['978', '59', '708', '972', '873', '338', '798', '484', '148', '738', '586', '43', '619', '934', '257', '51', '261', '191', '864', '125']
['311', '176', '850', '527', '957', '739', '63', '136', '481', '462', '414', '748', '948', '143', '622', '156', '584', '189', '741', '326']
['316', '461', '770', '203', '940', '829', '691', '198', '745', '4', '502', '613', '540', '555', '665', '355', '910', '365', '11', '810']
['826', '430', '151', '349', '614', '794', '841', '469', '323', '85', '499', '41', '488', '681', '734', '658', '438', '628', '312', '672']
['883', '589', '217', '679', '521', '34', '901', '342', '402', '378', '66', '422', '645', '259', '219', '602', '348', '801', '548', '838']
['557', '884', '493', '878', '895', '463', '15', '61', '973', '440', '363', '784', '626', '860', '506', '792', '479', '515', '122', '661']
['615', '757', '805', '715', '597', '898', '689', '166', '111', '788', '570', '532', '979', '524', '282', '612', '180', '966', '970', '711']
['547', '127', '218', '17', '643', '425', '574', '732', '280', '976', '390', '690', '457', '194', '310', '373', '635', '168', '398', '868']
['19', '707', '454', '220', '796', '228', '303', '84', '755', '724', '984', '983', '420', '885', '902', '670', '530', '550', '608', '299']
['523', '70', '969', '822', '112', '501', '945', '519', '98', '858', '631', '428', '591', '696', '894', '67', '649', '170', '115', '175']
['809', '28', '80', '549', '30', '480', '121', '386', '89', '154', '848', '174', '285', '240', '778', '903', '634', '912', '997', '761']
['167', '828', '271', '368', '492', '723', '842', '971', '995', '486', '617', '694', '36', '909', '347', '260', '487', '682', '714', '876']
['460', '248', '752', '776', '300', '701', '13', '29', '242', '350', '392', '599', '336', '385', '56', '48', '472', '320', '50', '517']
['94', '956', '580', '359', '254', '346', '394', '799', '313', '606', '639', '75', '279', '124', '607', '322', '397', '319', '399', '604']
['576', '939', '71', '938', '709', '476', '595', '382', '37', '880', '931', '965', '674', '853', '669', '208', '963', '268', '733', '759']
['974', '751', '439', '922', '340', '60', '108', '518', '318', '933', '209', '821', '616', '843', '456', '275', '441', '482', '528', '144']
['120', '339', '806', '560', '522', '129', '702', '830', '101', '847', '520', '807', '542', '317', '264', '206', '849', '630', '583', '356']
['229', '545', '993', '593', '818', '926', '57', '865', '758', '936', '827', '899', '263', '235', '684', '354', '554', '719', '611', '277']
['427', '103', '173', '846', '917', '292', '102', '728', '244', '352', '105', '417', '116', '652', '603', '746', '239', '362', '88', '181']
['163', '142', '270', '249', '226', '779', '262', '516', '200', '648', '110', '544', '786', '302', '315', '437', '812', '627', '458', '666']
['92', '857', '932', '225', '765', '117', '722', '432', '294', '379', '46', '455', '736', '489', '267', '0', '623', '700', '968', '753']
['982', '851', '237', '370', '247', '453', '364', '573', '325', '132', '415', '42', '768', '95', '3', '762', '171', '875', '375', '944']
['293', '96', '182', '183', '588', '236', '177', '513', '546', '638', '727', '40', '888', '64', '296', '467', '135', '54', '165', '731']
['907', '600', '726', '494', '920', '992', '578', '601', '785', '477', '710', '276', '400', '896', '539', '22', '442', '118', '314', '916']
