['311', '132', '432', '485', '255']
['336', '419', '374', '234', '410']
['31', '468', '479', '69', '113']
['292', '96', '57', '312', '68']
['188', '7', '441', '151', '391']
['295', '166', '399', '235', '249']
['152', '199', '50', '15', '51']
['33', '325', '157', '352', '423']
['384', '430', '302', '343', '326']
['44', '357', '194', '303', '133']
['466', '108', '47', '454', '30']
['217', '402', '381', '436', '272']
['331', '147', '273', '124', '282']
['200', '380', '288', '128', '65']
['274', '191', '264', '334', '154']
['247', '17', '434', '233', '459']
['310', '23', '421', '170', '474']
['213', '461', '431', '330', '48']
['442', '97', '140', '203', '66']
['308', '228', '19', '284', '495']
['102', '26', '145', '452', '366']
['127', '176', '6', '348', '238']
['335', '369', '373', '109', '85']
['394', '173', '339', '195', '356']
['254', '353', '193', '24', '389']
['309', '221', '407', '448', '359']
['121', '281', '425', '1', '370']
['224', '212', '382', '482', '317']
['443', '34', '35', '437', '481']
['306', '138', '259', '72', '260']
['406', '104', '387', '291', '192']
['117', '197', '446', '424', '297']
['267', '329', '38', '189', '499']
['120', '77', '155', '164', '136']
['469', '14', '324', '299', '252']
['328', '266', '105', '286', '392']
['62', '301', '275', '480', '110']
['202', '344', '401', '355', '494']
['496', '142', '340', '0', '87']
['455', '426', '307', '32', '470']
['27', '11', '159', '398', '251']
['139', '60', '486', '403', '277']
['262', '225', '404', '498', '41']
['81', '445', '364', '4', '393']
['141', '428', '413', '478', '37']
['320', '435', '12', '365', '338']
['25', '415', '2', '472', '10']
['465', '409', '354', '180', '244']
['367', '29', '411', '440', '218']
['158', '323', '183', '243', '75']
['456', '396', '408', '257', '8']
['167', '149', '268', '206', '119']
['130', '316', '73', '21', '88']
['245', '205', '289', '71', '215']
['483', '377', '383', '186', '54']
['207', '280', '242', '371', '414']
['422', '163', '216', '92', '184']
['376', '229', '386', '261', '327']
['258', '379', '16', '250', '405']
['67', '319', '98', '412', '40']
['427', '400', '439', '248', '368']
['477', '114', '337', '300', '230']
['134', '13', '490', '46', '3']
['223', '171', '420', '290', '429']
['464', '91', '239', '168', '362']
['269', '211', '103', '475', '86']
['58', '270', '358', '388', '493']
['276', '460', '471', '375', '129']
['390', '156', '457', '315', '361']
['322', '106', '237', '438', '115']
['226', '476', '447', '89', '349']
['84', '116', '56', '214', '43']
['222', '279', '304', '351', '278']
['39', '28', '53', '332', '497']
['346', '126', '61', '318', '321']
['360', '42', '253', '181', '240']
['491', '294', '160', '333', '107']
['177', '385', '9', '36', '473']
['196', '125', '397', '395', '285']
['444', '416', '137', '82', '372']
['345', '20', '95', '236', '450']
['298', '49', '210', '463', '112']
['489', '342', '18', '287', '283']
['293', '256', '313', '209', '488']
['341', '100', '79', '201', '305']
['131', '70', '83', '178', '271']
['52', '451', '462', '111', '174']
['467', '74', '169', '123', '90']
['59', '150', '94', '232', '122']
['265', '148', '172', '492', '363']
['231', '219', '78', '417', '179']
['45', '185', '314', '347', '55']
['204', '449', '484', '453', '99']
['93', '101', '187', '246', '487']
['146', '153', '135', '458', '144']
['63', '198', '190', '161', '80']
['143', '433', '378', '162', '350']
['227', '64', '76', '296', '22']
['5', '263', '418', '175', '165']
['220', '208', '241', '182', '118']
