['334', '503', '770', '212', '401', '270', '221', '247', '34', '880', '832', '241', '992', '808', '930', '355', '495', '264', '622', '268']
['527', '284', '709', '769', '57', '15', '361', '892', '177', '406', '457', '344', '838', '598', '450', '269', '658', '649', '168', '192']
['589', '545', '703', '699', '650', '957', '900', '63', '921', '933', '502', '309', '613', '345', '830', '25', '171', '746', '577', '594']
['167', '906', '139', '430', '805', '273', '597', '779', '468', '559', '387', '681', '802', '140', '807', '238', '68', '44', '633', '550']
['233', '19', '377', '303', '821', '481', '592', '586', '486', '591', '415', '623', '128', '304', '153', '693', '543', '88', '608', '744']
['765', '677', '300', '829', '476', '676', '37', '499', '440', '702', '279', '605', '101', '578', '989', '373', '682', '451', '642', '604']
['120', '825', '360', '653', '5', '184', '294', '252', '639', '152', '754', '555', '510', '330', '793', '285', '656', '135', '886', '890']
['797', '922', '536', '80', '172', '328', '453', '834', '616', '20', '408', '823', '412', '566', '659', '792', '106', '740', '706', '997']
['883', '817', '525', '480', '887', '58', '13', '66', '119', '422', '390', '126', '894', '222', '692', '509', '505', '970', '125', '118']
['585', '439', '708', '421', '195', '818', '620', '811', '995', '784', '602', '250', '946', '506', '662', '197', '76', '941', '12', '341']
['756', '163', '225', '996', '549', '370', '581', '262', '960', '244', '111', '455', '736', '86', '812', '429', '477', '539', '517', '418']
['986', '904', '826', '707', '364', '46', '881', '848', '513', '456', '683', '644', '348', '8', '365', '207', '853', '663', '470', '661']
['664', '150', '870', '873', '395', '203', '483', '200', '587', '441', '801', '320', '947', '844', '383', '635', '144', '781', '356', '366']
['211', '14', '945', '283', '272', '593', '534', '419', '432', '313', '43', '219', '705', '116', '381', '787', '90', '447', '530', '876']
['329', '977', '454', '621', '747', '474', '967', '10', '953', '803', '327', '357', '36', '478', '675', '405', '223', '845', '611', '916']
['213', '752', '31', '372', '606', '65', '174', '138', '918', '690', '194', '891', '958', '47', '48', '130', '962', '362', '169', '813']
['852', '70', '839', '131', '254', '425', '148', '574', '214', '927', '899', '924', '275', '636', '227', '872', '178', '511', '175', '882']
['427', '103', '38', '907', '338', '228', '416', '371', '865', '835', '831', '976', '697', '741', '256', '979', '700', '998', '609', '869']
['28', '943', '473', '30', '204', '723', '842', '188', '379', '32', '333', '129', '489', '132', '472', '727', '966', '579', '733', '827']
['867', '339', '220', '512', '516', '155', '61', '573', '423', '75', '81', '984', '931', '687', '193', '187', '305', '497', '854', '312']
['725', '229', '210', '993', '94', '654', '349', '580', '614', '533', '382', '378', '123', '0', '485', '698', '208', '575', '206', '731']
['637', '857', '142', '851', '751', '237', '712', '643', '198', '713', '858', '645', '295', '804', '762', '915', '11', '714', '952', '189']
['547', '959', '615', '18', '776', '729', '352', '885', '999', '704', '240', '629', '893', '196', '627', '296', '824', '438', '500', '165']
['127', '217', '466', '600', '816', '760', '108', '435', '159', '617', '158', '380', '162', '548', '347', '278', '317', '528', '375', '666']
['809', '460', '647', '576', '535', '87', '522', '926', '209', '384', '782', '833', '93', '51', '866', '985', '113', '734', '684', '446']
['814', '678', '841', '859', '1', '82', '588', '89', '251', '4', '488', '414', '99', '16', '337', '95', '778', '79', '319', '326']
['974', '565', '951', '763', '961', '777', '641', '117', '701', '102', '618', '411', '410', '78', '612', '258', '374', '243', '351', '759']
['53', '806', '501', '972', '55', '938', '780', '134', '980', '561', '949', '288', '674', '888', '400', '737', '670', '185', '277', '672']
['91', '9', '884', '590', '537', '230', '249', '640', '346', '394', '72', '541', '738', '98', '965', '710', '170', '508', '45', '115']
['145', '173', '301', '186', '855', '936', '392', '413', '626', '199', '114', '601', '388', '141', '990', '180', '399', '810', '583', '923']
['569', '62', '376', '750', '459', '950', '151', '937', '154', '789', '983', '353', '610', '67', '721', '156', '753', '896', '239', '297']
['668', '932', '332', '521', '529', '445', '52', '85', '783', '686', '498', '928', '554', '143', '322', '963', '396', '50', '584', '448']
