['1', '7', '19', '48', '86', '35', '50', '233', '69', '34', '90', '5', '281', '37', '101']
['2', '207', '43', '27', '33', '51', '12', '76', '17', '22', '60', '220', '143', '14', '63']
['3', '68', '46', '164', '170', '296', '124', '44', '137', '160', '168', '151', '286', '182', '13']
['4', '113', '154', '244', '24', '196', '239', '21', '97', '103', '140', '211', '26', '30', '275']
['6', '8', '110', '146', '82', '208', '165', '213', '100', '40', '41', '18', '25', '118', '96']
['9', '185', '31', '120', '171', '201', '39', '10', '67', '116', '147', '28', '98', '167', '169']
['11', '176', '250', '234', '134', '45', '212', '115', '57', '150', '142', '162', '71', '123', '290']
['15', '219', '119', '102', '260', '285', '198', '16', '179', '111', '180', '187', '59', '75', '91']
['20', '117', '29', '242', '95', '130', '153', '155', '210', '258', '83', '163', '32', '84', '114']
['23', '66', '47', '141', '174', '249', '253', '255', '183', '109', '126', '54', '181', '135', '92']
['36', '73', '177', '195', '232', '199', '217', '293', '53', '89', '184', '214', '94', '72', '129']
['38', '55', '74', '156', '42', '289', '122', '131', '175', '99', '216', '226', '224', '61', '133']
['49', '52', '56', '158', '161', '121', '172', '159', '105', '223', '276', '241', '267', '251', '269']
['58', '62', '88', '128', '178', '204', '227', '245', '78', '256', '81', '209', '112', '148', '186']
['64', '65', '70', '127', '294', '188', '190', '132', '192', '262', '203', '263', '280', '246', '300']
['77', '278', '138', '144', '243', '136', '237', '248', '215', '85', '79', '282', '80', '202', '87']
['93', '298', '225', '104', '106', '107', '218', '108', '173', '252', '125', '139', '254', '299', '145']
['149', '152', '157', '229', '189', '261', '265', '166', '191', '193', '194', '197', '266', '284', '270']
['200', '205', '206', '221', '222', '283', '228', '230', '231', '235', '240', '295', '236', '238', '247']
['257', '291', '259', '264', '268', '271', '272', '273', '274', '277', '279', '287', '288', '297', '292']
