['Vertex40', 'Vertex44', 'Vertex183', 'Vertex56', 'Vertex381', 'Vertex135', 'Vertex157', 'Vertex149', 'Vertex226', 'Vertex104']
['Vertex41', 'Vertex62', 'Vertex150', 'Vertex73', 'Vertex340', 'Vertex75', 'Vertex177', 'Vertex88', 'Vertex109', 'Vertex61']
['Vertex42', 'Vertex47', 'Vertex98', 'Vertex60', 'Vertex113', 'Vertex63', 'Vertex111', 'Vertex90', 'Vertex217', 'Vertex236']
['Vertex43', 'Vertex59', 'Vertex152', 'Vertex78', 'Vertex341', 'Vertex87', 'Vertex94', 'Vertex218', 'Vertex261', 'Vertex406']
['Vertex45', 'Vertex53', 'Vertex351', 'Vertex74', 'Vertex102', 'Vertex232', 'Vertex164', 'Vertex92', 'Vertex189', 'Vertex360']
['Vertex46', 'Vertex51', 'Vertex114', 'Vertex130', 'Vertex328', 'Vertex424', 'Vertex107', 'Vertex129', 'Vertex379', 'Vertex171']
['Vertex48', 'Vertex49', 'Vertex72', 'Vertex141', 'Vertex93', 'Vertex83', 'Vertex168', 'Vertex126', 'Vertex84', 'Vertex65']
['Vertex50', 'Vertex52', 'Vertex234', 'Vertex246', 'Vertex382', 'Vertex427', 'Vertex54', 'Vertex112', 'Vertex158', 'Vertex204']
['Vertex55', 'Vertex57', 'Vertex117', 'Vertex58', 'Vertex122', 'Vertex162', 'Vertex188', 'Vertex99', 'Vertex180', 'Vertex279']
['Vertex64', 'Vertex68', 'Vertex301', 'Vertex121', 'Vertex362', 'Vertex350', 'Vertex134', 'Vertex70', 'Vertex85', 'Vertex116']
['Vertex66', 'Vertex131', 'Vertex79', 'Vertex123', 'Vertex315', 'Vertex258', 'Vertex69', 'Vertex174', 'Vertex91', 'Vertex353']
['Vertex67', 'Vertex77', 'Vertex193', 'Vertex358', 'Vertex159', 'Vertex380', 'Vertex80', 'Vertex256', 'Vertex203', 'Vertex239']
['Vertex71', 'Vertex82', 'Vertex120', 'Vertex151', 'Vertex225', 'Vertex272', 'Vertex280', 'Vertex178', 'Vertex296', 'Vertex81']
['Vertex76', 'Vertex133', 'Vertex260', 'Vertex212', 'Vertex115', 'Vertex316', 'Vertex372', 'Vertex200', 'Vertex191', 'Vertex254']
['Vertex86', 'Vertex97', 'Vertex300', 'Vertex415', 'Vertex320', 'Vertex103', 'Vertex412', 'Vertex124', 'Vertex154', 'Vertex213']
['Vertex89', 'Vertex101', 'Vertex222', 'Vertex202', 'Vertex269', 'Vertex219', 'Vertex190', 'Vertex249', 'Vertex355', 'Vertex282']
['Vertex95', 'Vertex165', 'Vertex311', 'Vertex342', 'Vertex106', 'Vertex331', 'Vertex166', 'Vertex125', 'Vertex242', 'Vertex245']
['Vertex96', 'Vertex144', 'Vertex179', 'Vertex145', 'Vertex163', 'Vertex167', 'Vertex237', 'Vertex262', 'Vertex291', 'Vertex210']
['Vertex100', 'Vertex156', 'Vertex110', 'Vertex244', 'Vertex139', 'Vertex251', 'Vertex324', 'Vertex431', 'Vertex266', 'Vertex250']
['Vertex105', 'Vertex118', 'Vertex231', 'Vertex252', 'Vertex292', 'Vertex299', 'Vertex408', 'Vertex286', 'Vertex419', 'Vertex221']
['Vertex108', 'Vertex187', 'Vertex233', 'Vertex169', 'Vertex208', 'Vertex240', 'Vertex288', 'Vertex297', 'Vertex389', 'Vertex148']
['Vertex119', 'Vertex211', 'Vertex220', 'Vertex206', 'Vertex396', 'Vertex423', 'Vertex247', 'Vertex319', 'Vertex255', 'Vertex285']
['Vertex127', 'Vertex138', 'Vertex181', 'Vertex192', 'Vertex223', 'Vertex160', 'Vertex388', 'Vertex265', 'Vertex274', 'Vertex207']
['Vertex128', 'Vertex185', 'Vertex298', 'Vertex263', 'Vertex357', 'Vertex186', 'Vertex313', 'Vertex411', 'Vertex147', 'Vertex283']
['Vertex132', 'Vertex170', 'Vertex140', 'Vertex295', 'Vertex137', 'Vertex197', 'Vertex230', 'Vertex404', 'Vertex284', 'Vertex323']
['Vertex136', 'Vertex184', 'Vertex227', 'Vertex264', 'Vertex216', 'Vertex414', 'Vertex318', 'Vertex386', 'Vertex418', 'Vertex395']
['Vertex142', 'Vertex146', 'Vertex327', 'Vertex332', 'Vertex235', 'Vertex390', 'Vertex209', 'Vertex302', 'Vertex305', 'Vertex228']
