['0', '6', '24', '32', '43', '57', '66', '85', '105', '117', '130', '143', '155', '174', '183', '203', '209', '227', '241', '257', '271', '276', '292', '312']
['1', '7', '25', '33', '44', '58', '67', '86', '106', '118', '131', '144', '156', '175', '184', '204', '210', '228', '242', '258', '272', '277', '293', '313']
['2', '8', '26', '34', '45', '59', '68', '87', '107', '119', '132', '145', '157', '176', '185', '205', '211', '229', '243', '259', '273', '278', '294', '314']
['3', '9', '27', '35', '46', '60', '69', '88', '108', '120', '133', '146', '158', '177', '186', '206', '212', '230', '244', '260', '274', '279', '295', '315']
['4', '10', '28', '36', '47', '61', '70', '89', '109', '121', '134', '147', '159', '178', '187', '207', '213', '231', '245', '261', '275', '280', '296']
['5', '11', '29', '37', '48', '62', '71', '90', '110', '122', '135', '148', '160', '179', '188', '208', '214', '232', '246', '262', '281', '297', '316']
['12', '30', '38', '49', '63', '72', '91', '111', '123', '136', '149', '161', '180', '189', '215', '233', '247', '263', '282', '298', '317', '319', '328']
['13', '31', '39', '50', '64', '73', '92', '112', '124', '137', '150', '162', '181', '190', '216', '234', '248', '264', '283', '299', '318', '320', '329']
['14', '40', '51', '65', '74', '93', '113', '125', '138', '151', '163', '182', '191', '217', '235', '249', '265', '284', '300', '321', '330', '346', '360']
['15', '41', '52', '75', '94', '114', '126', '139', '152', '164', '192', '218', '236', '250', '266', '285', '301', '322', '331', '347', '361', '375', '393']
['16', '42', '53', '76', '95', '115', '127', '140', '153', '165', '193', '219', '237', '251', '267', '286', '302', '323', '332', '348', '362', '376', '394']
['17', '54', '77', '96', '116', '128', '141', '154', '166', '194', '220', '238', '252', '268', '287', '303', '324', '333', '349', '363', '377', '395', '401']
['18', '55', '78', '97', '129', '142', '167', '195', '221', '239', '253', '269', '288', '304', '325', '334', '350', '364', '378', '396', '402', '415', '428']
['19', '56', '79', '98', '168', '196', '222', '240', '254', '270', '289', '305', '326', '335', '351', '365', '379', '397', '403', '416', '429', '433', '20']
['21', '80', '99', '169', '197', '223', '255', '290', '306', '327', '336', '352', '366', '380', '398', '404', '417', '430', '434', '22', '81', '100', '170']
['23', '82', '101', '171', '198', '224', '256', '291', '307', '337', '353', '367', '381', '399', '405', '418', '431', '435', '83', '102', '172', '199', '225']
['84', '103', '173', '200', '226', '308', '338', '354', '368', '382', '400', '406', '419', '432', '436', '104', '201', '309', '339', '355', '369', '383', '407']
['202', '310', '340', '356', '370', '384', '408', '420', '437', '311', '341', '357', '371', '385', '409', '421', '438', '342', '358', '372', '386', '410', '422']
['343', '359', '373', '387', '411', '423', '439', '344', '374', '388', '412', '424', '440', '345', '389', '413', '425', '390', '414', '426', '391', '392', '427']
