['1', '33', '30', '387', '80', '21', '141', '394', '164']
['2', '116', '19', '31', '481', '5', '17', '258', '130']
['3', '39', '148', '165', '246', '261', '67', '331', '56']
['4', '8', '378', '72', '385', '252', '16', '329', '251']
['6', '105', '120', '125', '221', '367', '77', '319']
['7', '45', '51', '295', '62', '411', '333', '479']
['9', '63', '267', '399', '22', '196', '25', '58']
['10', '46', '36', '392', '110', '163', '152', '188']
['11', '139', '272', '233', '360', '430', '57', '458']
['12', '26', '97', '104', '150', '288', '54', '407']
['13', '65', '41', '340', '44', '137', '336', '383']
['14', '78', '193', '49', '47', '70', '75', '91']
['15', '53', '208', '444', '447', '146', '248', '343']
['18', '71', '88', '300', '216', '48', '375', '131']
['20', '108', '441', '66', '316', '438', '43', '191']
['23', '81', '203', '50', '73', '117', '34', '185']
['24', '197', '352', '79', '212', '477', '337', '377']
['27', '98', '154', '178', '401', '129', '102', '280']
['28', '244', '99', '133', '173', '96', '64', '112']
['29', '60', '314', '76', '140', '93', '281', '241']
['32', '205', '37', '85', '436', '484', '305', '363']
['35', '61', '74', '101', '475', '84', '95', '103']
['38', '161', '328', '151', '156', '162', '474', '500']
['40', '87', '167', '228', '351', '242', '268', '452']
['42', '82', '440', '420', '86', '302', '115', '142']
['52', '198', '219', '263', '296', '345', '90', '157']
['55', '153', '94', '271', '390', '184', '189', '493']
['59', '286', '344', '227', '215', '121', '220', '236']
['68', '301', '320', '486', '339', '83', '113', '327']
['69', '111', '89', '461', '207', '275', '239', '278']
['92', '200', '206', '338', '170', '487', '225', '298']
['100', '213', '127', '279', '266', '254', '204', '245']
['106', '122', '159', '282', '114', '147', '174', '357']
['107', '222', '201', '171', '187', '132', '238', '371']
['109', '274', '355', '374', '194', '172', '177', '195']
['118', '312', '124', '373', '395', '391', '435', '446']
['119', '210', '237', '358', '410', '202', '243', '409']
['123', '180', '257', '134', '418', '415', '247', '230']
['126', '166', '192', '442', '160', '168', '199', '318']
['128', '342', '402', '422', '136', '158', '169', '380']
['135', '217', '145', '290', '449', '179', '480', '364']
['138', '214', '359', '386', '264', '315', '326', '335']
['143', '285', '293', '304', '423', '466', '287', '307']
['144', '186', '231', '250', '309', '368', '465', '397']
['149', '224', '253', '434', '232', '255', '485', '284']
['155', '330', '492', '273', '332', '276', '353', '384']
['175', '270', '324', '218', '229', '181', '240', '190']
['176', '259', '277', '292', '334', '459', '431', '496']
['182', '294', '489', '308', '346', '211', '413', '417']
['183', '256', '405', '283', '291', '313', '389', '408']
['209', '437', '499', '223', '249', '260', '321', '349']
['226', '414', '299', '289', '265', '369', '454', '393']
['234', '310', '421', '311', '429', '424', '450', '235']
['262', '370', '448', '269', '425', '445', '356', '428']
['297', '362', '303', '347', '406', '472', '354', '306']
['317', '322', '488', '382', '498', '348', '361', '376']
['323', '396', '325', '341', '453', '457', '366', '404']
['350', '379', '412', '398', '419', '482', '455', '365']
['372', '381', '416', '388', '456', '432', '400', '462']
['403', '433', '426', '443', '469', '427', '439', '460']
['451', '463', '467', '476', '468', '494', '470', '471']
['464', '473', '478', '483', '490', '491', '495', '497']
