['0', '1', '7', '11']
['2', '6', '13', '27']
['3', '5', '8', '14']
['4', '16', '17', '18']
['9', '12', '19', '28']
['10', '15', '33', '36']
['20', '21', '23', '44']
['22', '25', '29', '41']
['24', '26', '30', '38']
['31', '32', '34', '47']
['35', '39', '51', '55']
['37', '40', '49', '58']
['42', '43', '45', '50']
['46', '48', '54', '66']
['52', '53', '57', '67']
['56', '59', '63', '69']
['60', '64', '68', '76']
['61', '62', '65', '83']
['70', '77', '78', '82']
['71', '72', '75', '97']
['73', '80', '86', '92']
['74', '84', '89', '90']
['79', '81', '87', '96']
['85', '91', '93', '95']
['88', '98', '108', '117']
['94', '99', '105', '110']
['100', '101', '107', '127']
['102', '106', '115', '125']
['103', '109', '114', '135']
['104', '111', '120', '141']
['112', '113', '119', '123']
['116', '121', '124', '128']
['118', '122', '132', '149']
['126', '130', '137', '151']
['129', '131', '138', '160']
['133', '134', '136', '153']
['139', '142', '145', '159']
['140', '143', '144', '148']
['146', '150', '154', '161']
['147', '152', '163', '187']
['155', '158', '164', '169']
['156', '157', '172', '192']
['162', '166', '171', '173']
['165', '167', '174', '181']
['168', '175', '176', '189']
['170', '179', '188', '200']
['177', '178', '184', '191']
['180', '182', '185', '186']
['183', '190', '196', '203']
['193', '195', '198', '211']
['194', '197', '199', '206']
['201', '209', '220', '230']
['202', '204', '212', '223']
['205', '207', '219', '224']
['208', '213', '214', '218']
['210', '216', '222', '238']
['215', '217', '225', '237']
['221', '226', '227', '236']
['228', '229', '232', '239']
['231', '241', '233', '245']
['234', '235', '240', '246']
['242', '244', '247']
['243', '248', '249']
