['0', '1', '8', '15', '35', '60', '393', '25', '61', '403', '175', '89', '105', '236', '2', '383', '79', '174', '91', '110', '185', '497', '158', '479', '109', '64', '191']
['3', '4', '17', '23', '69', '365', '80', '137', '422', '194', '370', '477', '413', '188', '225', '434', '397', '460', '118', '384', '113', '147', '452', '70', '242', '270', '276']
['5', '12', '19', '33', '87', '293', '412', '57', '363', '133', '280', '323', '395', '59', '65', '374', '289', '418', '145', '190', '198', '216', '279', '339', '377', '95', '114']
['6', '7', '14', '71', '75', '290', '99', '102', '204', '252', '421', '112', '257', '498', '223', '29', '84', '10', '389', '211', '356', '255', '433', '470', '394', '329', '16']
['9', '21', '48', '121', '142', '221', '367', '240', '31', '45', '172', '238', '295', '278', '411', '54', '392', '373', '381', '385', '438', '134', '307', '150', '96', '107', '162']
['11', '13', '42', '44', '149', '176', '51', '126', '472', '106', '267', '263', '317', '153', '390', '97', '28', '282', '181', '226', '229', '496', '72', '94', '219', '143', '297']
['18', '27', '32', '78', '82', '458', '123', '177', '427', '292', '348', '53', '386', '159', '306', '451', '165', '100', '192', '138', '234', '260', '483', '251', '122', '274']
['20', '24', '39', '88', '148', '299', '49', '167', '239', '186', '311', '34', '68', '129', '256', '183', '26', '187', '495', '337', '30', '164', '264', '350', '353', '103']
['22', '37', '85', '117', '135', '141', '249', '296', '182', '326', '43', '247', '423', '86', '228', '261', '437', '490', '230', '499', '399', '344', '471', '169', '140', '320']
['36', '47', '73', '74', '180', '359', '443', '454', '151', '321', '93', '189', '161', '331', '409', '213', '237', '245', '398', '302', '475', '66', '56', '131', '55', '333']
['38', '46', '50', '101', '108', '152', '163', '232', '346', '157', '116', '205', '203', '241', '474', '139', '76', '218', '193', '285', '402', '156', '220', '345', '480', '376']
['40', '58', '178', '217', '459', '212', '246', '269', '136', '155', '254', '248', '364', '231', '440', '250', '478', '160', '303', '272', '338', '310', '485', '41', '414', '378']
['52', '62', '90', '166', '275', '170', '291', '104', '111', '315', '366', '420', '462', '154', '196', '214', '209', '273', '305', '387', '92', '493', '294', '318', '309', '81']
['63', '67', '98', '179', '283', '379', '206', '341', '298', '265', '369', '132', '120', '208', '492', '340', '464', '417', '77', '259', '173', '301', '325', '439', '401', '447']
['83', '125', '144', '168', '233', '328', '465', '327', '342', '210', '481', '448', '201', '347', '410', '491', '349', '352', '400', '457', '119', '202', '313', '215', '314', '368']
['115', '127', '146', '266', '335', '380', '362', '375', '450', '456', '360', '416', '469', '487', '304', '371', '288', '253', '355', '419', '466', '277', '442', '227', '235', '343']
['124', '130', '200', '463', '222', '408', '476', '494', '286', '428', '244', '396', '415', '446', '382', '268', '224', '332', '358', '391', '445', '330', '425', '444', '197', '258']
['128', '195', '316', '334', '199', '435', '488', '441', '449', '262', '308', '324', '372', '453', '388', '407', '404', '405', '406', '436', '468', '482', '354', '171', '484', '430']
['184', '243', '271', '312', '336', '431', '424', '432', '357', '486', '300', '207', '351', '455', '426', '287', '461', '361', '467', '281', '284', '322', '489', '319', '429', '473']
