['453', '74', '50', '442', '67', '28', '29', '165', '321', '104']
['129', '497', '11', '298', '276', '75', '13', '327', '9', '159']
['4', '118', '317', '48', '339', '59', '409', '132', '404', '416']
['36', '341', '69', '336', '473', '210', '279', '296', '109', '370']
['43', '286', '412', '18', '10', '281', '34', '76', '65', '374']
['187', '125', '384', '111', '369', '200', '154', '216', '27', '395']
['292', '70', '56', '236', '465', '6', '340', '283', '344', '282']
['58', '287', '364', '394', '262', '311', '382', '168', '88', '462']
['380', '480', '312', '445', '265', '144', '479', '212', '399', '271']
['87', '447', '252', '302', '96', '208', '297', '221', '308', '443']
['348', '464', '163', '266', '446', '53', '16', '41', '256', '119']
['112', '268', '126', '203', '316', '106', '469', '263', '64', '97']
['192', '383', '280', '417', '432', '146', '149', '450', '100', '51']
['354', '68', '83', '373', '177', '254', '314', '243', '372', '436']
['232', '366', '361', '350', '478', '15', '307', '288', '94', '152']
['398', '378', '73', '272', '33', '19', '291', '242', '391', '360']
['195', '463', '180', '135', '140', '328', '190', '251', '225', '8']
['137', '213', '392', '89', '241', '261', '226', '215', '86', '431']
['492', '324', '353', '323', '153', '420', '185', '407', '313', '44']
['24', '301', '290', '476', '148', '158', '1', '172', '196', '5']
['229', '141', '388', '494', '173', '142', '219', '278', '304', '335']
['289', '470', '204', '211', '260', '488', '197', '102', '66', '61']
['72', '326', '250', '37', '349', '52', '342', '184', '122', '128']
['145', '17', '193', '31', '267', '477', '484', '170', '411', '202']
['303', '79', '433', '322', '247', '223', '422', '451', '333', '138']
['164', '489', '430', '150', '499', '346', '425', '25', '77', '103']
['228', '386', '23', '402', '133', '438', '482', '40', '237', '240']
['54', '337', '471', '155', '39', '365', '275', '227', '176', '475']
['108', '253', '91', '38', '84', '178', '493', '49', '244', '214']
['80', '481', '166', '199', '496', '206', '474', '332', '162', '171']
['7', '47', '22', '259', '487', '460', '14', '139', '414', '101']
['99', '300', '12', '318', '35', '230', '457', '95', '448', '110']
['401', '183', '189', '55', '299', '347', '483', '151', '345', '449']
['30', '454', '60', '498', '452', '363', '461', '131', '257', '490']
['375', '325', '472', '310', '93', '217', '174', '20', '403', '233']
['408', '343', '2', '334', '293', '331', '113', '194', '466', '377']
['441', '147', '188', '315', '269', '161', '3', '201', '98', '85']
['90', '42', '134', '136', '379', '421', '444', '117', '167', '32']
['115', '105', '82', '458', '367', '78', '62', '440', '235', '428']
['305', '396', '234', '238', '435', '330', '222', '368', '224', '245']
['385', '246', '429', '424', '249', '248', '205', '309', '376', '426']
['362', '231', '393', '456', '182', '381', '258', '427', '270', '306']
['198', '467', '320', '355', '160', '107', '116', '175', '410', '120']
['390', '273', '418', '239', '169', '45', '357', '455', '389', '26']
['277', '295', '338', '220', '415', '459', '114', '46', '351', '356']
['127', '0', '358', '419', '495', '400', '359', '186', '405', '468']
['130', '156', '123', '397', '406', '434', '387', '143', '329', '124']
['284', '92', '207', '285', '413', '352', '191', '423', '21', '81']
['485', '486', '491', '71', '274', '255', '181', '319', '371', '264']
['179', '209', '157', '63', '439', '294', '218', '57', '437', '121']
