['940', '359', '198', '218', '303', '716', '259', '54', '843', '404', '263', '206', '211', '844', '634', '446', '724', '486', '184', '407', '868', '650', '126', '357', '13', '277', '788', '169', '568', '809', '376', '331', '366', '257', '467', '534', '787', '504', '698', '453', '746', '160', '499', '493', '776', '578', '133', '158', '501', '186']
['456', '784', '410', '223', '209', '607', '944', '495', '433', '27', '564', '291', '130', '216', '202', '434', '599', '242', '182', '113', '305', '984', '822', '583', '426', '586', '799', '609', '541', '48', '392', '707', '996', '35', '75', '910', '215', '306', '313', '666', '308', '849', '402', '454', '726', '573', '44', '342', '839', '260']
['105', '532', '556', '414', '523', '383', '835', '41', '224', '755', '871', '619', '11', '815', '322', '375', '192', '628', '677', '212', '281', '511', '919', '115', '36', '600', '729', '647', '945', '245', '674', '438', '374', '935', '394', '932', '491', '19', '820', '620', '255', '649', '68', '926', '890', '739', '744', '627', '457', '125']
['826', '470', '561', '148', '875', '589', '918', '461', '205', '655', '369', '967', '235', '855', '566', '914', '50', '684', '360', '0', '199', '508', '740', '701', '751', '146', '135', '703', '691', '725', '939', '673', '965', '689', '847', '419', '87', '836', '889', '907', '774', '581', '196', '3', '447', '172', '459', '57', '675', '448']
['46', '455', '769', '613', '315', '546', '232', '157', '969', '42', '4', '610', '83', '803', '761', '58', '472', '925', '18', '766', '567', '947', '905', '9', '289', '385', '442', '760', '179', '709', '884', '810', '180', '656', '32', '629', '475', '772', '497', '118', '52', '197', '807', '646', '595', '865', '479', '384', '2', '181']
['381', '518', '296', '319', '149', '249', '77', '74', '637', '942', '61', '252', '451', '517', '20', '76', '734', '994', '462', '706', '824', '185', '851', '398', '138', '37', '388', '669', '465', '592', '21', '178', '873', '598', '758', '565', '537', '790', '34', '899', '854', '686', '425', '983', '879', '690', '742', '103', '900', '562']
['251', '617', '70', '553', '367', '712', '827', '883', '572', '949', '254', '16', '560', '22', '304', '136', '654', '363', '80', '819', '667', '295', '217', '406', '536', '825', '559', '45', '915', '974', '866', '936', '584', '959', '862', '917', '15', '276', '950', '17', '682', '365', '520', '872', '543', '336', '806', '973', '166', '429']
['466', '53', '732', '687', '920', '544', '445', '283', '624', '143', '120', '795', '696', '642', '688', '201', '416', '680', '195', '521', '139', '311', '337', '339', '783', '107', '692', '389', '633', '418', '66', '928', '895', '334', '963', '575', '911', '989', '876', '476', '494', '800', '89', '314', '427', '804', '995', '808', '124', '665']
['921', '577', '155', '719', '757', '396', '611', '991', '604', '109', '368', '653', '95', '943', '574', '354', '412', '640', '219', '708', '830', '415', '351', '898', '421', '234', '1', '837', '558', '601', '428', '615', '519', '327', '881', '856', '845', '106', '982', '312', '371', '588', '238', '468', '775', '860', '298', '71', '111', '214']
['789', '587', '317', '764', '715', '964', '292', '30', '563', '424', '370', '65', '738', '309', '904', '842', '102', '485', '678', '730', '946', '284', '702', '834', '8', '857', '346', '924', '938', '236', '94', '326', '372', '623', '571', '792', '108', '831', '542', '405', '408', '338', '278', '747', '213', '723', '580', '290', '88', '972']
['96', '482', '721', '859', '67', '756', '226', '763', '953', '348', '183', '538', '330', '142', '853', '266', '697', '86', '282', '864', '731', '811', '639', '355', '727', '728', '378', '92', '993', '444', '297', '791', '714', '931', '261', '636', '841', '603', '693', '630', '821', '657', '248', '897', '63', '335', '793', '668', '737', '56']
['208', '752', '975', '147', '33', '909', '344', '301', '840', '700', '437', '496', '237', '231', '253', '439', '221', '246', '151', '194', '69', '264', '848', '321', '908', '382', '606', '794', '552', '258', '582', '302', '635', '341', '110', '104', '119', '850', '676', '713', '962', '397', '131', '358', '233', '207', '704', '269', '39', '51']
['480', '632', '778', '513', '279', '643', '26', '828', '612', '203', '557', '661', '618', '228', '225', '332', '204', '85', '176', '753', '165', '631', '863', '894', '981', '325', '162', '122', '262', '333', '681', '114', '977', '230', '892', '802', '379', '505', '958', '569', '411', '585', '923', '987', '745', '458', '5', '597', '733', '477']
['781', '452', '128', '483', '685', '551', '622', '722', '390', '941', '229', '430', '28', '144', '805', '773', '670', '154', '515', '765', '988', '510', '91', '267', '190', '490', '570', '990', '98', '24', '652', '47', '177', '173', '754', '464', '659', '241', '152', '436', '356', '720', '528', '72', '362', '293', '156', '7', '29', '978']
['651', '90', '694', '170', '78', '526', '663', '443', '193', '275', '711', '386', '786', '403', '449', '489', '671', '888', '270', '927', '247', '527', '593', '294', '62', '413', '373', '488', '818', '82', '99', '268', '658', '641', '735', '833', '590', '40', '316', '450', '349', '638', '328', '31', '777', '644', '132', '189', '524', '200']
['161', '999', '137', '423', '481', '998', '768', '699', '545', '555', '664', '6', '762', '576', '14', '992', '906', '516', '287', '38', '81', '858', '683', '171', '798', '645', '954', '512', '616', '484', '345', '150', '117', '626', '399', '852', '300', '400', '320', '913', '867', '285', '352', '97', '533', '329', '478', '463', '679', '343']
['608', '121', '79', '492', '861', '250', '785', '265', '243', '951', '829', '174', '886', '956', '801', '648', '596', '239', '741', '885', '73', '922', '401', '672', '340', '780', '387', '705', '244', '846', '782', '380', '540', '140', '507', '25', '955', '579', '547', '880', '377', '473', '191', '878', '422', '971', '159', '548', '929', '145']
['84', '153', '500', '549', '968', '100', '979', '966', '256', '353', '487', '887', '934', '759', '220', '431', '498', '985', '748', '877', '271', '823', '318', '912', '227', '307', '997', '432', '901', '896', '986', '535', '660', '916', '948', '116', '621', '797', '796', '514', '539', '210', '272', '750', '141', '187', '903', '60', '771', '12']
['602', '502', '662', '869', '930', '874', '286', '813', '770', '970', '164', '522', '554', '882', '188', '409', '361', '240', '891', '59', '525', '952', '506', '529', '55', '175', '274', '749', '129', '550', '310', '273', '594', '10', '168', '710', '961', '474', '299', '364', '591', '167', '933', '893', '391', '625', '393', '134', '812', '902']
['832', '123', '420', '440', '417', '350', '23', '718', '460', '838', '93', '101', '324', '817', '816', '323', '717', '736', '530', '471', '441', '435', '288', '937', '509', '695', '960', '779', '957', '127', '870', '614', '222', '163', '767', '64', '503', '814', '347', '49', '531', '743', '469', '605', '112', '395', '43', '980', '280', '976']
