['425', '229', '844', '769', '797', '213', '796', '268', '411', '641']
['694', '930', '976', '274', '857', '299', '601', '928', '47', '134']
['801', '921', '761', '617', '324', '166', '852', '663', '952', '11']
['14', '577', '502', '94', '36', '171', '574', '487', '446', '865']
['519', '45', '123', '223', '387', '325', '727', '778', '303', '189']
['297', '412', '143', '476', '190', '226', '800', '841', '27', '672']
['753', '355', '3', '953', '808', '949', '350', '141', '450', '717']
['762', '269', '707', '985', '157', '212', '366', '187', '794', '243']
['131', '931', '748', '107', '904', '997', '418', '103', '345', '569']
['228', '125', '987', '978', '898', '729', '225', '376', '470', '542']
['178', '646', '207', '405', '485', '24', '239', '642', '610', '721']
['821', '817', '177', '13', '140', '38', '977', '454', '252', '854']
['37', '121', '712', '397', '205', '133', '65', '734', '337', '294']
['265', '845', '749', '273', '202', '920', '793', '975', '152', '598']
['811', '318', '32', '249', '839', '840', '906', '344', '699', '527']
['89', '525', '430', '500', '389', '756', '746', '743', '401', '122']
['209', '683', '754', '855', '77', '963', '79', '899', '460', '338']
['679', '153', '653', '872', '46', '834', '716', '406', '232', '947']
['210', '772', '664', '638', '996', '192', '465', '887', '288', '292']
['607', '457', '785', '551', '711', '612', '736', '842', '881', '673']
['560', '912', '491', '575', '706', '700', '83', '291', '341', '129']
['604', '380', '363', '352', '458', '488', '242', '327', '656', '343']
['608', '730', '804', '289', '757', '633', '431', '271', '305', '555']
['154', '689', '669', '627', '16', '960', '31', '176', '377', '820']
['287', '290', '615', '514', '812', '849', '139', '395', '648', '745']
['203', '451', '535', '427', '172', '891', '59', '701', '970', '392']
['137', '752', '473', '467', '5', '882', '495', '792', '68', '659']
['443', '421', '758', '763', '536', '208', '330', '759', '590', '9']
['248', '644', '466', '237', '315', '735', '925', '989', '264', '266']
['531', '158', '335', '603', '862', '66', '462', '322', '684', '956']
['423', '272', '505', '969', '148', '543', '362', '497', '429', '824']
['724', '347', '417', '331', '907', '132', '802', '44', '570', '981']
['101', '483', '710', '933', '280', '439', '261', '791', '179', '251']
['967', '308', '461', '940', '64', '310', '719', '708', '809', '946']
['164', '56', '737', '267', '314', '554', '323', '883', '136', '214']
['186', '655', '703', '914', '557', '935', '71', '231', '76', '219']
['283', '215', '110', '93', '10', '161', '650', '145', '720', '475']
['661', '677', '30', '394', '873', '26', '548', '398', '787', '479']
['480', '201', '328', '195', '983', '184', '866', '665', '998', '592']
