['191', '565', '138', '709', '747']
['753', '494', '939', '618', '52']
['221', '166', '622', '413', '403']
['503', '142', '857', '703', '869']
['102', '410', '49', '93', '421']
['558', '418', '771', '11', '810']
['718', '832', '575', '838', '389']
['209', '383', '196', '170', '255']
['756', '582', '701', '302', '88']
['442', '183', '588', '969', '883']
['157', '218', '776', '899', '725']
['686', '208', '952', '495', '792']
['941', '829', '252', '328', '484']
['50', '341', '735', '651', '299']
['875', '858', '903', '713', '817']
['642', '197', '330', '254', '456']
['513', '415', '352', '674', '211']
['9', '324', '343', '866', '801']
['872', '675', '303', '664', '282']
['398', '169', '201', '464', '861']
['175', '409', '301', '916', '182']
['655', '525', '112', '187', '919']
['535', '331', '136', '643', '962']
['0', '603', '137', '551', '353']
['454', '564', '95', '198', '777']
['882', '536', '685', '80', '879']
['831', '335', '576', '738', '966']
['380', '660', '616', '48', '276']
['891', '859', '94', '893', '483']
['25', '91', '190', '540', '127']
['897', '44', '595', '671', '24']
['468', '355', '764', '871', '356']
['889', '238', '629', '461', '348']
['362', '545', '563', '806', '902']
['354', '477', '489', '865', '45']
['8', '216', '393', '626', '57']
['28', '591', '207', '641', '347']
['630', '789', '785', '667', '76']
['110', '108', '910', '54', '594']
['711', '855', '580', '278', '826']
['135', '519', '736', '987', '386']
['423', '411', '125', '656', '612']
['400', '723', '670', '126', '277']
['521', '978', '345', '683', '678']
['435', '104', '650', '497', '286']
['396', '593', '611', '873', '708']
['748', '224', '508', '312', '690']
['775', '471', '615', '730', '55']
['154', '298', '842', '621', '956']
['680', '548', '819', '940', '153']
['232', '79', '700', '284', '604']
['908', '215', '516', '366', '788']
['53', '752', '192', '17', '162']
['663', '765', '673', '377', '85']
['13', '406', '444', '433', '904']
['515', '894', '757', '231', '824']
['300', '236', '759', '976', '307']
['983', '552', '115', '285', '921']
['72', '507', '172', '556', '186']
['973', '38', '531', '539', '728']
['648', '308', '689', '243', '720']
['640', '524', '567', '132', '732']
['122', '972', '549', '407', '868']
['465', '180', '572', '601', '130']
['938', '202', '247', '917', '979']
['117', '212', '450', '151', '158']
['850', '638', '881', '839', '739']
['340', '257', '763', '654', '957']
['74', '684', '64', '429', '807']
['96', '942', '907', '105', '571']
['327', '631', '590', '559', '143']
['416', '509', '569', '321', '33']
['165', '852', '568', '313', '585']
['374', '452', '658', '139', '846']
['16', '272', '542', '82', '493']
['426', '462', '399', '264', '805']
['844', '532', '22', '737', '363']
['614', '636', '975', '717', '915']
['15', '315', '676', '274', '357']
['644', '447', '266', '856', '804']
['1', '250', '679', '491', '14']
['228', '506', '958', '370', '128']
['637', '47', '666', '176', '87']
['657', '721', '453', '185', '803']
['289', '589', '490', '965', '837']
['959', '598', '971', '427', '487']
['29', '98', '647', '269', '178']
['734', '586', '268', '241', '210']
['836', '233', '463', '97', '119']
['379', '874', '944', '384', '691']
['239', '234', '92', '260', '7']
['769', '317', '492', '932', '314']
