['161', '346', '79', '728', '144']
['533', '32', '139', '31', '240']
['648', '2', '919', '70', '564']
['871', '211', '183', '961', '945']
['587', '304', '591', '849', '862']
['66', '889', '272', '101', '26']
['899', '834', '971', '225', '959']
['682', '763', '51', '496', '258']
['517', '850', '378', '171', '539']
['748', '506', '476', '288', '786']
['691', '516', '265', '405', '877']
['36', '590', '586', '723', '608']
['904', '47', '438', '520', '223']
['155', '714', '337', '428', '102']
['64', '844', '59', '684', '944']
['624', '371', '530', '965', '642']
['719', '432', '446', '541', '800']
['603', '315', '374', '110', '511']
['170', '525', '730', '116', '317']
['751', '747', '62', '652', '597']
['426', '779', '925', '89', '267']
['907', '124', '740', '629', '813']
['298', '210', '168', '619', '710']
['160', '195', '360', '673', '334']
['799', '422', '851', '826', '895']
['122', '309', '583', '257', '896']
['932', '705', '500', '358', '602']
['733', '230', '353', '820', '7']
['979', '665', '35', '447', '18']
['943', '287', '502', '579', '815']
['83', '658', '419', '613', '232']
['106', '793', '824', '488', '957']
['33', '11', '498', '107', '301']
['750', '861', '391', '274', '833']
['956', '306', '355', '991', '280']
['856', '553', '131', '323', '114']
['158', '873', '933', '407', '818']
['129', '736', '997', '206', '589']
['568', '651', '574', '97', '693']
['86', '340', '756', '278', '328']
['914', '909', '512', '662', '67']
['712', '576', '557', '151', '769']
['745', '311', '802', '228', '29']
['474', '128', '951', '507', '283']
['398', '472', '515', '703', '389']
['469', '721', '194', '49', '876']
['291', '744', '948', '126', '339']
['655', '891', '571', '972', '643']
['174', '804', '404', '657', '156']
['967', '901', '424', '427', '491']
['832', '43', '293', '611', '791']
['177', '505', '58', '966', '635']
['111', '754', '440', '681', '630']
['886', '729', '120', '632', '400']
['808', '676', '880', '482', '860']
['715', '344', '444', '77', '213']
['22', '577', '455', '380', '382']
['401', '237', '869', '41', '695']
['709', '663', '390', '262', '924']
['593', '467', '492', '692', '766']
['535', '939', '902', '675', '817']
['545', '668', '625', '746', '805']
['53', '975', '297', '794', '430']
['532', '898', '727', '363', '19']
['776', '996', '17', '331', '947']
['485', '65', '461', '141', '397']
['882', '795', '936', '487', '646']
['592', '674', '143', '220', '706']
['735', '928', '497', '153', '551']
['396', '4', '920', '224', '985']
['78', '934', '915', '986', '393']
['870', '792', '364', '12', '686']
['558', '774', '420', '785', '214']
['147', '620', '408', '74', '359']
['403', '840', '157', '316', '838']
['276', '458', '784', '238', '192']
['226', '536', '82', '208', '796']
['148', '647', '468', '450', '188']
['266', '617', '888', '318', '917']
['88', '321', '781', '879', '412']
['718', '312', '313', '894', '182']
['137', '912', '767', '765', '399']
['878', '10', '772', '940', '343']
['454', '638', '152', '425', '853']
['734', '259', '473', '15', '279']
['906', '479', '40', '537', '494']
['626', '477', '478', '508', '6']
['150', '816', '470', '725', '697']
['366', '85', '580', '282', '351']
['57', '848', '598', '688', '342']
['980', '806', '667', '803', '308']
['835', '942', '653', '319', '436']
['361', '80', '264', '354', '664']
['963', '375', '149', '680', '874']
['526', '28', '672', '117', '199']
['973', '87', '45', '606', '819']
['622', '739', '699', '513', '24']
['555', '910', '938', '908', '465']
['708', '61', '370', '916', '416']
['235', '435', '381', '456', '701']
['115', '707', '989', '99', '518']
['207', '16', '988', '75', '631']
['39', '254', '843', '575', '368']
['922', '441', '771', '845', '645']
['252', '578', '798', '872', '222']
['357', '866', '970', '501', '314']
['136', '193', '63', '261', '822']
['559', '30', '433', '994', '134']
['34', '76', '637', '935', '649']
['411', '930', '392', '892', '305']
['543', '197', '486', '918', '659']
['777', '181', '189', '687', '379']
['628', '5', '135', '448', '453']
['534', '93', '854', '326', '348']
['700', '429', '599', '770', '244']
['990', '365', '522', '221', '84']
['69', '542', '968', '484', '169']
['172', '108', '52', '94', '3']
['738', '758', '640', '493', '325']
['937', '118', '307', '660', '95']
['452', '175', '185', '383', '641']
['90', '609', '867', '983', '164']
['974', '995', '778', '952', '753']
['561', '999', '204', '531', '290']
['724', '96', '582', '203', '0']
['159', '563', '166', '783', '302']
['196', '285', '71', '982', '198']
['807', '132', '552', '958', '797']
['462', '480', '679', '741', '190']
['801', '921', '242', '1', '969']
['241', '449', '656', '821', '881']
['521', '423', '327', '395', '248']
['752', '588', '100', '757', '127']
['54', '243', '25', '186', '885']
['864', '610', '639', '814', '362']
['23', '809', '863', '962', '732']
['720', '953', '367', '247', '504']
['123', '605', '514', '459', '678']
['823', '173', '716', '527', '320']
['255', '292', '303', '104', '299']
['46', '573', '615', '987', '227']
['713', '749', '8', '495', '759']
['585', '510', '976', '789', '775']
['887', '167', '600', '594', '827']
['369', '755', '831', '387', '852']
['946', '911', '548', '253', '434']
['386', '14', '329', '565', '269']
['566', '711', '581', '742', '761']
['48', '421', '490', '233', '731']
['50', '27', '271', '347', '219']
['268', '409', '858', '165', '234']
['670', '229', '246', '612', '273']
['760', '607', '992', '464', '239']
['372', '481', '460', '68', '964']
['694', '73', '184', '439', '787']
['60', '601', '669', '349', '125']
['636', '621', '949', '790', '614']
['572', '722', '55', '91', '300']
['418', '644', '457', '284', '322']
['596', '162', '913', '618', '442']
['179', '406', '875', '897', '836']
['556', '570', '236', '540', '209']
['105', '503', '743', '200', '335']
['893', '993', '923', '825', '310']
['954', '560', '92', '402', '191']
['176', '145', '260', '394', '37']
['415', '250', '538', '773', '666']
['859', '549', '782', '764', '788']
['345', '567', '960', '212', '98']
['623', '812', '13', '180', '890']
['554', '519', '726', '865', '72']
['627', '21', '768', '828', '929']
['332', '463', '138', '385', '338']
['584', '443', '296', '256', '696']
['523', '855', '633', '333', '616']
['829', '163', '286', '509', '528']
['868', '569', '377', '926', '413']
['475', '263', '417', '178', '112']
['410', '245', '324', '884', '146']
['330', '981', '595', '685', '384']
['56', '38', '437', '544', '690']
['187', '215', '133', '683', '352']
['661', '634', '900', '489', '671']
['142', '762', '811', '341', '499']
['650', '977', '249', '388', '547']
['847', '903', '546', '275', '81']
['350', '927', '698', '414', '883']
['202', '550', '251', '9', '109']
['529', '154', '445', '857', '294']
['103', '677', '654', '336', '737']
['119', '842', '955', '466', '717']
['201', '356', '604', '998', '121']
['524', '810', '113', '471', '217']
['704', '483', '295', '130', '830']
['205', '846', '376', '140', '941']
['905', '270', '289', '702', '281']
['20', '950', '451', '839', '231']
['218', '277', '44', '42', '978']
['984', '216', '431', '780', '931']
['841', '373', '689', '562', '837']
