['351', '711', '704', '371']
['792', '288', '290', '370']
['120', '512', '506', '566']
['302', '705', '253', '98']
['173', '691', '90', '84']
['463', '584', '215', '402']
['759', '633', '239', '765']
['317', '322', '219', '460']
['416', '448', '269', '432']
['738', '650', '367', '594']
['568', '15', '344', '136']
['788', '741', '242', '638']
['544', '492', '156', '183']
['111', '720', '793', '646']
['658', '789', '138', '697']
['744', '286', '400', '399']
['119', '330', '184', '83']
['114', '228', '338', '670']
['798', '198', '548', '545']
['59', '60', '335', '117']
['781', '500', '231', '337']
['307', '151', '24', '247']
['189', '737', '299', '122']
['422', '731', '667', '144']
['736', '174', '483', '656']
['669', '430', '363', '362']
['733', '342', '137', '377']
['599', '206', '262', '496']
['477', '446', '142', '205']
['660', '69', '628', '303']
['474', '749', '455', '331']
['494', '632', '53', '462']
['74', '96', '116', '150']
['786', '34', '562', '50']
['721', '135', '542', '729']
['252', '391', '20', '429']
['465', '278', '541', '265']
['654', '605', '622', '218']
['445', '211', '78', '730']
['18', '130', '420', '475']
['311', '636', '714', '510']
['294', '666', '70', '686']
['358', '756', '141', '644']
['698', '536', '459', '458']
['54', '754', '684', '259']
['649', '441', '214', '40']
['312', '556', '77', '596']
['375', '129', '707', '588']
['780', '613', '437', '26']
['745', '444', '772', '727']
['266', '57', '19', '17']
['63', '774', '315', '95']
['554', '579', '143', '334']
['709', '101', '659', '524']
['735', '794', '276', '758']
['625', '682', '27', '558']
['592', '449', '498', '549']
['374', '571', '368', '163']
['389', '456', '217', '795']
['79', '42', '778', '44']
['734', '403', '509', '212']
['397', '41', '757', '501']
['514', '676', '158', '719']
['607', '5', '285', '631']
['573', '324', '21', '320']
['489', '43', '154', '742']
['640', '503', '629', '8']
['390', '263', '280', '581']
['586', '700', '722', '787']
['604', '7', '540', '191']
['38', '642', '699', '427']
['146', '185', '576', '4']
['226', '369', '504', '91']
['279', '234', '770', '748']
['443', '531', '180', '497']
['62', '783', '515', '423']
['225', '13', '648', '764']
['410', '739', '530', '406']
['614', '419', '113', '72']
['482', '569', '481', '161']
['355', '45', '611', '461']
['220', '695', '131', '782']
['393', '601', '746', '321']
['268', '677', '195', '304']
['664', '149', '689', '522']
['281', '412', '49', '539']
['51', '92', '433', '776']
['33', '472', '199', '395']
['155', '476', '162', '22']
['308', '567', '428', '65']
['438', '329', '48', '202']
['386', '551', '0', '229']
['706', '243', '763', '121']
['490', '710', '140', '227']
['125', '208', '617', '182']
['762', '580', '102', '210']
['425', '671', '359', '450']
['176', '525', '39', '414']
['35', '261', '728', '590']
['743', '652', '767', '73']
['535', '663', '193', '319']
['190', '382', '396', '495']
['32', '349', '157', '502']
['52', '608', '152', '559']
['246', '107', '466', '618']
['373', '82', '115', '203']
['755', '708', '175', '177']
['192', '244', '585', '67']
['411', '233', '439', '237']
['376', '316', '200', '196']
['97', '86', '118', '565']
['318', '702', '609', '777']
['575', '385', '254', '333']
['479', '352', '620', '106']
['350', '398', '679', '364']
['499', '345', '29', '560']
['717', '250', '87', '75']
['178', '1', '582', '47']
['66', '10', '454', '357']
['487', '589', '784', '300']
['272', '336', '354', '133']
['753', '293', '574', '532']
['637', '23', '256', '64']
['593', '132', '769', '600']
['641', '457', '791', '493']
['166', '168', '452', '238']
['674', '46', '712', '405']
['665', '56', '675', '387']
['25', '105', '85', '108']
['245', '442', '404', '453']
['470', '378', '703', '716']
['595', '685', '313', '258']
['630', '747', '693', '153']
['480', '30', '271', '643']
['222', '550', '251', '283']
['570', '58', '657', '471']
['681', '467', '751', '413']
['647', '284', '687', '230']
['274', '417', '485', '517']
['147', '464', '270', '328']
['314', '426', '491', '339']
['169', '165', '761', '424']
['201', '100', '421', '160']
['564', '372', '434', '724']
['606', '186', '547', '2']
['124', '36', '93', '309']
['167', '597', '528', '347']
['145', '451', '94', '696']
['508', '771', '68', '88']
['3', '164', '241', '80']
['563', '273', '505', '616']
['332', '635', '409', '447']
['104', '672', '194', '187']
['55', '484', '790', '415']
['248', '546', '534', '346']
['732', '81', '768', '109']
['775', '6', '327', '340']
['557', '521', '103', '610']
['37', '436', '750', '213']
['260', '662', '624', '513']
['797', '383', '407', '773']
['356', '392', '148', '112']
['538', '598', '766', '615']
['267', '61', '123', '468']
['779', '14', '323', '296']
['725', '255', '365', '418']
['179', '519', '171', '235']
['678', '159', '277', '526']
['553', '197', '31', '275']
['799', '306', '134', '264']
['360', '639', '12', '341']
['384', '692', '298', '634']
['297', '379', '619', '170']
['76', '591', '388', '408']
['529', '431', '394', '380']
['240', '99', '653', '785']
['726', '401', '561', '683']
['760', '310', '511', '343']
['701', '207', '440', '752']
['126', '516', '555', '366']
['257', '713', '223', '740']
['690', '796', '655', '287']
['128', '28', '688', '9']
['577', '583', '572', '612']
['488', '188', '16', '353']
['602', '518', '326', '645']
['325', '621', '348', '694']
['216', '533', '381', '507']
['127', '486', '236', '552']
['673', '668', '435', '224']
['172', '587', '301', '71']
['282', '204', '305', '289']
['473', '527', '626', '537']
['603', '578', '232', '110']
['543', '661', '292', '718']
['295', '11', '680', '651']
['715', '361', '623', '209']
['723', '89', '181', '469']
['139', '627', '221', '523']
['478', '249', '291', '520']
