[616, 282, 506, 661, 49, 637, 334, 275, 438, 85, 673, 148, 470, 536, 328, 76, 402, 385, 534, 667, 460, 465, 397, 180]
[14, 157, 620, 573, 93, 649, 364, 379, 178, 351, 104, 476, 474, 241, 114, 77, 194, 281, 628, 139, 597, 424, 468, 697]
[617, 522, 646, 322, 303, 69, 134, 327, 323, 154, 498, 479, 173, 633, 671, 197, 687, 562, 612, 39, 223, 456, 548, 586]
[392, 62, 112, 113, 209, 371, 38, 380, 228, 336, 625, 651, 657, 7, 396, 53, 213, 538, 346, 342, 32, 583, 138, 302]
[208, 313, 60, 24, 551, 557, 44, 340, 304, 179, 521, 418, 204, 656, 525, 516, 575, 514, 260, 274, 500, 264, 390, 244]
[486, 666, 118, 165, 333, 377, 668, 17, 87, 632, 300, 261, 595, 681, 121, 400, 130, 222, 146, 686, 381, 588, 307, 483]
[143, 131, 292, 674, 56, 549, 453, 78, 589, 5, 367, 412, 684, 26, 645, 171, 57, 624, 221, 680, 490, 9, 535, 611]
[216, 29, 685, 162, 59, 54, 265, 229, 604, 463, 172, 116, 689, 596, 529, 175, 672, 46, 256, 174, 271, 593, 382, 293]
[3, 153, 95, 127, 246, 447, 585, 330, 13, 245, 383, 231, 579, 565, 224, 168, 35, 469, 600, 452, 375, 21, 177, 566]
[27, 150, 337, 43, 473, 338, 670, 74, 326, 580, 268, 642, 295, 613, 232, 329, 325, 239, 415, 247, 159, 248, 409, 52]
[100, 238, 654, 66, 676, 584, 607, 176, 430, 193, 149, 355, 455, 225, 36, 425, 618, 571, 10, 518, 258, 443, 694]
[541, 73, 688, 296, 345, 462, 403, 332, 212, 41, 22, 242, 249, 185, 91, 648, 257, 505, 372, 128, 698, 510, 199]
[290, 341, 106, 335, 683, 366, 503, 310, 110, 109, 236, 309, 577, 690, 88, 515, 608, 635, 357, 277, 481, 644, 230]
[401, 439, 504, 543, 359, 568, 217, 166, 312, 83, 126, 446, 51, 550, 482, 8, 240, 389, 386, 188, 531, 528, 693]
[553, 520, 254, 523, 12, 316, 652, 695, 267, 601, 619, 445, 526, 289, 431, 699, 653, 426, 387, 373, 428, 480, 272]
[122, 25, 70, 273, 626, 497, 691, 135, 156, 444, 361, 615, 484, 80, 319, 563, 511, 530, 191, 283, 440, 205, 2]
[40, 170, 237, 294, 598, 662, 187, 376, 6, 158, 269, 50, 436, 411, 417, 677, 306, 560, 287, 663, 23, 11, 581]
[47, 636, 413, 152, 349, 219, 291, 524, 614, 432, 454, 576, 234, 610, 643, 408, 477, 305, 124, 352, 374, 184, 378]
[631, 263, 442, 393, 388, 513, 647, 678, 419, 92, 227, 517, 546, 195, 621, 279, 599, 578, 192, 72, 211, 147, 218]
[169, 284, 660, 151, 96, 140, 120, 84, 669, 623, 692, 142, 547, 202, 314, 133, 105, 501, 94, 252, 64, 90, 641]
[404, 451, 163, 339, 164, 675, 427, 471, 99, 108, 561, 509, 682, 410, 437, 286, 317, 590, 622, 640, 420, 75, 450]
[362, 37, 34, 609, 356, 255, 564, 555, 198, 33, 556, 429, 639, 507, 487, 594, 485, 67, 243, 499, 311, 4, 82]
[492, 278, 448, 201, 679, 488, 605, 629, 215, 186, 347, 298, 354, 86, 226, 299, 434, 638, 569, 137, 554, 358, 544]
[107, 68, 235, 220, 606, 441, 1, 63, 422, 414, 320, 58, 630, 353, 572, 435, 449, 495, 545, 394, 280, 472, 144]
[363, 123, 508, 129, 421, 405, 602, 161, 475, 119, 28, 132, 461, 592, 15, 567, 259, 348, 540, 288, 360, 457, 570]
[301, 61, 416, 270, 190, 696, 459, 136, 494, 253, 552, 384, 458, 297, 493, 533, 343, 189, 558, 102, 45, 466, 160]
[634, 203, 233, 103, 559, 79, 285, 489, 207, 391, 395, 331, 183, 519, 527, 262, 71, 502, 318, 101, 81, 210, 350]
[31, 532, 19, 20, 399, 30, 491, 407, 42, 182, 370, 650, 16, 111, 145, 369, 18, 200, 603, 365, 655, 539, 115]
[464, 266, 214, 0, 665, 398, 155, 48, 423, 582, 308, 496, 627, 433, 117, 141, 206, 591, 587, 250, 574, 276, 196]
[658, 251, 406, 368, 659, 542, 315, 167, 467, 537, 55, 125, 65, 321, 344, 181, 664, 512, 98, 89, 324, 97, 478]
