[68, 261, 142, 205, 13, 115, 275, 95, 134, 92, 72, 209, 79, 190, 196, 266, 264, 55, 50, 244, 60, 208, 159, 213, 75, 297, 100, 206, 127, 170]
[128, 73, 48, 283, 222, 61, 140, 108, 149, 30, 112, 94, 147, 62, 287, 12, 223, 91, 230, 182, 146, 256, 99, 14, 289, 63, 16, 150, 139, 218]
[27, 239, 25, 157, 42, 269, 210, 57, 262, 250, 118, 192, 113, 288, 93, 220, 54, 193, 298, 270, 271, 243, 106, 232, 299, 281, 88, 111, 238, 280]
[259, 125, 47, 31, 166, 175, 38, 173, 44, 107, 4, 278, 103, 284, 29, 32, 21, 180, 52, 130, 132, 217, 199, 225, 252, 156, 126, 235, 28, 24]
[101, 26, 263, 272, 155, 176, 151, 49, 215, 249, 105, 216, 102, 183, 129, 276, 191, 187, 189, 90, 110, 98, 237, 248, 286, 152, 164, 144, 51, 74]
[202, 236, 119, 85, 254, 143, 133, 169, 34, 267, 194, 18, 228, 240, 20, 285, 226, 200, 185, 163, 3, 171, 2, 195, 279, 96, 41, 69, 84, 67]
[70, 39, 89, 162, 153, 138, 167, 58, 117, 221, 277, 124, 251, 265, 23, 174, 186, 116, 6, 258, 45, 22, 136, 241, 120, 234, 56, 122, 8, 188]
[198, 177, 97, 0, 10, 46, 165, 207, 179, 247, 212, 1, 227, 178, 131, 204, 141, 214, 9, 71, 224, 86, 11, 121, 87, 81, 109, 83, 245, 15]
[35, 172, 158, 77, 65, 17, 295, 33, 203, 273, 80, 253, 104, 64, 231, 184, 114, 137, 40, 37, 219, 7, 161, 53, 268, 242, 296, 294, 211, 123]
[197, 257, 59, 291, 181, 82, 76, 255, 274, 292, 160, 148, 246, 66, 229, 282, 233, 293, 135, 290, 154, 78, 19, 260, 145, 5, 36, 43, 201, 168]
