['52', '239', '388', '484', '166', '13', '428', '6', '219', '146']
['256', '333', '203', '177', '461', '83', '29', '352', '396', '284']
['117', '399', '17', '109', '381', '264', '45', '16', '233', '436']
['465', '32', '199', '125', '443', '161', '394', '102', '413', '167']
['212', '176', '412', '101', '155', '130', '138', '481', '368', '492']
['278', '10', '460', '421', '430', '285', '314', '404', '343', '347']
['234', '170', '457', '377', '290', '27', '420', '296', '385', '295']
['37', '292', '369', '466', '144', '211', '115', '84', '371', '222']
['41', '61', '346', '168', '305', '200', '407', '310', '458', '375']
['54', '338', '270', '39', '357', '246', '426', '275', '99', '213']
['469', '244', '89', '46', '63', '0', '300', '193', '313', '221']
['165', '132', '319', '195', '370', '191', '416', '453', '179', '451']
['178', '57', '183', '76', '344', '82', '119', '397', '440', '279']
['90', '148', '329', '145', '288', '398', '220', '94', '403', '66']
['121', '321', '58', '378', '60', '495', '208', '393', '71', '147']
['450', '139', '160', '140', '72', '172', '143', '472', '23', '308']
['157', '437', '21', '192', '47', '11', '382', '187', '18', '433']
['337', '87', '277', '3', '252', '38', '262', '229', '263', '79']
['312', '301', '345', '488', '309', '367', '228', '206', '56', '128']
['92', '351', '188', '414', '410', '181', '401', '415', '408', '136']
['480', '359', '493', '374', '198', '218', '40', '311', '129', '293']
['141', '254', '380', '97', '448', '55', '33', '342', '386', '142']
['150', '225', '409', '316', '238', '202', '108', '315', '255', '186']
['331', '98', '135', '417', '272', '304', '464', '1', '49', '35']
['118', '215', '474', '243', '303', '468', '24', '116', '406', '53']
['207', '376', '454', '133', '131', '294', '364', '320', '299', '269']
['434', '154', '112', '216', '51', '339', '113', '363', '230', '390']
['392', '159', '122', '356', '485', '75', '419', '70', '497', '107']
['391', '424', '326', '25', '4', '286', '103', '265', '171', '271']
['459', '153', '162', '282', '302', '164', '224', '68', '8', '227']
['318', '7', '253', '2', '251', '467', '463', '411', '427', '137']
['260', '360', '214', '134', '120', '261', '106', '431', '174', '100']
['169', '69', '88', '9', '14', '197', '335', '96', '372', '36']
['354', '483', '86', '425', '317', '330', '93', '496', '387', '478']
['358', '126', '173', '156', '111', '456', '241', '48', '114', '64']
['217', '307', '26', '236', '449', '62', '297', '163', '235', '175']
['209', '65', '350', '349', '383', '423', '444', '439', '362', '447']
['34', '95', '201', '306', '395', '104', '328', '432', '5', '353']
['341', '490', '366', '473', '12', '322', '91', '446', '438', '280']
['210', '43', '400', '237', '494', '105', '196', '298', '336', '389']
['355', '361', '123', '422', '379', '240', '85', '78', '281', '334']
['258', '15', '325', '149', '67', '455', '257', '80', '194', '324']
['445', '242', '266', '245', '110', '247', '268', '462', '287', '418']
['189', '384', '81', '42', '373', '499', '476', '402', '31', '291']
['470', '332', '365', '491', '348', '180', '30', '475', '124', '59']
['327', '151', '127', '429', '274', '441', '452', '259', '283', '479']
['152', '44', '185', '77', '231', '489', '435', '205', '19', '190']
['232', '74', '250', '73', '184', '273', '28', '204', '158', '442']
['340', '323', '50', '22', '498', '405', '276', '249', '482', '487']
['20', '289', '471', '477', '267', '182', '248', '226', '486', '223']
