['564', '305', '377', '213', '412', '9', '473', '675', '595', '115', '410', '216', '513', '597', '343', '570', '539', '481', '672', '221', '422', '134', '388', '308']
['139', '610', '114', '271', '215', '514', '105', '525', '92', '696', '523', '17', '691', '147', '19', '42', '647', '100', '622', '586', '265', '63', '289', '515']
['133', '126', '607', '482', '80', '558', '390', '263', '491', '336', '161', '219', '693', '606', '327', '166', '209', '541', '285', '223', '111', '228', '186', '152']
['261', '439', '645', '297', '46', '315', '118', '620', '78', '335', '679', '669', '177', '430', '314', '350', '26', '618', '575', '400', '426', '584', '579', '51']
['274', '587', '338', '4', '259', '501', '565', '694', '355', '150', '169', '445', '68', '330', '649', '516', '478', '658', '574', '91', '384', '97', '14', '459']
['512', '50', '136', '173', '613', '522', '555', '310', '559', '276', '494', '652', '18', '290', '232', '98', '120', '202', '664', '686', '381', '463', '267', '262']
['488', '496', '627', '22', '5', '387', '103', '62', '383', '342', '500', '168', '504', '264', '96', '49', '39', '600', '258', '432', '530', '137', '641', '659']
['495', '244', '175', '75', '593', '185', '117', '226', '240', '502', '34', '611', '205', '287', '625', '372', '537', '255', '563', '405', '424', '293', '237', '605']
['302', '635', '660', '371', '245', '462', '249', '144', '636', '86', '36', '225', '188', '413', '442', '477', '359', '40', '409', '598', '90', '295', '380', '193']
['277', '266', '128', '149', '489', '109', '663', '474', '131', '375', '13', '142', '27', '443', '81', '218', '44', '373', '549', '227', '665', '275', '181', '485']
['674', '510', '360', '632', '171', '154', '280', '467', '328', '616', '153', '8', '671', '451', '666', '206', '382', '352', '604', '251', '32', '6', '349']
['214', '87', '283', '70', '369', '64', '252', '637', '389', '590', '7', '54', '628', '278', '529', '561', '353', '536', '624', '125', '1', '656', '55']
['192', '556', '401', '212', '176', '683', '110', '642', '497', '408', '65', '16', '472', '551', '148', '480', '160', '122', '436', '43', '312', '187', '391']
['224', '440', '191', '568', '466', '623', '630', '199', '365', '2', '333', '367', '423', '498', '72', '77', '158', '685', '284', '444', '370', '172', '699']
['242', '594', '24', '573', '393', '339', '146', '448', '300', '572', '229', '200', '127', '532', '174', '329', '294', '508', '198', '253', '195', '534', '571']
['531', '151', '425', '378', '446', '676', '220', '357', '578', '585', '323', '591', '484', '164', '421', '407', '363', '562', '21', '520', '398', '507', '517']
['465', '321', '450', '163', '608', '545', '82', '325', '420', '235', '670', '519', '326', '268', '319', '304', '453', '638', '486', '447', '479', '56', '306']
['37', '61', '428', '11', '239', '47', '243', '455', '526', '547', '260', '490', '303', '53', '104', '364', '456', '135', '45', '257', '254', '468', '631']
['376', '454', '234', '684', '487', '418', '449', '113', '603', '589', '673', '429', '217', '247', '626', '379', '346', '661', '599', '394', '184', '470', '621']
['132', '298', '524', '695', '505', '311', '38', '291', '692', '107', '533', '344', '99', '69', '653', '250', '688', '58', '548', '577', '76', '320', '180']
['569', '354', '643', '269', '639', '348', '165', '646', '655', '233', '588', '403', '85', '411', '612', '316', '93', '366', '332', '475', '141', '31', '544']
['506', '435', '396', '518', '567', '368', '322', '690', '361', '23', '121', '108', '236', '238', '651', '698', '116', '581', '155', '362', '615', '12', '419']
['29', '48', '431', '689', '667', '331', '138', '41', '634', '528', '159', '644', '248', '441', '521', '140', '417', '201', '697', '101', '648', '20', '94']
['654', '33', '71', '416', '374', '282', '345', '552', '509', '560', '307', '596', '543', '313', '272', '677', '566', '124', '88', '30', '123', '84', '542']
['399', '386', '73', '351', '74', '196', '208', '167', '222', '402', '609', '434', '0', '66', '67', '601', '288', '682', '458', '476', '59', '57', '337']
['299', '633', '617', '179', '106', '334', '554', '156', '210', '557', '546', '203', '119', '190', '433', '460', '681', '292', '457', '83', '130', '129', '189']
['662', '483', '395', '341', '527', '318', '324', '162', '461', '145', '437', '356', '650', '358', '231', '680', '286', '492', '580', '89', '576', '404', '112']
['629', '511', '3', '309', '397', '35', '178', '392', '452', '79', '668', '157', '52', '10', '414', '619', '170', '15', '347', '28', '256', '583', '614']
['640', '204', '427', '270', '592', '25', '194', '503', '197', '406', '657', '95', '241', '582', '207', '296', '273', '279', '183', '281', '499', '143', '102']
['550', '438', '553', '469', '317', '340', '385', '687', '182', '540', '60', '415', '493', '535', '301', '678', '602', '538', '471', '464', '246', '230', '211']
