['313', '51', '340', '184', '351', '651', '369', '316', '246', '370']
['100', '586', '427', '152', '539', '677', '584', '172', '656', '728']
['392', '485', '761', '131', '302', '403', '463', '541', '595', '481']
['383', '97', '647', '646', '338', '175', '156', '61', '27', '2']
['690', '162', '90', '596', '21', '554', '159', '163', '273', '606']
['382', '688', '122', '526', '275', '790', '662', '660', '794', '689']
['400', '542', '772', '507', '198', '89', '468', '96', '102', '589']
['120', '225', '533', '7', '460', '465', '641', '435', '579', '425']
['603', '484', '708', '487', '522', '566', '298', '638', '536', '191']
['666', '785', '368', '470', '682', '126', '744', '515', '33', '222']
['719', '573', '145', '550', '657', '749', '674', '70', '414', '390']
['702', '410', '685', '395', '758', '157', '769', '342', '208', '384']
['218', '654', '684', '28', '16', '202', '0', '698', '279', '549']
['137', '705', '770', '622', '45', '443', '551', '81', '269', '196']
['231', '52', '743', '189', '517', '36', '304', '604', '265', '629']
['598', '616', '500', '271', '665', '405', '40', '226', '695', '505']
['731', '462', '76', '402', '776', '249', '352', '585', '608', '434']
['94', '115', '328', '664', '531', '251', '546', '82', '8', '372']
['742', '125', '204', '556', '228', '331', '88', '663', '32', '753']
['754', '240', '148', '365', '648', '241', '458', '432', '367', '727']
['150', '104', '62', '299', '221', '177', '134', '19', '188', '675']
['669', '658', '276', '307', '725', '233', '386', '491', '581', '72']
['301', '512', '575', '356', '387', '401', '679', '511', '259', '558']
['683', '289', '767', '116', '540', '15', '454', '130', '617', '83']
['668', '746', '534', '234', '363', '623', '262', '260', '642', '671']
['113', '105', '543', '710', '419', '417', '322', '281', '480', '506']
['220', '101', '453', '34', '194', '548', '169', '614', '691', '547']
['645', '13', '433', '624', '482', '618', '242', '634', '492', '764']
['560', '174', '799', '237', '411', '371', '732', '111', '106', '31']
['24', '343', '295', '303', '236', '286', '44', '495', '564', '490']
['521', '766', '399', '459', '257', '103', '779', '793', '407', '46']
['553', '739', '552', '457', '428', '254', '527', '447', '396', '49']
['213', '305', '48', '661', '673', '129', '250', '5', '39', '593']
['557', '607', '380', '509', '755', '282', '737', '412', '588', '471']
['38', '18', '135', '724', '389', '20', '741', '243', '569', '173']
['676', '110', '609', '730', '332', '451', '324', '168', '312', '467']
['385', '79', '723', '625', '456', '601', '182', '421', '735', '697']
['334', '339', '545', '439', '377', '544', '267', '599', '85', '360']
['393', '192', '347', '71', '207', '3', '446', '164', '4', '594']
['726', '699', '600', '178', '535', '636', '149', '321', '504', '431']
['99', '659', '206', '510', '133', '216', '349', '602', '176', '232']
['483', '375', '183', '714', '323', '56', '181', '29', '760', '686']
['672', '217', '773', '692', '153', '364', '141', '706', '355', '362']
['248', '291', '524', '300', '112', '317', '397', '423', '190', '54']
['649', '448', '388', '344', '792', '568', '621', '637', '209', '65']
['704', '612', '245', '109', '745', '23', '445', '341', '187', '329']
['171', '278', '86', '670', '118', '78', '716', '121', '147', '69']
['722', '93', '733', '58', '532', '787', '160', '199', '77', '561']
['703', '1', '576', '717', '229', '738', '394', '597', '455', '337']
['610', '60', '381', '200', '721', '639', '95', '630', '644', '212']
['290', '415', '757', '611', '348', '35', '197', '559', '253', '420']
['555', '580', '786', '437', '693', '361', '424', '140', '14', '128']
['734', '205', '406', '713', '311', '373', '211', '740', '185', '652']
['219', '436', '155', '494', '30', '252', '529', '628', '306', '73']
['167', '442', '330', '9', '350', '223', '333', '775', '464', '247']
['25', '127', '238', '263', '244', '765', '633', '513', '729', '570']
['780', '736', '138', '353', '132', '336', '791', '346', '789', '563']
['319', '520', '22', '503', '345', '258', '107', '214', '50', '26']
['224', '239', '650', '136', '59', '488', '752', '154', '653', '496']
['404', '514', '493', '408', '84', '751', '587', '195', '358', '430']
['635', '798', '142', '678', '643', '499', '768', '461', '98', '42']
['750', '619', '64', '525', '12', '797', '591', '268', '230', '523']
['284', '422', '778', '285', '466', '139', '567', '476', '170', '283']
['57', '615', '366', '235', '114', '327', '783', '452', '450', '398']
['762', '474', '429', '475', '309', '627', '565', '63', '782', '777']
['444', '292', '66', '771', '795', '277', '41', '502', '151', '518']
['91', '203', '712', '528', '577', '261', '123', '469', '477', '574']
['255', '288', '449', '297', '47', '537', '144', '538', '583', '788']
['711', '37', '501', '391', '124', '440', '709', '631', '472', '715']
['508', '201', '264', '166', '759', '335', '687', '75', '318', '578']
['108', '530', '701', '747', '294', '357', '784', '80', '426', '272']
['781', '74', '696', '680', '605', '519', '796', '215', '489', '374']
['315', '582', '572', '92', '571', '10', '720', '590', '320', '296']
['486', '655', '325', '161', '613', '379', '562', '287', '620', '409']
['310', '473', '158', '497', '210', '478', '441', '68', '700', '186']
['53', '479', '274', '143', '146', '87', '694', '376', '354', '117']
['774', '756', '498', '359', '592', '165', '667', '119', '227', '632']
['11', '516', '748', '180', '326', '418', '293', '640', '314', '67']
['17', '416', '6', '681', '43', '193', '763', '378', '179', '266']
['707', '280', '308', '270', '413', '55', '256', '438', '626', '718']
