['949', '628', '638', '563', '531', '335', '277', '404', '885', '625']
['43', '258', '863', '406', '596', '749', '400', '867', '789', '290']
['998', '33', '150', '257', '686', '369', '16', '685', '892', '915']
['306', '31', '126', '241', '883', '479', '579', '976', '315', '448']
['78', '417', '389', '143', '380', '57', '338', '802', '533', '450']
['726', '67', '501', '269', '11', '142', '59', '875', '355', '121']
['427', '799', '327', '434', '487', '383', '260', '800', '576', '60']
['309', '175', '850', '236', '6', '72', '112', '937', '100', '744']
['914', '99', '420', '552', '635', '967', '677', '10', '158', '360']
['783', '159', '63', '811', '273', '769', '216', '271', '305', '704']
['213', '940', '387', '700', '230', '784', '421', '589', '639', '278']
['953', '689', '291', '77', '429', '2', '889', '357', '957', '698']
['12', '378', '591', '371', '661', '537', '495', '317', '118', '288']
['821', '632', '307', '208', '713', '162', '690', '181', '841', '785']
['368', '745', '536', '828', '96', '402', '48', '244', '649', '419']
['232', '815', '776', '414', '876', '757', '146', '505', '604', '715']
['767', '624', '163', '544', '38', '443', '753', '90', '582', '872']
['366', '756', '457', '155', '844', '445', '740', '718', '130', '788']
['176', '859', '921', '205', '344', '526', '538', '341', '518', '41']
['350', '738', '293', '494', '68', '982', '829', '743', '931', '580']
['584', '157', '203', '281', '166', '23', '119', '616', '435', '522']
['714', '5', '575', '521', '58', '120', '286', '73', '864', '441']
['645', '615', '212', '447', '182', '970', '796', '326', '486', '194']
['459', '516', '478', '525', '836', '468', '98', '298', '605', '705']
['900', '524', '264', '14', '18', '381', '76', '425', '354', '186']
['717', '485', '827', '916', '393', '683', '567', '668', '127', '282']
['198', '64', '499', '426', '488', '719', '29', '695', '444', '54']
['621', '996', '897', '517', '302', '209', '388', '985', '977', '643']
['752', '801', '242', '662', '750', '869', '654', '865', '152', '655']
['623', '190', '574', '761', '93', '0', '289', '887', '374', '131']
['607', '207', '848', '340', '69', '939', '737', '474', '667', '942']
['851', '311', '659', '503', '755', '822', '593', '321', '361', '215']
['853', '46', '527', '53', '966', '218', '500', '513', '562', '114']
['61', '720', '739', '968', '392', '47', '631', '396', '376', '771']
['946', '490', '792', '657', '422', '13', '94', '650', '437', '285']
['314', '4', '397', '416', '672', '66', '805', '975', '398', '247']
['128', '711', '332', '618', '608', '779', '313', '747', '569', '217']
['573', '857', '930', '239', '399', '553', '17', '351', '401', '220']
['835', '770', '8', '137', '723', '852', '907', '926', '180', '795']
['123', '960', '24', '728', '188', '980', '972', '363', '508', '318']
['742', '710', '116', '843', '886', '983', '994', '927', '888', '259']
['660', '386', '407', '694', '598', '652', '189', '642', '199', '268']
['342', '456', '535', '879', '74', '432', '183', '712', '988', '808']
['868', '746', '894', '824', '992', '818', '79', '385', '578', '840']
['810', '948', '979', '702', '52', '395', '141', '187', '663', '235']
['964', '912', '577', '923', '81', '145', '708', '88', '546', '250']
['766', '830', '893', '693', '565', '782', '681', '283', '80', '153']
['899', '328', '587', '430', '297', '231', '125', '839', '797', '391']
['549', '101', '471', '842', '439', '211', '151', '630', '365', '984']
['594', '566', '343', '716', '25', '919', '599', '820', '999', '758']
['492', '320', '431', '825', '172', '806', '442', '303', '856', '15']
['185', '833', '644', '375', '520', '20', '554', '877', '238', '161']
['413', '132', '103', '446', '465', '498', '460', '156', '722', '251']
['184', '817', '962', '534', '240', '346', '590', '679', '292', '951']
['502', '974', '617', '433', '558', '330', '691', '506', '71', '480']
['135', '86', '124', '210', '790', '301', '673', '571', '270', '989']
['610', '881', '532', '909', '600', '299', '612', '954', '510', '169']
['55', '356', '873', '648', '995', '754', '956', '955', '115', '249']
['358', '511', '775', '167', '803', '905', '895', '266', '56', '455']
['920', '634', '37', '26', '938', '226', '223', '515', '731', '75']
['411', '464', '245', '82', '831', '481', '440', '377', '519', '581']
['423', '107', '324', '329', '641', '804', '89', '219', '370', '665']
['871', '109', '263', '49', '762', '3', '816', '656', '560', '602']
['178', '545', '476', '336', '362', '102', '34', '164', '222', '846']
['777', '255', '557', '674', '910', '110', '813', '415', '855', '334']
['108', '936', '732', '896', '196', '945', '171', '741', '845', '138']
['248', '287', '819', '551', '798', '84', '394', '854', '1', '412']
['556', '572', '781', '42', '763', '548', '847', '981', '477', '294']
['902', '585', '539', '229', '759', '424', '640', '449', '133', '483']
