['103', '22', '431', '352', '69']
['31', '11', '46', '350', '215']
['331', '217', '442', '399', '175']
['384', '274', '469', '123', '4']
['177', '328', '126', '145', '273']
['222', '336', '257', '478', '285']
['496', '258', '197', '308', '242']
['73', '8', '337', '111', '68']
['34', '339', '187', '300', '75']
['146', '38', '56', '24', '30']
['163', '224', '390', '466', '479']
['207', '386', '280', '441', '482']
['226', '247', '389', '65', '174']
['309', '25', '39', '6', '147']
['296', '381', '129', '388', '119']
['254', '382', '362', '481', '230']
['461', '420', '74', '16', '206']
['205', '99', '137', '116', '114']
['298', '77', '334', '154', '3']
['406', '233', '286', '7', '480']
['211', '136', '19', '189', '170']
['20', '324', '436', '454', '165']
['451', '182', '12', '408', '365']
['204', '241', '437', '284', '291']
['44', '199', '343', '89', '319']
['419', '180', '42', '375', '283']
['91', '281', '2', '288', '312']
['36', '210', '294', '401', '392']
['167', '72', '329', '379', '101']
['320', '127', '83', '155', '407']
['293', '444', '476', '471', '260']
['245', '100', '452', '289', '485']
['81', '477', '125', '498', '263']
['427', '316', '415', '94', '411']
['62', '428', '433', '186', '305']
['322', '239', '446', '338', '278']
['27', '269', '276', '256', '391']
['52', '413', '70', '340', '195']
['354', '262', '118', '128', '140']
['23', '248', '82', '18', '499']
['344', '380', '287', '372', '66']
['342', '193', '203', '71', '393']
['152', '266', '164', '144', '151']
['176', '353', '275', '314', '297']
['455', '409', '398', '271', '366']
['49', '251', '448', '317', '363']
['307', '188', '396', '95', '234']
['306', '159', '333', '349', '403']
['311', '219', '133', '235', '252']
['121', '208', '323', '86', '429']
['385', '360', '191', '76', '395']
['292', '59', '96', '102', '346']
['467', '160', '41', '214', '236']
['220', '404', '29', '383', '246']
['92', '109', '244', '85', '412']
['141', '315', '218', '249', '282']
['228', '15', '53', '51', '356']
['138', '58', '149', '14', '440']
['376', '460', '35', '457', '490']
['221', '361', '47', '10', '351']
['223', '183', '173', '148', '110']
['108', '166', '150', '185', '358']
['464', '139', '158', '424', '290']
['202', '33', '153', '425', '106']
['79', '97', '321', '488', '124']
['169', '98', '470', '418', '43']
['130', '143', '21', '93', '261']
['171', '483', '405', '107', '326']
['474', '302', '32', '37', '310']
['373', '156', '463', '268', '475']
['402', '377', '332', '270', '87']
['345', '229', '494', '486', '414']
['267', '264', '60', '0', '40']
['64', '54', '238', '181', '473']
['443', '9', '250', '341', '370']
['142', '13', '468', '410', '327']
['216', '212', '397', '162', '192']
['259', '357', '198', '438', '232']
['367', '432', '364', '318', '355']
['105', '50', '132', '303', '359']
['201', '330', '113', '450', '55']
['301', '131', '67', '178', '487']
['439', '134', '394', '421', '88']
['213', '157', '225', '313', '48']
['434', '368', '423', '299', '495']
['400', '26', '458', '253', '255']
['295', '449', '135', '279', '378']
['78', '237', '459', '172', '472']
['465', '120', '369', '435', '168']
['335', '489', '190', '462', '493']
['196', '374', '61', '104', '243']
['117', '1', '371', '45', '304']
['28', '447', '200', '84', '5']
['265', '416', '430', '272', '122']
['325', '453', '491', '57', '112']
['422', '426', '348', '209', '387']
['63', '417', '492', '179', '90']
['17', '184', '484', '347', '497']
['456', '161', '115', '240', '277']
['227', '231', '194', '80', '445']
